"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,260385722,260385722,1,108572000000,None,83251000000,None,25321000000,0,0,109000000,0,7834000000,557000000,553000000,2.11,2.1,0.82,1153000000,-115000000,-979000000,59000000,416000000,0,144,153.63,134.37,0.1122,0.0253,97.24,1.55,14.62,37.91,0.3085,0,0.2332,0.0859,0.29,4.43,None
2019-03-31,261908210,261908210,1,107246000000,None,82906000000,None,24340000000,0,0,4290000000,0,7671000000,796000000,791000000,3.01,2.99,0.77,639000000,-586000000,-71000000,-16000000,357000000,0,126.59,138.13,115.06,0.114,0.0253,92.93,1.46,13.64,37.09,0.3096,0,0.227,0.0858,0.29,2.44,None
2018-12-31,263391034,263391034,1,104233000000,None,81339000000,None,22894000000,0,0,4282000000,0,7796000000,621000000,616000000,2.34,2.32,0.77,948000000,-570000000,-358000000,14000000,373000000,0,121.78,132.47,111.08,0.1101,0.0243,86.92,1.44,13.61,36.32,0.3225,0,0.2196,0.0827,0.29,3.6,None
2018-09-30,264882804,264882804,1,104390000000,None,81930000000,None,22460000000,0,0,4309000000,0,7723000000,709000000,704000000,2.65,2.62,0.77,1734000000,-1302000000,-488000000,-56000000,359000000,0,128,134.61,121.39,0.1061,0.0236,84.79,1.51,17.34,35.55,0.3286,0,0.2152,0.0813,0.29,6.55,None
2018-06-30,267683231,267683231,1,103523000000,None,80900000000,None,22623000000,0,0,4287000000,0,7477000000,524000000,520000000,1.93,1.92,0.77,1144000000,-76000000,-1044000000,18000000,415000000,0,130.38,140.03,120.74,0.0869,0.0196,84.51,1.53,17.22,34.78,0.3923,0,0.2185,0.0685,0.28,4.27,None
2018-03-31,270261296,270261296,1,103676000000,None,80697000000,None,22979000000,0,0,4300000000,0,7286000000,669000000,664000000,2.45,2.42,0.72,554000000,-381000000,-122000000,53000000,397000000,0,140.82,150.55,131.1,0.0887,0.0204,85.03,1.61,19.24,34.01,0.3756,0,0.2216,0.0715,0.28,2.05,None
2017-12-31,271427959,271427959,1,103483000000,None,79752000000,None,23731000000,0,0,4293000000,0,7451000000,551000000,547000000,2,1.99,0.72,538000000,299000000,-872000000,-35000000,344000000,0,129.84,136.36,123.32,0.086,0.02,87.43,1.5,15.01,33.29,0.3814,0,0.2293,0.0706,0.28,1.98,None
2017-09-30,273695876,273695876,1,104311000000,None,80573000000,None,23738000000,0,0,4291000000,0,7325000000,293000000,291000000,1.06,1.05,0.72,1639000000,-1094000000,-498000000,51000000,379000000,0,122.67,130.15,115.18,0.103,0.024,86.73,1.42,12.21,32.57,0.3169,0,0.2276,0.0849,0.28,5.99,None
2017-06-30,275947036,275947036,1,102669000000,None,78811000000,None,23858000000,0,0,3853000000,0,7184000000,595000000,590000000,2.13,2.11,0.72,810000000,-579000000,-157000000,79000000,328000000,0,124.16,129.44,118.88,0.1198,0.0282,86.46,1.47,12.2,31.85,0.2679,0,0.2324,0.1008,0.28,2.94,None
2017-03-31,279415829,279415829,1,101246000000,None,77634000000,None,23612000000,0,0,3850000000,0,6942000000,617000000,613000000,2.19,2.17,0.67,775000000,-442000000,-393000000,-58000000,249000000,0,120.77,124.99,116.54,0.1216,0.0289,84.5,1.45,11.71,31.13,0.2597,0,0.2332,0.1047,0.27,2.77,None
2016-12-31,279685489,279685489,1,100245000000,None,77024000000,None,23221000000,0,0,3848000000,0,7193000000,943000000,937000000,3.33,3.32,0.67,1139000000,-326000000,-771000000,38000000,307000000,0,113.62,122.57,104.67,0.124,0.0296,83.03,1.32,11.55,30.46,0.2504,0,0.2316,0.1083,0.27,4.07,None
2016-09-30,284058764,284058764,1,102787000000,None,78348000000,None,24439000000,0,0,3856000000,0,6961000000,716000000,710000000,2.48,2.45,0.67,1770000000,-1043000000,-721000000,4000000,269000000,0,116.5,119.29,113.71,0.1203,0.0289,86.04,1.36,11.25,29.79,0.2546,0,0.2378,0.1075,0.27,6.23,None
2016-06-30,288281317,288281317,1,102446000000,None,77732000000,None,24714000000,0,0,3862000000,0,6785000000,664000000,659000000,2.27,2.24,0.67,443000000,55000000,-589000000,-96000000,265000000,0,113.92,119.04,108.79,0.1296,0.031,85.73,1.38,10.7,29.12,0.2358,0,0.2412,0.116,0.27,1.54,None
2016-03-31,292394631,292394631,1,101680000000,None,77514000000,None,24166000000,0,0,3863000000,0,6686000000,691000000,686000000,2.33,2.3,0.61,850000000,-146000000,-725000000,-19000000,361000000,0,109.75,117.43,102.08,0.1365,0.0325,82.65,1.37,10.07,28.45,0.2242,0,0.2377,0.1219,0.26,2.91,None
2015-12-31,294977349,294977349,1,100184000000,None,76586000000,None,23598000000,0,0,3852000000,0,6674000000,866000000,859000000,2.86,2.85,0.61,760000000,808000000,-1529000000,36000000,380000000,0,107.09,115.83,98.34,0.1414,0.0338,80,1.36,9.58,27.84,0.214,0,0.2355,0.1274,0.26,2.58,None
2015-09-30,304218796,304218796,1,102110000000,None,78077000000,None,24033000000,0,0,3859000000,0,6794000000,928000000,922000000,3,2.97,0.61,1799000000,-1256000000,-511000000,27000000,344000000,0,102.66,107.82,97.49,0.1466,0.0353,79,1.32,9.42,27.23,0.2029,0,0.2354,0.1332,0.26,5.91,None
2015-06-30,311205624,311205624,1,101664000000,None,77543000000,None,24121000000,0,0,3878000000,0,6706000000,812000000,806000000,2.56,2.53,0.61,676000000,291000000,-962000000,9000000,317000000,0,102.41,108.67,96.14,0.1443,0.035,77.51,1.31,9.92,26.62,0.2026,0,0.2373,0.1324,0.26,2.17,None
2015-03-31,318698313,318698313,1,102691000000,None,77844000000,None,24847000000,0,0,3882000000,0,6626000000,833000000,827000000,2.58,2.55,0.55,199000000,474000000,-731000000,-66000000,308000000,0,106.28,109.73,102.82,0.1371,0.0335,77.96,1.38,9.91,26.01,0.2091,0,0.242,0.1273,0.26,0.62,None
2014-12-31,321368580,321368580,1,103078000000,None,78242000000,None,24836000000,0,0,3915000000,0,6783000000,1038000000,1030000000,3.16,3.13,0.55,525000000,608000000,-1121000000,7000000,374000000,0,99.38,106.95,91.81,0.145,0.0355,77.28,1.3,9.65,25.46,0.1962,0,0.2409,0.1349,0.26,1.63,None
2014-09-30,331396299,331396299,1,104522000000,None,79201000000,None,25321000000,0,0,3937000000,0,6886000000,919000000,912000000,2.72,2.69,0.55,1840000000,-889000000,-889000000,56000000,367000000,0,92.53,95.95,89.12,0.1431,0.0349,76.41,1.23,9.34,24.91,0.1988,0,0.2423,0.1333,0.26,5.55,None
2014-06-30,339043610,339043610,1,104811000000,None,79279000000,None,25532000000,0,0,3962000000,0,6785000000,683000000,678000000,1.98,1.95,0.55,625000000,412000000,-989000000,51000000,311000000,0,90,95.6,84.39,0.1417,0.0345,75.31,1.23,8.68,24.36,0.2017,0,0.2436,0.1335,0.26,1.84,None
2014-03-31,347471625,347471625,1,104134000000,None,78747000000,None,25387000000,0,0,3963000000,0,6708000000,1052000000,1045000000,2.98,2.95,0.5,703000000,75000000,-810000000,-34000000,260000000,0,84.8,89.33,80.26,0.1522,0.0371,73.06,1.2,8.7,23.81,0.1891,0,0.2438,0.1431,0.26,2.02,None
2013-12-31,352327135,352327135,1,103812000000,None,79016000000,None,24796000000,0,0,3985000000,0,6737000000,988000000,980000000,2.72,2.71,0.5,927000000,197000000,-1125000000,-1000000,294000000,0,86.67,90.99,82.35,0.1457,0.0356,70.38,1.27,11.05,23.31,0.197,0,0.2389,0.1392,0.25,2.63,None
2013-09-30,364067675,364067675,1,102685000000,None,77874000000,None,24811000000,0,0,3712000000,0,6452000000,864000000,858000000,2.33,2.3,0.5,1637000000,-1199000000,-457000000,-13000000,295000000,0,83.16,86.9,79.42,0.1179,0.0289,68.15,1.25,10.73,22.81,0.2412,0,0.2416,0.1144,0.25,4.5,None
