"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,176977106,176977106,1,7706806000,1239827000,5212212000,501327000,2494594000,0,0,4114851000,4003248000,1035485000,162760000,162757000,0.92,0.91,0.13,167841000,-36791000,-164818000,-36149000,460662000,36441000,113.09,131.01,95.18,0.2448,0.0813,14.1,8.5,35.12,8.74,0.1504,1.6048,0.3237,0.1503,0.54,0.74,2.4731
2019-03-31,176943121,176943121,1,7774132000,1229393000,5421372000,565377000,2352760000,0,0,4115380000,4180733000,1034531000,161607000,161569000,0.91,0.9,0.13,227589000,-82779000,-124327000,22532000,496811000,80429000,86.73,95.8,77.66,0.2366,0.0792,13.3,5.93,28.07,8.61,0.1567,1.7769,0.3026,0.1463,0.54,0.83,2.1745
2018-12-31,176915530,176915530,1,7468709000,1140783000,4882803000,515601000,2585906000,0,0,5717576000,3918666000,1018090000,137681000,136359000,0.75,0.69,0.13,289159000,-96821000,-201208000,-12347000,474279000,98308000,87.59,99.6,75.58,0.2277,0.0772,14.62,6.05,23.42,8.48,0.1633,1.5154,0.3462,0.1431,0.54,1.08,2.2125
2018-09-30,182441467,182441467,1,7473044000,1199917000,4832862000,467171000,2640182000,0,0,4113669000,3874815000,1015371000,155960000,155898000,0.85,0.85,0.13,281915000,-53822000,-203011000,25586000,486626000,52271000,92.2,100.39,84.01,0.2789,0.0948,14.47,6.73,25.97,8.35,0.147,1.4676,0.3533,0.1591,0.59,1.26,2.5685
2018-06-30,182418038,182418038,1,7466490000,1137022000,4964794000,445573000,2501696000,0,0,4088579000,4053187000,1007580000,142435000,142376000,0.78,0.78,0.13,258700000,-58867000,-227204000,-33198000,461040000,41522000,85.83,89.4,82.26,0.2733,0.0943,13.71,6.54,25.32,8.22,0.1463,1.6202,0.3351,0.1436,0.66,1.19,2.5518
2018-03-31,182306223,182306223,1,7531717000,1178279000,5011143000,1217870000,2394574000,126000000,0,4073511000,3326536000,987170000,141841000,141673000,0.78,0.77,0.13,211893000,-1084639000,913930000,42868000,494238000,46236000,84.4,90.74,78.06,0.2683,0.0944,13.13,6.85,26.46,8.09,0.1443,1.3892,0.3179,0.1313,0.72,0.91,0.9675
2017-12-31,181725568,181725568,1,6331689000,1079244000,3975007000,989092000,2240993000,115689000,0,4592105000,2628002000,1273289000,242208000,241691000,1.32,1.34,0.16,204467000,-87949000,-80174000,36735000,450357000,38523000,72.97,80.51,65.44,0.2597,0.0931,12.33,5.69,32.58,7.96,0.1441,1.1727,0.3539,0.1187,0.78,0.91,1.0911
2017-09-30,183846212,183846212,1,6218890000,998838000,3848728000,971680000,2356760000,13402000,0,4043746000,2394283000,1247576000,123095000,122864000,0.67,0.66,0.1,251233000,-44493000,-222802000,-13967000,413622000,36809000,64.08,70.62,57.53,0.1882,0.0663,12.82,5.21,31.41,7.8,0.1763,1.0159,0.379,0.0871,0.76,1.17,1.0279
2017-06-30,184238052,184238052,1,6277014000,1027008000,3999376000,943180000,2264536000,13102000,0,4086737000,2564068000,1222375000,115014000,114762000,0.62,0.62,0.1,140631000,-33498000,-146200000,-37151000,427589000,26131000,56.26,60.64,51.88,0.1771,0.0599,12.29,4.83,31.26,7.7,0.1938,1.1323,0.3608,0.081,0.74,0.62,1.0889
2017-03-31,184031162,184031162,1,6350680000,1050811000,4191213000,452258000,2144730000,14737000,0,4130844000,3229137000,1184725000,105868000,105495000,0.58,0.57,0.1,260161000,-32804000,-189549000,39386000,464740000,24757000,52.58,55.48,49.69,0.1613,0.0524,11.65,4.59,30.57,7.6,0.2197,1.5056,0.3377,0.0725,0.72,1.28,2.3235
2016-12-31,183354641,183354641,1,6366177000,1022689000,4242164000,420353000,2099920000,24093000,0,4177628000,3313276000,1132224000,73950000,73950000,0.4,0.39,0.1,166949000,-35738000,-147438000,-21529000,425354000,27775000,49.19,51.61,46.77,0.1584,0.0519,11.45,4.38,27.63,7.5,0.2298,1.5778,0.3299,0.0767,0.68,0.76,2.4329
2016-09-30,183816753,183816753,1,6375178000,984868000,4284456000,369475000,2065669000,25053000,0,4209243000,3425147000,1146888000,85352000,85352000,0.46,0.46,0.1,211999000,-28282000,-200568000,-18436000,446883000,18419000,51.45,56.54,46.37,0.1681,0.0592,11.24,4.76,26.12,7.4,0.2236,1.6581,0.324,0.0875,0.68,1.05,2.6656
