"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2008-03-31,196707734,196707734,1,4774400000,2711200000,4131600000,1806300000,642800000,0,0,318500000,686200000,1711400000,65900000,65900000,0.34,0.33,0.16,-174000000,-36000000,-318300000,-520600000,381900000,36000000,None,None,None,0.2355,0.0285,3.27,None,None,2.16,0.7284,1.0675,0.1346,0.0256,1.11,-1.07,1.501
2007-12-31,195263968,195263968,1,5097300000,3052400000,4559100000,2239100000,538200000,0,0,318500000,687200000,681300000,-124900000,-124900000,-0.64,-0.64,0.16,218900000,1544500000,-1197600000,570000000,902500000,-22400000,39.42,46.74,32.09,0.3271,0.0406,2.76,15.46,15.58,2,0.4723,1.2768,0.1056,0.0384,1.06,1.24,1.3632
2007-09-30,192594962,192594962,1,7036300000,5105300000,6545400000,2677100000,490900000,0,0,314100000,2231200000,1982000000,61900000,61900000,0.31,0.3,0.16,-31400000,-74200000,42500000,-56400000,332500000,70700000,48.05,63.74,32.35,0.5409,0.0689,2.55,7.18,16.18,1.84,0.2667,4.5451,0.0698,0.0555,1.24,-0.53,1.907
2007-06-30,204342458,204342458,1,8240200000,5584100000,6873200000,3177000000,1367000000,0,0,789700000,1606800000,2620000000,176000000,176000000,0.87,0.84,0.18,-14700000,-70100000,26800000,-52600000,388900000,77600000,56.49,61.23,51.76,0.564,0.0795,6.69,10.33,18.46,1.68,0.2363,1.1754,0.1659,0.0588,1.35,-0.45,1.7577
2007-03-31,202131929,202131929,1,7811500000,5169200000,6706600000,3069600000,1104900000,0,0,778900000,1560100000,2166300000,173300000,173300000,0.86,0.84,0.18,106900000,112200000,-73900000,147700000,441500000,43100000,50.25,55.3,45.21,0.647,0.084,5.47,10.92,19.18,1.5,0.2293,1.412,0.1414,0.0582,1.44,0.32,1.684
2006-12-31,200809919,200809919,1,7413100000,3436700000,6489600000,2568100000,923500000,0,0,1414800000,1600700000,2700700000,114300000,114300000,0.56,0.55,0.18,282700000,-89400000,-152900000,46400000,293800000,117100000,44.21,46.82,41.6,0.5926,0.0741,4.6,9.15,18.73,1.32,0.2675,1.7333,0.1246,0.0483,1.54,0.82,1.3382
2006-09-30,199386361,199386361,1,7443800000,3577700000,6480700000,2736700000,963100000,0,0,1387100000,1715900000,2964800000,150900000,150900000,0.76,0.74,0.18,270400000,-58100000,-200100000,14300000,247400000,50200000,40.93,44.14,37.72,0.5381,0.0686,4.83,9.08,17.34,1.14,0.2837,1.7816,0.1294,0.0444,1.54,1.1,1.3073
2006-06-30,200560282,200560282,1,7356900000,3464900000,6452000000,2661400000,904900000,0,0,1403100000,1756300000,2990700000,191700000,191700000,0.95,0.93,0.18,164800000,-40300000,-116900000,9500000,233100000,30100000,42.86,47.14,38.58,0.5407,0.071,4.51,10.13,18.01,0.96,0.2703,1.9409,0.123,0.0466,1.52,0.67,1.3019
2006-03-31,203352441,203352441,1,6975600000,3142700000,6115200000,2389700000,860400000,0,0,1370600000,1714700000,2552000000,84100000,84100000,0.41,0.4,0.18,-11600000,-47900000,-111600000,-167100000,223600000,42000000,39.36,43.71,35.01,0.5575,0.0743,4.23,8.75,15.44,0.78,0.2531,1.9929,0.1233,0.0492,1.51,-0.26,1.3151
2005-12-31,204876656,204876656,1,6867800000,3066200000,5945300000,2228900000,922500000,0,0,1353500000,1676100000,2545000000,64400000,64400000,0.31,0.29,0.15,283900000,-117300000,-104800000,60600000,390700000,147100000,41.38,47.76,35.01,0.6003,0.0797,4.5,8.64,22.37,0.6,0.2261,1.8169,0.1343,0.0542,1.47,0.67,1.3757
