"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2016-03-31,284701320,284701320,1,49751000000,2619000000,40390000000,3853000000,9357000000,4000000,0,3553000000,22487000000,6191000000,494000000,494000000,1.73,1.72,0.75,1608000000,-1325000000,-156000000,127000000,1297000000,1329000000,None,None,None,0.2112,0.0382,32.87,None,None,46.67,0.4525,2.4032,0.1881,0.078,0.49,0.98,0.6797
2015-12-31,283270372,283270372,1,49277000000,2459000000,40278000000,3949000000,8995000000,4000000,0,3576000000,22497000000,6072000000,486000000,486000000,1.71,1.7,0.75,1833000000,-939000000,-209000000,685000000,1170000000,956000000,184.91,192.85,176.98,0.2145,0.0378,31.75,5.99,27.64,45.92,0.5753,2.5011,0.1825,0.0778,0.49,3.1,0.6227
2015-09-30,283197551,283197551,1,48721000000,1889000000,39972000000,3763000000,8745000000,4000000,0,3601000000,22689000000,5922000000,437000000,437000000,1.53,1.53,0.75,1500000000,-985000000,-510000000,5000000,485000000,1113000000,183.82,194.22,173.42,0.2289,0.0393,30.88,6.11,26.56,45.17,0.5539,2.5945,0.1795,0.0817,0.48,1.37,0.502
2015-06-30,282974273,282974273,1,48886000000,2074000000,40374000000,4155000000,8508000000,4000000,0,3624000000,22732000000,5926000000,463000000,463000000,1.62,1.62,0.75,1698000000,-1267000000,-498000000,-67000000,480000000,1271000000,165.16,184.89,145.44,0.2425,0.0406,30.07,5.73,23.39,44.42,0.5355,2.6718,0.174,0.0851,0.48,1.51,0.4992
2015-03-31,282518129,282518129,1,48330000000,2006000000,40186000000,4159000000,8140000000,4000000,0,3648000000,22639000000,5777000000,458000000,458000000,1.6,1.59,1.5,1508000000,-1154000000,-514000000,-160000000,547000000,1157000000,147.07,159.94,134.21,0.2555,0.0415,28.81,5.15,20.51,43.67,0.5246,2.7812,0.1684,0.0874,0.47,1.24,0.4823
2014-12-31,280900337,280900337,1,48501000000,2316000000,40484000000,4497000000,8013000000,4000000,0,3660000000,22701000000,5790000000,554000000,554000000,1.96,1.95,0.75,1810000000,-920000000,-709000000,181000000,707000000,926000000,142.37,155.95,128.78,0.267,0.0417,28.53,5.05,20,42.17,0.4134,2.833,0.1652,0.089,0.47,3.15,0.515
2014-09-30,280494496,280494496,1,48636000000,2074000000,40727000000,5019000000,7905000000,4000000,0,3687000000,22762000000,5714000000,499000000,499000000,1.77,1.76,0.75,1448000000,-1105000000,-220000000,123000000,526000000,1112000000,149.11,155.32,142.9,0.2749,0.0415,28.18,5.62,20.71,41.42,0.4012,2.8794,0.1625,0.0893,0.46,1.2,0.4132
2014-06-30,279488788,279488788,1,48456000000,1988000000,41042000000,5274000000,7410000000,4000000,0,3713000000,22917000000,5726000000,499000000,499000000,1.77,1.76,0.75,1695000000,-1248000000,-1601000000,-1154000000,403000000,1252000000,140.39,148.2,132.58,0.2917,0.0424,26.51,5.51,19.83,40.67,0.3815,3.0927,0.1529,0.0915,0.46,1.59,0.3769
2014-03-31,278611548,278611548,1,49153000000,3114000000,42055000000,6399000000,7094000000,4000000,0,3738000000,22792000000,5582000000,479000000,479000000,1.71,1.7,0.75,1397000000,-819000000,454000000,1032000000,1557000000,846000000,138.91,147.28,130.53,0.2966,0.0419,25.46,5.55,20.67,39.92,0.3732,3.2129,0.1443,0.0914,0.46,1.98,0.4866
2013-12-31,277451193,277451193,1,48273000000,2144000000,41326000000,5226000000,6943000000,4000000,0,3748000000,23285000000,5577000000,540000000,540000000,1.92,1.9,0.65,1599000000,-991000000,-959000000,-351000000,525000000,837000000,124.36,139.85,108.88,0.2868,0.0402,25.02,5.26,19.1,39.17,0.3779,3.3537,0.1438,0.0883,0.46,2.75,0.4103
2013-09-30,281889889,281889889,1,47431000000,2656000000,40765000000,4964000000,6662000000,4000000,0,3459000000,23261000000,5518000000,532000000,532000000,1.86,1.84,0.65,1209000000,-458000000,-2498000000,-1747000000,876000000,784000000,113.47,120.93,106.01,0.2794,0.0394,23.63,4.83,15.61,38.52,0.3755,3.4916,0.1405,0.0875,0.45,1.51,0.5351
2013-06-30,285782369,285782369,1,49228000000,4610000000,42516000000,7006000000,6708000000,4000000,0,3482000000,23111000000,5550000000,481000000,481000000,1.65,1.64,0.65,1551000000,-934000000,-787000000,-170000000,2623000000,835000000,101.44,113.06,89.81,0.3088,0.0444,23.47,4.26,14.37,37.87,0.322,3.4453,0.1363,0.1007,0.44,2.51,0.658
2013-03-31,290963329,290963329,1,49299000000,4604000000,42357000000,5874000000,6938000000,4000000,0,3505000000,24248000000,5475000000,401000000,401000000,1.35,1.34,0.65,1394000000,-1093000000,-812000000,-511000000,2793000000,782000000,93.28,102,84.57,0.298,0.0437,23.84,3.79,13.48,37.22,0.3198,3.495,0.1407,0.1001,0.44,2.1,0.7838
2012-12-31,295513813,295513813,1,49809000000,4877000000,42526000000,5325000000,7279000000,4000000,0,3530000000,25171000000,5485000000,513000000,513000000,1.7,1.69,0.56,1410000000,-863000000,-1096000000,-549000000,3304000000,904000000,94.8,100.31,89.29,0.2896,0.0433,24.63,3.76,13.58,36.57,0.316,3.458,0.1461,0.1008,0.43,1.71,0.9159
2012-09-30,301773738,301773738,1,50085000000,5362000000,42468000000,5534000000,7609000000,8000000,0,3559000000,25187000000,5363000000,808000000,808000000,2.64,2.6,0.56,1195000000,333000000,-901000000,627000000,3853000000,-339000000,88.62,95.79,81.45,0.294,0.0447,25.21,3.69,16.23,36.01,0.302,3.3102,0.1519,0.1056,0.42,5.08,0.9689
2012-06-30,306365442,306365442,1,49937000000,4586000000,42572000000,5153000000,7357000000,8000000,0,3559000000,25381000000,5404000000,452000000,452000000,1.44,1.43,0.56,1537000000,-722000000,-218000000,597000000,3226000000,712000000,78.07,82.15,73.99,0.2335,0.0359,24.01,3.24,14.81,35.45,0.3709,3.4499,0.1473,0.0858,0.42,2.69,0.89
2012-03-31,312494366,312494366,1,49296000000,3888000000,41770000000,5584000000,7518000000,8000000,0,3452000000,24344000000,5134000000,382000000,382000000,1.21,1.2,0.56,1383000000,-2093000000,-1838000000,-2548000000,2629000000,706000000,72.77,81.5,64.03,0.2241,0.036,24.06,3.04,14.55,34.89,0.3688,3.2381,0.1525,0.0862,0.42,2.17,0.6963
2011-12-31,314086417,314086417,1,48276000000,6398000000,40739000000,5370000000,7530000000,7000000,0,2475000000,24320000000,4993000000,564000000,564000000,1.77,1.75,0.48,1344000000,-1223000000,-517000000,-396000000,5177000000,942000000,64.63,71.84,57.41,0.2091,0.0355,23.97,2.7,14.89,34.33,0.3733,3.2297,0.156,0.0846,0.42,1.28,1.1914
2011-09-30,319111613,319111613,1,48113000000,6687000000,40459000000,4645000000,7647000000,7000000,0,2434000000,24699000000,4911000000,356000000,356000000,1.09,1.08,0.48,1264000000,-659000000,1458000000,2063000000,5573000000,632000000,70.42,79.99,60.85,0.1781,0.0323,23.96,2.85,16.53,33.85,0.4073,3.2299,0.1589,0.0766,0.42,1.98,1.4396
2011-06-30,325183164,325183164,1,45904000000,4531000000,37855000000,3141000000,8041000000,8000000,0,2421000000,23922000000,4944000000,420000000,420000000,1.25,1.24,0.48,1510000000,-993000000,-40000000,477000000,3510000000,700000000,75.1,78.46,71.75,0.1696,0.0332,24.73,2.93,18.92,33.37,0.3989,2.975,0.1752,0.0775,0.43,2.49,1.4425
2011-03-31,336401682,336401682,1,45139000000,4042000000,36500000000,2765000000,8632000000,7000000,0,2224000000,23077000000,4827000000,325000000,325000000,0.94,0.93,0.48,1570000000,-655000000,-929000000,-14000000,3033000000,663000000,68.69,72.48,64.91,0.1558,0.0319,25.66,2.56,18.87,32.89,0.4111,2.6734,0.1912,0.0743,0.43,2.7,1.4618
2010-12-31,343385153,343385153,1,45822000000,4340000000,36605000000,3086000000,9210000000,7000000,0,2223000000,23121000000,4801000000,392000000,392000000,1.11,1.09,0.4,1444000000,-786000000,1261000000,1919000000,3047000000,782000000,60.38,66.11,54.66,0.1426,0.0299,26.82,2.28,17.45,32.41,0.4309,2.5104,0.201,0.0693,0.43,1.93,1.4064
2010-09-30,355733102,355733102,1,43686000000,2343000000,34253000000,2796000000,9425000000,8000000,0,2229000000,21314000000,4734000000,360000000,360000000,1,1,0.4,1082000000,-629000000,-139000000,314000000,1128000000,676000000,55.02,59.07,50.96,0.1393,0.0291,26.49,2.13,17.09,32.01,0.3383,2.2614,0.2157,0.0677,0.43,1.14,0.838
