"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,773017657,773017657,1,12521607000,7512783000,4176793000,1733738000,8344814000,0,0,0,1773092000,841381000,1119560000,1119560000,1.46,1.43,0,338973000,-413828000,3948000,-63759000,2210008000,134694000,36.81,40.92,32.7,0.3283,0.2162,10.8,3.99,21.4,0,0,0.2125,0.6664,0.7146,0.3,0.26,4.3333
2019-03-31,768631304,768631304,1,11145231000,7255785000,4056412000,1621679000,7088819000,0,0,1268883000,1751695000,786890000,190804000,190804000,0.25,0.25,0,351693000,29446000,-29101000,351892000,2273767000,81070000,31.56,35.25,27.87,0.2061,0.1338,9.22,3.55,20.36,0,0,0.2471,0.636,0.422,0.32,0.35,4.4742
2018-12-31,766824550,766824550,1,10162572000,7111036000,3356978000,1516311000,6805594000,0,0,1272294000,1755316000,908836000,255303000,255303000,0.35,0.32,0,331999000,-356226000,-11115000,-34427000,1921875000,69078000,31.66,37.13,26.19,0.2006,0.1328,8.88,3.73,23.28,0,0,0.2579,0.6697,0.3963,0.34,0.34,4.6897
2018-09-30,761250269,761250269,1,9746192000,6719760000,3293620000,1457646000,6452572000,0,0,1272749000,1747436000,758111000,789179000,789179000,1.04,1.02,0,443899000,-1026764000,-30641000,-616203000,1956302000,116701000,37.41,46.9,27.93,0.187,0.1241,8.48,5.09,120.68,0,0,0.2708,0.6621,0.3635,0.34,0.43,4.61
2018-06-30,757845929,757845929,1,8861230000,6540504000,3290326000,594419000,5570904000,0,0,1278183000,2614127000,710541000,100117000,100117000,0.13,0.13,0,321140000,-413531000,1048908000,942053000,2572505000,193757000,37.2,47.79,26.6,0.0447,0.0299,7.35,5.38,1860,0,0,0.4692,0.6287,0.0857,0.35,0.17,11.0032
2018-03-31,752666518,752666518,1,7539441000,5409235000,2329005000,528654000,5210436000,0,0,1235726000,1722034000,664871000,60997000,60997000,0.08,0.08,0,242673000,-258992000,-29036000,-43405000,1630452000,91328000,29.42,36.8,22.04,0.0029,0.002,6.92,4.38,None,0,0,0.3305,0.6911,0.0057,0.35,0.2,10.2321
2017-12-31,750904551,750904551,1,7412477000,5321884000,2365259000,583278000,5047218000,0,0,1238589000,1708768000,731560000,91079000,91079000,0.13,0.13,0,198107000,-134895000,-12530000,51855000,1638413000,40159000,21.17,25.56,16.78,-0.0224,-0.0153,6.72,3.26,None,0,None,0.3386,0.6809,None,0.34,0.21,9.1241
2017-09-30,742793573,742793573,1,7075789000,5002422000,2246383000,481202000,4829406000,0,0,1242440000,1690554000,589633000,-21095000,-21095000,-0.03,-0.03,0,239947000,85031000,-27020000,298235000,1586558000,34583000,18.27,20.88,15.67,-0.0777,-0.0527,6.5,2.85,None,0,None,0.3501,0.6825,None,0.35,0.28,10.3957
2017-06-30,737893225,737893225,1,6963098000,4840102000,2234202000,494578000,4728896000,0,0,1251480000,1665878000,573855000,-116488000,-116488000,-0.16,-0.16,0,189707000,-82088000,-15171000,96757000,1288323000,43336000,16.95,19.78,14.12,-0.0961,-0.0652,6.41,2.64,None,0,None,0.3523,0.6791,None,0.36,0.2,9.7863
2017-03-31,730833073,730833073,1,6892742000,4695332000,2202366000,488992000,4690376000,0,0,1263078000,1638110000,548251000,-61559000,-61559000,-0.09,-0.09,0,203448000,19020000,-23652000,202968000,1191566000,39881000,16.55,18.77,14.32,-0.0949,-0.0647,6.42,2.61,None,0,None,0.3492,0.6805,None,0.37,0.22,9.6021
