"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-29,230123580,230123580,1,14796000000,6914000000,9460000000,3579000000,5336000000,0,0,2147000000,2910000000,3227000000,217000000,217000000,0.94,0.93,0.02,155000000,-62000000,27000000,115000000,857000000,76000000,51.59,58,45.17,0.2262,0.0828,23.19,2.29,10.53,10.17,0.0156,0.5454,0.3606,0.0907,0.91,0.34,1.9318
2019-03-30,232762261,232762261,1,14480000000,6587000000,9247000000,3432000000,5233000000,0,0,2141000000,2812000000,3109000000,179000000,179000000,0.76,0.76,0.02,-216000000,-42000000,-116000000,-365000000,742000000,59000000,50.19,55.64,44.73,0.2273,0.0836,22.48,2.27,10.33,10.15,0.0158,0.5374,0.3614,0.0879,0.95,-1.18,1.9193
2018-12-29,234679051,234679051,1,14264000000,6614000000,9072000000,3506000000,5192000000,0,0,658000000,3526000000,3750000000,246000000,246000000,1.01,1.01,0.02,411000000,-114000000,-474000000,-186000000,1107000000,136000000,57.93,72.59,43.27,0.2243,0.0836,22.12,2.54,16.79,10.13,0.0161,0.6791,0.364,0.0875,0.96,1.17,1.8865
2018-09-29,242961492,242961492,1,14669000000,6912000000,9126000000,3423000000,5543000000,0,0,2209000000,3069000000,3200000000,563000000,563000000,2.29,2.26,0.02,299000000,740000000,-474000000,562000000,1293000000,74000000,68.19,72.87,63.5,0.1564,0.0585,22.81,3.16,38.09,10.11,0.0232,0.5537,0.3779,0.0611,0.96,0.93,2.0193
2018-06-30,248410831,248410831,1,14558000000,6770000000,9196000000,3397000000,5362000000,0,0,2207000000,3070000000,3726000000,224000000,224000000,0.88,0.87,0.02,482000000,-12000000,-558000000,-105000000,731000000,82000000,63,69.36,56.63,0.0828,0.0307,21.59,2.83,42.28,10.09,0.0442,0.5725,0.3683,0.0321,0.96,1.61,1.9929
2018-03-31,256038330,256038330,1,14968000000,6821000000,9276000000,3349000000,5692000000,0,0,2368000000,3083000000,3296000000,189000000,189000000,0.73,0.72,0.02,-85000000,6000000,-358000000,-426000000,836000000,77000000,58.27,62.19,54.36,0.0692,0.0255,22.23,2.7,51.11,10.07,0.053,0.5416,0.3803,0.0274,0.93,-0.63,2.0367
2017-12-30,261771970,261771970,1,15340000000,7027000000,9693000000,3660000000,5647000000,0,0,3129000000,3074000000,4017000000,-106000000,-106000000,-0.4,-0.4,0.02,592000000,-131000000,-497000000,-32000000,1262000000,147000000,54.39,57.71,51.07,0.054,0.0196,21.57,2.46,23.44,10.05,0.0689,0.5444,0.3681,0.0216,0.91,1.7,1.9199
2017-09-30,263420348,263420348,1,15875000000,7374000000,10057000000,4041000000,5818000000,0,0,2354000000,3078000000,3484000000,159000000,159000000,0.6,0.6,0.02,95000000,-99000000,155000000,165000000,1294000000,115000000,50.53,54.07,47,0.1107,0.04,22.09,2.35,15.45,10.03,0.034,0.529,0.3665,0.0448,0.89,-0.08,1.8248
2017-07-01,264713726,264713726,1,15775000000,7186000000,10093000000,4005000000,5682000000,0,0,2340000000,2774000000,3604000000,153000000,153000000,0.57,0.57,0.02,460000000,-66000000,-269000000,132000000,1129000000,85000000,46.84,48.67,45,0.1581,0.0574,21.46,2.25,13.98,10.01,0.0241,0.4882,0.3602,0.0645,0.89,1.42,1.7943
2017-04-01,267689291,267689291,1,15703000000,None,10121000000,None,5582000000,0,0,2332000000,2768000000,3093000000,101000000,101000000,0.37,0.37,0.02,-194000000,-366000000,251000000,-301000000,997000000,76000000,47.3,50.93,43.66,0.1661,0.0596,20.85,2.29,13.4,9.99,0.0236,0.4959,0.3555,0.0667,0.89,-1.01,None
2016-12-31,270086401,270086401,1,15358000000,None,9784000000,None,5574000000,0,0,2113000000,2414000000,3825000000,214000000,214000000,0.78,0.78,0.02,869000000,-131000000,-154000000,559000000,1298000000,140000000,43.5,49.82,37.19,0.1798,0.0634,20.64,2.08,12.22,9.97,0.0224,0.4331,0.3629,0.0698,0.91,2.7,None
2016-10-01,270208112,270208112,1,15167000000,None,9516000000,None,5651000000,0,0,2121000000,2777000000,3251000000,421000000,421000000,1.56,1.55,0.02,174000000,-94000000,-82000000,-4000000,739000000,99000000,38.2,41.33,35.06,0.1874,0.0649,20.91,1.98,14.47,9.95,0.0222,0.4914,0.3726,0.0701,0.93,0.28,None
2016-07-02,269463621,269463621,1,15034000000,None,9848000000,None,5186000000,0,0,2118000000,2785000000,3511000000,177000000,177000000,0.66,0.65,0.02,119000000,-73000000,-76000000,-35000000,743000000,119000000,37.3,40.61,34,0.147,0.0488,19.25,2.01,14.4,9.93,0.0297,0.537,0.345,0.0528,0.93,0,None
2016-04-02,268831736,268831736,1,15099000000,None,10110000000,None,4989000000,0,0,2114000000,3688000000,3201000000,150000000,150000000,0.55,0.55,0.02,-150000000,-225000000,144000000,-227000000,778000000,88000000,36.22,41.74,30.69,0.1494,0.0482,18.56,1.98,14.49,9.91,0.0303,0.7392,0.3304,0.0531,0.91,-0.89,None
2016-01-02,271171585,271171585,1,14708000000,None,9744000000,None,4964000000,0,0,2023000000,3348000000,3923000000,226000000,226000000,0.82,0.81,0.02,675000000,-118000000,-160000000,391000000,1005000000,134000000,41.05,43.93,38.18,0.1495,0.047,18.31,2.39,16.82,9.89,0.0315,0.6745,0.3375,0.0519,0.91,2,None
2015-10-03,273670398,273670398,1,14898000000,None,10202000000,None,4696000000,0,0,2026000000,3358000000,3180000000,176000000,176000000,0.64,0.63,0.02,213000000,-135000000,-251000000,-178000000,614000000,113000000,38.59,44.98,32.2,0.1521,0.0462,17.16,2.32,16.21,9.87,0.0323,0.7151,0.3152,0.0502,0.92,0.37,None
2015-07-04,276421869,276421869,1,14948000000,None,10346000000,None,4602000000,0,0,2015000000,3621000000,3247000000,167000000,167000000,0.6,0.6,0.02,223000000,-78000000,-62000000,84000000,792000000,94000000,44.95,46.93,42.97,0.1494,0.0451,16.65,2.84,19.63,9.85,0.0332,0.7868,0.3079,0.0481,0.94,0.47,None
2015-04-04,277644419,277644419,1,14738000000,None,10348000000,None,4390000000,0,0,2013000000,3811000000,3073000000,128000000,128000000,0.46,0.46,0.02,-21000000,-57000000,-31000000,-114000000,708000000,79000000,43.28,45.61,40.95,0.1444,0.0434,15.81,2.8,20.32,9.83,0.0345,0.8681,0.2979,0.0456,0.95,-0.36,None
2015-01-03,276834630,276834630,1,14605000000,None,10333000000,None,4272000000,0,0,2027000000,3866000000,4096000000,212000000,212000000,0.76,0.75,0.02,642000000,-194000000,-129000000,311000000,822000000,174000000,38.25,44.23,32.28,0.1349,0.0404,15.43,2.31,19.42,9.81,0.037,0.905,0.2925,0.0432,0.93,1.69,None
