"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,451247092,451247092,1,4679908000,2444447000,2631634000,1332641000,2048274000,0,0,588289000,591396000,1191729000,-17349000,-17349000,-0.04,-0.04,0,202496000,-42132000,2394000,167790000,465946000,42132000,21.29,24.17,18.4,0.0417,0.0192,4.54,4.69,1064.5,0,0,0.2887,0.4377,0.0162,1.19,0.36,1.8343
2019-03-31,451011943,451011943,1,4436072000,2206708000,2386265000,1094012000,2049807000,0,0,588844000,590431000,1204722000,22477000,22477000,0.05,0.05,0,-89789000,-35911000,-141635000,-267904000,298156000,35911000,18.29,20.85,15.72,0.0032,0.0015,4.54,4.07,None,0,0,0.288,0.4621,0.0012,1.22,-0.28,2.0171
2018-12-31,448754292,448754292,1,4245022000,2593628000,2228151000,1315977000,2016871000,0,0,4250000,703834000,1389980000,4220000,4220000,0.01,0.01,0,509413000,-48681000,-83159000,389520000,566060000,48682000,19.16,23.28,15.05,-0.0233,-0.0109,4.49,4.29,None,0,None,0.349,0.4751,None,1.22,1.03,1.9709
2018-09-30,448366397,448366397,1,4227169000,2587030000,2221248000,1299739000,2005921000,0,0,595000000,703455000,1442976000,75266000,75266000,0.17,0.17,0,-27190000,-28158000,24561000,-27780000,176540000,28157000,19.26,21.48,17.04,-0.0695,-0.0331,4.47,4.46,None,0,None,0.3507,0.4745,None,1.24,-0.12,1.9904
2018-06-30,444939413,444939413,1,4241152000,2561515000,2317240000,1338399000,1923912000,0,0,597040000,752370000,1174859000,-95544000,-95544000,-0.21,-0.21,0,123983000,-70135000,-135069000,-85865000,204320000,30928000,18.26,22.68,13.84,-0.0791,-0.0383,4.32,4.02,None,0,None,0.3911,0.4536,None,1.23,0.21,1.9139
2018-03-31,444651642,444651642,1,4264319000,2592005000,2246587000,1317057000,2017732000,0,0,611132000,758705000,1185370000,-30244000,-30244000,-0.07,-0.07,0,22024000,-55930000,3799000,-27950000,290185000,55930000,14.12,16.83,11.41,-0.0374,-0.0187,4.54,3.09,None,0,None,0.376,0.4732,None,1.24,-0.08,1.968
2017-12-31,442172586,442172586,1,4006367000,2337679000,1987725000,1060375000,2018642000,0,0,602669000,765046000,1365362000,-87922000,-87922000,-0.19,-0.19,0,263256000,-55415000,-150122000,54481000,312483000,55415000,14.5,17.61,11.4,-0.0236,-0.0124,4.57,3.05,45.31,0,None,0.379,0.5039,None,1.28,0.47,2.2046
2017-09-30,441697856,441697856,1,4130365000,2456842000,2029669000,1100426000,2100696000,0,0,607964000,771382000,1405615000,54242000,54242000,0.12,0.12,0,33576000,-60299000,116217000,92317000,258002000,60299000,19.14,22.37,15.92,0.0988,0.053,4.76,4.17,39.06,0,0,0.3672,0.5086,0.0497,1.07,-0.06,2.2326
2017-06-30,440988282,440988282,1,3894244000,2166470000,1870473000,936539000,2023771000,0,0,640312000,777717000,1088245000,-12308000,-12308000,-0.03,-0.03,0,-29207000,-75483000,97106000,-6443000,165685000,75483000,20.91,23.46,18.35,0.138,0.0746,4.59,4.56,52.28,0,0,0.3843,0.5197,0.0676,1.1,-0.24,2.3133
2017-03-31,440318477,440318477,1,3577160000,1906028000,1557127000,627539000,2020033000,0,0,633367000,784052000,1117331000,-2272000,-2272000,-0.01,-0.01,0,-33562000,-91790000,43558000,-78342000,172128000,91790000,24.73,31.06,18.4,0.1216,0.0657,4.59,5.34,57.51,0,0,0.3881,0.5647,0.0596,1.1,-0.28,3.0373
