"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,256921469,256921469,1,52150000000,8910000000,41830000000,16078000000,10320000000,0,0,7652000000,12938000000,11402000000,1052000000,1052000000,4.03,4.02,0,2710000000,-856000000,-479000000,1375000000,3326000000,858000000,83.75,90.16,77.35,0.267,0.0549,40.17,2.25,10.07,2.15,0,1.2537,0.1979,0.0622,0.88,7.21,0.5542
2019-03-31,263129397,263129397,1,50639000000,7608000000,40837000000,15335000000,9802000000,0,0,7667000000,12734000000,9589000000,292000000,292000000,1.09,1.09,0,1915000000,-1580000000,-183000000,152000000,1951000000,1609000000,83.97,90.93,77.02,0.24,0.0492,37.25,2.24,10.83,2.15,0,1.2991,0.1936,0.0543,0.91,1.16,0.4961
2018-12-31,266727577,266727577,1,44792000000,7194000000,34797000000,13212000000,9995000000,0,0,7682000000,13349000000,10491000000,462000000,462000000,1.7,1.69,0,1101000000,-1960000000,-68000000,-927000000,1799000000,1615000000,88.36,97.85,78.87,0.2337,0.0478,37.47,2.54,10.99,2.15,0,1.3356,0.2231,0.0515,0.93,-1.93,0.5445
2018-09-30,272464412,272464412,1,44837000000,8671000000,35368000000,13684000000,9469000000,0,0,7905000000,13334000000,11003000000,836000000,836000000,3.07,3.06,0,905000000,-886000000,-284000000,-265000000,2726000000,848000000,79.66,91.39,67.94,0.255,0.0511,34.75,2.51,11.22,2.15,0,1.4082,0.2112,0.0558,0.92,0.21,0.6337
2018-06-30,272603972,272603972,1,44691000000,8881000000,36052000000,14092000000,8639000000,0,0,7922000000,13499000000,10777000000,684000000,684000000,2.49,2.48,0,2442000000,-987000000,-974000000,481000000,2991000000,738000000,70.16,75.53,64.8,0.2357,0.0472,31.69,2.33,9.64,2.15,0,1.5626,0.1933,0.0523,0.9,6.25,0.6302
2018-03-31,277265493,277265493,1,44018000000,8287000000,35682000000,14183000000,8336000000,0,0,8044000000,13185000000,9032000000,147000000,147000000,0.52,0.52,0,1733000000,-730000000,-84000000,919000000,2510000000,976000000,69.72,79,60.44,0.2496,0.051,30.07,2.25,9.86,2.15,0,1.5817,0.1894,0.0569,0.9,2.73,0.5843
2017-12-31,284700547,284700547,1,42326000000,7113000000,33520000000,12676000000,8806000000,0,0,8062000000,12699000000,9438000000,580000000,580000000,1.99,1.98,0,728000000,-976000000,-140000000,-388000000,1591000000,1094000000,63.06,69.62,56.51,0.243,0.0505,30.93,2.08,9.93,2.15,0,1.4421,0.2081,0.0565,0.9,-1.29,0.5611
2017-09-30,296252435,296252435,1,42565000000,7877000000,33595000000,13087000000,8970000000,0,0,8081000000,12302000000,9878000000,637000000,637000000,2.12,2.12,0,577000000,-1276000000,177000000,-522000000,1979000000,1117000000,69.37,81.39,57.34,0.2231,0.0468,30.28,2.38,9.58,2.15,0,1.3715,0.2107,0.0522,0.9,-1.82,0.6019
2017-06-30,304225391,304225391,1,42307000000,8248000000,33453000000,13596000000,8854000000,0,0,8115000000,11612000000,10000000000,818000000,818000000,2.67,2.66,0,1561000000,-1035000000,-318000000,208000000,2501000000,1088000000,75.3,83.04,67.55,0.2646,0.0554,29.1,2.76,11.84,2.15,0,1.3115,0.2093,0.0609,0.91,1.55,0.6066
2017-03-31,309656006,309656006,1,41445000000,7724000000,32996000000,12662000000,8449000000,0,0,8135000000,12014000000,8420000000,96000000,96000000,0.31,0.31,0,547000000,-643000000,86000000,-10000000,2293000000,687000000,70.45,76.75,64.16,0.2455,0.0504,27.29,2.56,10.17,2.15,0,1.4219,0.2039,0.0556,0.91,-0.45,0.61
