"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,4594319,4594319,1,13970233,13141774,1822601,1558162,12147632,0,0,0,0,3282024,1222694,1222694,0.27,0.27,0,1531654,-1582533,0,-50879,499256,12992,19.42,20.75,18.09,0.3803,0.3338,2.64,8.16,20.44,9.93,1.0684,0,0.8695,0.3337,1,0.33,8.4342
2018-12-31,4594319,4594319,1,12544672,11687100,1619734,1366151,10924938,0,0,0,0,2876669,583283,583283,0.13,0.13,0.55,1041942,1307718,-2524945,-175285,550135,8493,17.11,18.7,15.51,0.3642,0.3194,2.38,6.11,16.45,9.93,1.1084,0,0.8709,0.3161,1.01,0.22,8.5548
2018-09-30,4594319,4594319,1,14141194,13244069,1272664,1250634,12868530,0,0,0,0,3414002,1316524,1316524,0.29,0.29,0,1192117,-4322786,0,-3130669,725420,25948,17.93,19.8,16.05,0.3964,0.3491,2.8,7.14,18.11,9.38,1.4404,0,0.91,0.3388,1.03,0.25,10.5899
2018-06-30,4594319,4594319,1,13446814,12527696,1894809,1893169,11552005,0,0,0,0,3959218,1392662,1392662,0.3,0.3,0.5,1046172,4030063,-2291294,2784941,3856089,14052,18.77,20.33,17.2,0.3624,0.3184,2.51,6.93,20.18,9.38,1.5119,0,0.8591,0.3283,0.97,0.22,6.6173
2018-03-31,4594319,4594319,1,14372200,13420331,1915696,1910223,12456504,0,0,0,0,3519512,1059862,1059862,0.23,0.23,0,1670181,-1323754,0,346427,1071148,26500,17.91,19.7,16.11,0.3251,0.2895,2.71,7.22,21.32,8.88,1.528,0,0.8667,0.3116,0.93,0.36,7.0255
2017-12-31,4594319,4594319,1,12852880,11850522,1456238,1422383,11396642,0,0,0,0,3229274,1015383,1015383,0.22,0.22,1,777939,3885486,-4582183,81242,724721,18098,18.16,21.33,15,0.2815,0.2533,2.48,5.6,23.28,8.88,1.697,0,0.8867,0.2964,0.85,0.17,8.3315
2017-09-30,4594319,4594319,1,16584635,15564755,1676973,1582568,14907662,0,0,0,0,3177792,1090323,1090323,0.24,0.24,0,1185196,-1246793,0,-61597,643479,18446,17.75,20.5,15,0.251,0.2274,3.24,5.92,23.99,7.88,1.0525,0,0.8989,0.2828,0.8,0.25,9.8351
2017-06-30,4594319,4594319,1,15179683,14127889,1399659,1324477,13780024,0,0,0,0,3774751,1104149,1104149,0.24,0.24,0.42,1154006,231119,-1925066,-539941,705076,0,15.9,18.05,13.75,0.2371,0.2148,3,5.02,26.95,7.88,1.1116,0,0.9078,0.262,0.82,0.25,10.6668
2017-03-31,4594319,4594319,1,16081070,14979428,1539243,1496857,14541827,0,0,0,0,2786388,634435,634435,0.14,0.14,0,875146,-54430,0,820716,1245017,1605,15.43,16.25,14.6,0.1872,0.1695,3.17,5.13,27.55,7.46,1.2807,0,0.9043,0.2381,0.71,0.19,10.0073
2016-12-31,4594319,4594319,1,15118575,13968689,1298086,1045951,13820489,0,0,0,0,2917493,750535,750535,0.16,0.16,0.4,623963,606325,-1832996,-602708,424301,42746,15.63,16.9,14.36,0.1775,0.1601,3.01,4.78,31.9,7.46,1.335,0,0.9141,0.2395,0.67,0.13,13.355
2016-09-30,4594319,4594319,1,16741385,15581274,1697231,1455716,15044154,0,0,0,0,3457633,900135,900135,0.2,0.2,0,1142102,-368050,0,774052,1027009,7249,15.24,16.97,13.52,0.1527,0.1383,3.27,4.96,27.71,7.06,1.7364,0,0.8986,0.2307,0.6,0.25,10.7035
2016-06-30,4594319,4594319,1,15538051,14342318,1452616,1241282,14085435,0,0,0,0,2139165,405381,405381,0.09,0.09,0.35,-219105,814625,-1603871,-1008351,252957,110824,18.63,21.6,15.66,0.17,0.1546,3.07,5.63,23.58,7.06,1.5217,0,0.9065,0.2589,0.6,-0.07,11.5544
2016-03-31,4594319,4594319,1,17072801,15939735,1866191,1696818,15206610,0,0,0,0,2262576,525091,525091,0.11,0.11,0,743484,-562665,0,180819,1261308,5870,20.7,23,18.4,0.2381,0.2165,3.31,6.53,20.7,6.71,1.2516,0,0.8907,0.3086,0.7,0.16,9.3939
2015-12-31,4594319,4594319,1,15688191,14517960,1106377,988367,14581814,0,0,0,0,1889395,418371,418371,0.09,0.09,0.5,1093051,937465,-2170397,-139881,1080489,29499,19.45,20.89,18.01,0.2937,0.2671,3.17,5.42,16.07,6.71,0.9975,0,0.9295,0.3289,0.81,0.23,14.6888
2015-09-30,4596439,4596439,1,18111843,16928516,1604411,1450320,16507432,0,0,0,0,3620365,1217537,1217537,0.26,0.26,0,1045608,-1684284,0,-638676,1220370,8289,19.45,21,17.9,0.3556,0.323,3.59,5.81,18.7,6.21,0.6742,0,0.9114,0.347,0.93,0.23,11.6723
2015-06-30,4596439,4596439,1,16955918,15738510,1574880,1362558,15381038,0,0,0,0,4124091,1510511,1510511,0.33,0.33,0.5,1251365,1928407,-2298219,881553,1859046,22642,20.41,22.97,17.86,0.3129,0.2854,3.35,5.77,22.43,6.21,0.7878,0,0.9071,0.3188,0.9,0.27,11.5507
2015-03-31,4596439,4596439,1,18236222,16990192,1973520,1712796,16262702,0,0,0,0,4372393,1460510,1460510,0.32,0.32,0,1809948,-2855838,0,-1045890,977493,2143,20.05,22.55,17.55,0.2774,0.2532,3.54,6.25,22.78,5.71,0.8807,0,0.8918,0.3012,0.84,0.39,9.9196
