"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,89459773,89459773,1,11721277000,1960441000,6161123000,1656766000,5482415000,77739000,0,3856664000,3821938000,2804391000,234168000,234168000,2.57,2.57,0.1,390901000,-167510000,-266294000,-42109000,157576000,179526000,128.53,142.22,114.85,0.1466,0.0697,61.28,2.17,15.49,3.76,0.0462,0.6971,0.4677,0.0726,0.96,2.36,1.1833
2018-12-31,90784756,90784756,1,11265480000,1937802000,5791395000,1448738000,5389262000,84823000,0,4017628000,3953000000,2754496000,158075000,158075000,1.72,1.71,0.1,365405000,-158238000,-184011000,21993000,199685000,154369000,125.71,137.99,113.42,0.1465,0.0699,59.36,2.15,14.12,3.66,0.0473,0.7335,0.4784,0.0724,0.97,2.32,1.3376
2018-09-30,91832030,91832030,1,11273585000,1941253000,5822066000,1778269000,5363745000,87774000,0,3852851000,3683919000,2648913000,171746000,171746000,1.85,1.84,0.1,346227000,-239433000,-98924000,7266000,177692000,152497000,121,132.64,109.37,0.1611,0.0763,58.41,2.11,14.19,3.56,0.0443,0.6868,0.4758,0.0789,0.97,2.11,1.0917
2018-06-30,92665226,92665226,1,11069417000,1880527000,5666866000,1447544000,5317583000,84968000,0,3815203000,3864162000,2681353000,226052000,226052000,2.4,2.39,0.1,265210000,-189449000,-68556000,4210000,170426000,196728000,116.81,122.99,110.62,0.1591,0.0746,57.38,2.1,14.51,3.46,0.0462,0.7267,0.4804,0.0768,0.97,0.74,1.2991
2018-03-31,93726250,93726250,1,11023517000,1884726000,5725414000,1579577000,5215646000,82457000,0,3843126000,3795087000,2687516000,223832000,223832000,2.37,2.36,0.1,364051000,-226278000,-140711000,-1081000,166216000,197611000,118.39,128.15,108.62,0.1549,0.0717,55.65,2.24,15.16,3.36,0.049,0.7276,0.4731,0.0734,0.98,1.78,1.1932
2017-12-31,94270623,94270623,1,10761828000,1798002000,5696690000,1848034000,4989514000,75624000,0,4045157000,3514338000,2642787000,219609000,219609000,2.32,2.31,0.1,304316000,-156695000,-138784000,8999000,74423000,141459000,105.41,115.06,95.77,0.1551,0.071,52.93,2.04,14.48,3.26,0.0504,0.7043,0.4636,0.0723,0.98,1.73,0.9729
2017-09-30,94227037,94227037,1,10639360000,1755187000,5695113000,1397497000,4865212000,79035000,0,3821610000,3927396000,2541864000,141245000,141245000,1.48,1.47,0.1,344673000,-163194000,-183048000,-1022000,65424000,163194000,115.19,125,105.37,0.1492,0.0674,51.63,2.27,15.67,3.16,0.054,0.8072,0.4573,0.069,0.98,1.93,1.256
2017-06-30,94971503,94971503,1,10552487000,1763160000,5660686000,1322229000,4812854000,78947000,0,3803386000,3988912000,2612356000,185394000,185394000,1.93,1.91,0.1,50584000,-129884000,82119000,3472000,66446000,128106000,118.7,125.07,112.33,0.1553,0.07,50.68,2.41,16.19,3.06,0.0535,0.8288,0.4561,0.071,0.99,-0.82,1.3335
2017-03-31,96003924,96003924,1,10448259000,1732074000,5629090000,1517427000,4735962000,83207000,0,3787515000,3772515000,2612858000,206055000,206055000,2.13,2.12,0.1,483008000,-174626000,-279440000,29227000,62974000,153794000,116.68,126.65,106.71,0.1598,0.0718,49.33,2.49,16.34,2.96,0.0537,0.7966,0.4533,0.0723,0.99,3.43,1.1415
2016-12-31,96596737,96596737,1,10317802000,1681371000,5701889000,1317373000,4533220000,82693000,0,4012106000,4052015000,2475685000,174208000,174208000,1.8,1.78,0.1,188369000,-654833000,437994000,-27997000,33747000,145251000,114.81,128.06,101.55,0.1604,0.0719,46.93,2.52,16.15,2.86,0.0549,0.8938,0.4394,0.0719,1,0.45,1.2763
