"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-05-04,58457743,58457743,1,4766353000,2019332000,2824785000,1045605000,1941568000,0,0,4085000,0,1743029000,192221000,192221000,3.28,3.26,0,271678000,-279572000,-74526000,-82420000,326831000,71836000,321.29,359.69,282.9,0.3705,0.1911,33.21,10.38,29.5,1,0,0,0.4073,0.0992,1.93,3.42,1.9313
2019-02-02,58803744,58803744,1,3191172000,1914861000,1370954000,823736000,1820218000,0,0,4317000,0,2124716000,214674000,214674000,3.61,3.55,0,413913000,-65086000,-236520000,112307000,409251000,62985000,273.46,322.49,224.43,0.3632,0.2087,30.95,8.84,25.49,1,0,0,0.5704,0.098,2.13,5.97,2.3246
2018-11-03,59312145,59312145,1,3332691000,2025973000,1496955000,984083000,1835736000,0,0,16069000,0,1560011000,131166000,131166000,2.2,2.18,0,154211000,20670000,-115044000,59837000,296944000,114724000,260.43,290.3,230.56,0.362,0.2114,30.95,8.59,25.41,1,0,0,0.5508,0.0999,2.12,0.67,2.0587
2018-08-04,59770399,59770399,1,3073349000,1830158000,1260871000,758755000,1812478000,0,0,0,0,1488221000,148323000,148323000,2.47,2.46,0,110740000,20761000,-126280000,5221000,237107000,67432000,244.89,261.4,228.38,0.3582,0.2113,30.32,8.26,25.46,1,0,0,0.5897,0.0991,2.13,0.72,2.4121
2018-05-05,60179958,60179958,1,3022249000,1802699000,1238816000,745092000,1783433000,0,0,0,0,1543667000,164396000,164396000,2.71,2.7,0,277263000,-191452000,-131370000,-45559000,231886000,74259000,224.66,257.63,191.7,0.3474,0.2063,29.63,7.68,25.05,1,0,0,0.5901,0.0967,2.13,3.37,2.4194
2018-02-03,60611334,60611334,1,2908687000,1693743000,1134470000,642166000,1774217000,0,0,0,0,1937592000,208173000,208173000,3.42,3.39,0,450273000,-163075000,-56540000,230658000,277445000,103075000,220.55,249.3,191.8,0.3331,0.1991,29.27,8.32,28.2,1,0,0,0.61,0.0944,2.11,5.73,2.6375
2017-10-28,60992388,60992388,1,2834873000,1646288000,1218822000,714712000,1616051000,0,0,0,0,1342181000,104645000,104645000,1.71,1.7,0,109100000,-24429000,-130744000,-46073000,46787000,144429000,222.51,257.06,187.96,0.3025,0.1805,26.5,8.36,29.59,1,0,0,0.5701,0.0882,2.05,-0.58,2.3034
2017-07-29,61430613,61430613,1,2702217000,1592494000,1066867000,570277000,1635350000,0,0,0,0,1289854000,114193000,114193000,1.84,1.83,0,44249000,-146456000,-126658000,-228865000,92860000,116456000,279.24,314.86,243.61,0.2995,0.1789,26.62,10.55,39.22,1,0,0,0.6052,0.0884,2.02,-1.18,2.7925
2017-04-29,62032502,62032502,1,2707601000,1672972000,1065944000,584252000,1641657000,0,0,0,0,1314879000,128223000,128223000,2.06,2.05,0,175744000,-196754000,-42275000,-63285000,321725000,76754000,277.83,289.27,266.4,0.2956,0.1763,26.46,11.14,42.61,1,0,0,0.6063,0.0875,2.01,1.6,2.8634
2017-01-28,62132265,62132265,1,2551878000,1536237000,1001660000,529343000,1550218000,0,0,0,0,1580574000,140218000,140218000,2.25,2.24,0,311667000,-12544000,-47221000,251902000,385010000,92544000,249.56,273.99,225.13,0.2869,0.1702,24.95,10.7,41.87,1,0,0,0.6075,0.0844,2.02,3.53,2.9022
2016-10-29,62232788,62232788,1,2551201000,1538465000,1099117000,654640000,1452084000,0,0,0,0,1131232000,87562000,87562000,1.4,1.4,0,103388000,-131608000,-32756000,-60976000,133108000,131608000,254.37,278.63,230.1,0.2692,0.1622,23.33,11.4,44.86,1,0,0,0.5692,0.0831,1.95,-0.45,2.3501
