"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,862831280,862831280,1,138990000000,37058000000,95904000000,35422000000,40754000000,2332000000,0,74321000000,40168000000,19634000000,1900000000,1900000000,2.22,2.2,0.74,2111000000,-823000000,-689000000,574000000,6856000000,549000000,133.29,144.4,122.18,0.1369,0.0394,47.23,2.89,20.57,32.66,0.4779,0.9856,0.2932,0.0713,0.55,1.81,1.0462
2019-03-31,862291415,862291415,1,137380000000,35402000000,95325000000,31403000000,39738000000,2317000000,0,74672000000,41004000000,18365000000,1346000000,1346000000,1.58,1.56,0.735,1500000000,-394000000,-1077000000,70000000,6282000000,450000000,116.44,129.64,103.23,0.1502,0.0436,46.08,2.61,17.8,31.92,0.4498,1.0319,0.2893,0.0764,0.57,1.22,1.1273
2018-12-31,861748797,861748797,1,134211000000,35503000000,93492000000,31368000000,38446000000,2273000000,0,74536000000,41192000000,18044000000,686000000,686000000,0.83,0.82,0.74,2005000000,-15954000000,-2874000000,-16832000000,6212000000,878000000,121.44,142.39,100.48,0.1591,0.0469,44.61,3.03,19.52,31.19,0.44,1.0714,0.2865,0.0792,0.59,1.31,1.1318
2018-09-30,800984201,800984201,1,114939000000,40204000000,80564000000,26504000000,32106000000,2269000000,0,43380000000,38275000000,16510000000,1238000000,1238000000,1.56,1.54,0.7,1762000000,-781000000,11050000000,11938000000,23044000000,534000000,133.63,144.15,123.1,0.1611,0.0483,40.08,3.41,21.04,30.45,0.4499,1.1921,0.2793,0.0776,0.62,1.53,1.5169
2018-06-30,800093285,800093285,1,101569000000,36556000000,68093000000,25068000000,31364000000,2112000000,0,43438000000,27246000000,16705000000,2048000000,2048000000,2.59,2.56,0.7,2102000000,738000000,699000000,3402000000,11106000000,475000000,122.22,129.03,115.4,0.1671,0.0515,39.2,3.2,21.86,29.75,0.4414,0.8687,0.3088,0.0809,0.64,2.03,1.4583
2018-03-31,800059478,800059478,1,98779000000,32741000000,66152000000,24747000000,30534000000,2093000000,0,44334000000,25153000000,15242000000,1297000000,1297000000,1.64,1.62,0.7,453000000,-976000000,-910000000,-1314000000,7704000000,415000000,130.69,139.24,122.14,0.1507,0.0461,38.16,3.53,22.93,29.05,0.4943,0.8238,0.3091,0.0728,0.63,0.05,1.323
2017-12-31,799778295,799778295,1,96920000000,32858000000,65368000000,24391000000,29610000000,1942000000,0,43793000000,24989000000,15680000000,397000000,397000000,0.49,0.5,0.7,2521000000,-1361000000,-700000000,462000000,9018000000,890000000,122.22,128.49,115.94,0.1576,0.0481,37.02,3.27,18.95,28.35,0.4778,0.8439,0.3055,0.0761,0.63,2.04,1.3471
2017-09-30,798569921,798569921,1,96352000000,32963000000,64232000000,25249000000,29881000000,2239000000,0,43871000000,24063000000,15062000000,1330000000,1330000000,1.69,1.67,0.7,-29000000,-668000000,-241000000,-825000000,8556000000,538000000,116.94,124.79,109.1,0.1821,0.0557,37.42,3.28,17.83,27.65,0.4156,0.8053,0.3101,0.0878,0.63,-0.71,1.3055
2017-06-30,798772783,798772783,1,94793000000,32829000000,64232000000,23919000000,28442000000,2119000000,0,43468000000,23883000000,15280000000,1439000000,1439000000,1.83,1.8,0.66,2146000000,-851000000,877000000,2198000000,9381000000,540000000,117.16,123.09,111.24,0.1885,0.0583,35.61,3.4,18.28,26.95,0.4009,0.8397,0.3,0.0915,0.64,2.01,1.3725
2017-03-31,801227504,801227504,1,90373000000,29305000000,60794000000,23726000000,27594000000,1985000000,0,43053000000,20898000000,13815000000,1386000000,1386000000,1.75,1.73,0.66,993000000,-139000000,-929000000,-6000000,7183000000,426000000,110.64,114.44,106.85,0.1851,0.0584,34.44,3.23,18.11,26.29,0.4108,0.7573,0.3053,0.091,0.64,0.71,1.2351
