"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,1983914836,1983914836,1,70249000000,18305000000,35254000000,10829000000,34995000000,0,5462000000,42585000000,16694000000,5840000000,3101000000,3101000000,1.37,1.37,0.25,3384000000,809000000,-3915000000,387000000,10669000000,194000000,165.63,174.94,156.32,0.4121,0.1694,14.89,11.41,31.91,4.19,0.1607,0.5653,0.4204,0.5343,0.32,1.61,1.6904
2019-03-31,1984501374,1984501374,1,69865000000,18490000000,35590000000,11380000000,34275000000,0,5464000000,42054000000,16630000000,5494000000,2977000000,2977000000,1.31,1.31,0.25,2064000000,-326000000,-2468000000,-833000000,10282000000,156000000,142.35,156.82,127.88,0.3911,0.1596,14.52,9.92,28.53,3.94,0.1654,0.5772,0.4124,0.5134,0.31,0.96,1.6248
2018-12-31,1995690027,1995690027,1,71655000000,20107000000,37560000000,13389000000,34095000000,0,5464000000,42450000000,16633000000,5506000000,2977000000,2977000000,1.3,1.3,0.25,3294000000,-70000000,-3018000000,138000000,11115000000,157000000,136.58,151.56,121.6,0.3786,0.1547,14.35,9.6,28.69,3.69,0.1647,0.5809,0.3996,0.5061,0.31,1.57,1.5018
2018-09-30,2005311384,2005311384,1,69225000000,18216000000,35219000000,11305000000,34006000000,0,5470000000,42752000000,16630000000,5434000000,2845000000,2845000000,1.24,1.58,0.21,3494000000,-1779000000,-2046000000,-343000000,8162000000,195000000,140.89,150.64,131.15,0.3648,0.1506,14.23,10.23,38.81,3.44,0.1623,0.5828,0.4122,0.4998,0.3,1.65,1.6113
2018-06-30,2022171746,2022171746,1,68175000000,18491000000,34857000000,10934000000,33318000000,0,5470000000,42832000000,16627000000,5240000000,2329000000,2329000000,1,1,0.21,3637000000,-168000000,-2811000000,363000000,8505000000,155000000,126.7,136.69,116.71,0.3438,0.1409,13.77,8.99,36.3,3.23,0.1668,0.5971,0.4085,0.4791,0.29,1.72,1.6911
2018-03-31,2031677174,2031677174,1,69042000000,18536000000,34939000000,9551000000,34103000000,0,5476000000,43909000000,16624000000,5073000000,2605000000,2605000000,1.12,1.11,0.21,2820000000,-430000000,-2512000000,4000000,8142000000,213000000,118.95,126.88,111.02,0.3385,0.1391,14.09,8.73,46.46,3.02,0.1628,0.5807,0.4146,0.4818,0.29,1.28,1.9407
2017-12-31,2048137963,2048137963,1,67154000000,17287000000,33753000000,8363000000,33401000000,0,5476000000,43271000000,16621000000,4862000000,2522000000,2522000000,1.07,1.07,0.195,2762000000,-707000000,-3871000000,-1736000000,8138000000,141000000,109.91,114.92,104.9,0.2679,0.109,13.63,8.31,46.77,2.81,0.2009,0.5952,0.4158,0.3812,0.29,1.28,2.0671
2017-09-30,2058976636,2058976636,1,67977000000,19023000000,35217000000,9994000000,32760000000,0,5526000000,42958000000,16618000000,4855000000,2140000000,2140000000,0.89,0.45,0.17,2767000000,-852000000,380000000,2437000000,9874000000,183000000,100.02,106.84,93.19,0.2556,0.1036,13.23,7.86,33.91,2.62,0.2067,0.6102,0.4006,0.3649,0.28,1.25,1.9034
2017-06-30,2074883420,2074883420,1,64000000000,15718000000,32056000000,9511000000,31944000000,0,5526000000,42331000000,14142000000,4565000000,2059000000,2059000000,0.87,0.86,0.165,3537000000,-681000000,-2061000000,1010000000,7437000000,195000000,92.36,96.6,88.13,0.2477,0.102,12.73,7.67,40.87,2.45,0.1594,0.5353,0.4128,0.3653,0.28,1.61,1.6526
2017-03-31,2091763713,2091763713,1,63227000000,15505000000,32444000000,10206000000,30783000000,0,5597000000,41241000000,14140000000,4477000000,430000000,430000000,0.18,0.18,0.165,396000000,2685000000,-2513000000,603000000,6427000000,146000000,85.27,92.05,78.49,0.1742,0.0761,12.04,6.9,30.56,2.28,0.1429,0.5614,0.3983,0.2878,0.26,0.12,1.5192
2016-12-31,2103534231,2103534231,1,63370000000,14689000000,31644000000,10341000000,31726000000,0,5717000000,41273000000,14138000000,4461000000,2070000000,2070000000,0.86,0.86,0.165,2508000000,-417000000,-1730000000,205000000,5824000000,171000000,79.56,83.96,75.17,0.2126,0.0997,12.36,6.18,29.14,2.12,0.0567,0.5436,0.4104,0.383,0.26,1.11,1.4205
2016-09-30,2113093982,2113093982,1,64035000000,14313000000,31123000000,8046000000,32912000000,0,5717000000,42300000000,15882000000,4261000000,1931000000,1931000000,0.46,1.05,0,2452000000,-757000000,-1991000000,-268000000,5619000000,141000000,78.81,83.79,73.83,0.202,0.101,12.87,5.12,34.41,1.95,0.051,0.584,0.4247,0.3972,0.25,1.09,1.7789
2016-06-30,2131947209,2131947209,1,63867000000,14374000000,31040000000,7783000000,32827000000,0,0,42122000000,15879000000,3630000000,412000000,412000000,0.17,0.17,0,303000000,-8313000000,-1984000000,-10056000000,5887000000,132000000,77.49,81.73,73.25,0.1838,0.1044,15.4,6.35,27.58,1.95,0.1025,0.4837,0.514,0.3872,0.27,0.08,1.8468
2016-03-31,2385000000,2385000000,1,54326000000,24303000000,25195000000,5125000000,29131000000,0,0,23171000000,15876000000,3626000000,1707000000,1707000000,0.71,0.71,0,840000000,4348000000,-2082000000,3106000000,15943000000,124000000,71.56,77,66.12,0.2343,0.1451,12.21,5.3,26.21,1.95,0.1259,0.545,0.5362,0.4802,0.3,0.3,4.742
2015-12-31,2184055680,2184055680,1,54977000000,25473000000,25501000000,5357000000,29476000000,0,0,23173000000,15877000000,3565000000,1941000000,1941000000,0.8,0.8,0.14,1979000000,-6194000000,13534000000,9319000000,12837000000,126000000,74.69,81.01,68.36,0.2307,0.1545,13.5,5.54,29.15,1.95,0.1726,0.5386,0.5362,0.4764,0.32,0.85,4.7551
2015-09-30,2211543324,2211543324,1,40236000000,10892000000,10394000000,5374000000,29842000000,0,0,23186000000,0,3571000000,1512000000,1512000000,0.61,0.61,0.12,1734000000,-159000000,-204000000,1371000000,3518000000,138000000,68.46,76.92,60,0.2208,0.1608,13.49,5.82,28.73,1.81,0.1813,0,0.7417,0.4559,0.35,0.72,2.0268
2015-06-30,2432857650,2432857650,1,39429000000,10068000000,10802000000,5789000000,28627000000,0,0,23200000000,0,3518000000,1697000000,1697000000,0.69,0.69,0.12,2111000000,-719000000,-1284000000,108000000,2147000000,74000000,67.52,70.69,64.35,0.2099,0.1513,11.77,5.85,30.21,1.69,0.1919,0,0.726,0.435,0.35,0.84,1.7392
2015-03-31,2444833500,2444833500,1,38835000000,10105000000,10598000000,5443000000,28237000000,0,0,23132000000,0,3409000000,1550000000,1550000000,0.63,0.63,0.12,978000000,79000000,-1103000000,-46000000,2039000000,88000000,65.47,69.66,61.29,0.2003,0.1442,11.55,5.79,29.29,1.57,0.1959,0,0.7271,0.4214,0.34,0.36,1.8565
2014-12-31,618047000,2472188000,4,38884000000,9864000000,10942000000,5798000000,27942000000,0,0,23148000000,0,3382000000,1569000000,1569000000,2.54,2.53,0.48,1761000000,-636000000,-1012000000,114000000,2085000000,104000000,58.06,67.33,48.8,0.2038,0.147,11.3,5.25,26.97,1.45,0.1867,0,0.7186,0.4331,0.34,0.67,1.7013
2014-09-30,620467600,2481870400,4,38569000000,9562000000,11156000000,6006000000,27413000000,0,0,23164000000,0,3229000000,1073000000,1073000000,1.73,1.72,0.4,1793000000,-499000000,-1380000000,-86000000,1971000000,227000000,54.12,56.19,52.05,0.1995,0.1453,11.05,4.95,24.77,1.33,0.1843,0,0.7108,0.4281,0.34,0.63,1.5921
2014-06-30,623467600,2493870400,4,37675000000,9025000000,10389000000,5314000000,27286000000,0,0,23168000000,0,3155000000,1360000000,1360000000,2.17,2.17,0.4,1942000000,-336000000,-1368000000,238000000,2058000000,109000000,51.63,54.54,48.71,0.2049,0.1511,10.94,4.75,24.44,1.23,0.1735,0,0.7242,0.4465,0.34,0.74,1.6983
2014-03-31,628467600,2513870400,4,37263000000,8507000000,9968000000,4961000000,27295000000,0,0,22998000000,0,3163000000,1598000000,1598000000,2.53,2.52,0.4,1929000000,170000000,-2400000000,-301000000,1820000000,97000000,55.76,58.88,52.63,0.2005,0.1498,10.86,5.23,28.38,1.13,0.1711,0,0.7325,0.4411,0.34,0.73,1.7148
