"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-29,90945747,90945747,1,3390200000,2261200000,1650100000,1318800000,1735300000,4800000,0,0,0,779400000,88600000,88600000,0.97,0.96,0,-13400000,-21500000,-39700000,-69800000,558900000,11200000,125.65,142.17,109.13,0.2346,0.1155,19.08,6.8,31.89,5.79,0,0,0.5119,0.1256,0.92,-0.27,1.7146
2018-12-28,90777507,90777507,1,3370800000,2300900000,1688800000,1333000000,1677000000,5000000,0,408000000,0,741000000,103200000,103200000,1.13,1.12,0,140900000,-13100000,-17200000,112300000,628700000,14000000,114.13,126.84,101.42,0.2353,0.1115,18.47,6.56,71.33,5.79,0,0,0.4975,0.1226,0.91,1.4,1.7261
2018-09-28,91116439,91116439,1,3252700000,2188400000,1664000000,1339700000,1584400000,4300000,0,394700000,0,801600000,116400000,116400000,1.27,1.24,0,108200000,-74100000,-65400000,-31200000,504800000,16900000,115.23,124.41,106.05,0.1013,0.046,17.39,7.05,92.18,5.79,0,0,0.4871,0.0514,0.9,1,1.6335
2018-06-29,91547472,91547472,1,3171800000,2193000000,1670300000,1379100000,1497200000,4300000,0,319300000,0,709100000,72600000,72600000,0.79,0.79,0,102200000,-54800000,-267400000,-203900000,536000000,13000000,120.65,128.5,112.79,0.0797,0.0359,16.35,7.6,83.78,5.79,0,0,0.472,0.043,0.83,0.97,1.5902
2018-03-30,91504711,91504711,1,3307500000,2345400000,1850900000,1530200000,1452200000,4400000,0,318200000,25000000,729900000,73200000,73200000,0.8,0.79,0,65500000,-29300000,-111400000,-82700000,739900000,8500000,118.64,130.29,107,0.0936,0.0417,15.87,7.81,94.91,5.79,0,0.0172,0.4391,0.0504,0.83,0.62,1.5327
2017-12-29,91300252,91300252,1,3299800000,2351600000,1908800000,1616400000,1386600000,4400000,0,289000000,0,678500000,-112300000,-112300000,-1.22,-1.22,0,179000000,-25800000,-42800000,106400000,822600000,9300000,106.55,114.09,99,0.0841,0.0369,15.19,6.53,39.61,5.79,0,0,0.4202,0.0453,0.82,1.86,1.4548
2017-09-29,91616924,91616924,1,3179400000,2190300000,1680100000,1550100000,1495000000,4300000,0,294200000,0,587500000,82700000,82700000,0.9,0.89,0,129700000,-51200000,-16700000,56200000,716200000,18700000,101.55,107.87,95.23,0.1693,0.0766,16.32,6.71,33.4,5.79,0,0,0.4702,0.0935,0.82,1.21,1.413
2017-06-30,91800894,91800894,1,3059000000,2058600000,1664700000,1273200000,1390000000,4300000,0,295000000,249900000,662400000,90400000,90400000,0.99,0.98,0,155000000,-25700000,-170700000,-47000000,660000000,8300000,96.39,105.3,87.49,0.1852,0.0832,15.14,6.88,31.09,5.79,0,0.1798,0.4544,0.0806,1.03,1.6,1.6169
2017-03-31,91921623,91921623,1,3118800000,2141500000,1826200000,1405400000,1288500000,4100000,0,294200000,277200000,655000000,56100000,56100000,0.6,0.6,0,32200000,-21400000,-115400000,-107700000,707000000,14900000,84.43,92.57,76.29,0.1818,0.0815,14.02,4.58,24.05,5.79,0,0.2151,0.4131,0.0865,0.94,0.19,1.5238
2016-12-30,93466827,93466827,1,3684800000,2421300000,1945500000,1524100000,1724800000,14500000,0,391100000,274600000,763300000,20400000,20400000,0.22,0.22,0,82200000,-31800000,-89600000,-28800000,814700000,17200000,85.21,94.48,75.94,0.195,0.0882,18.45,4.57,20.29,5.79,0,0.1592,0.4681,0.1035,0.85,0.7,1.5887
2016-09-30,93410047,93410047,1,3816000000,2616000000,2061500000,1614000000,1740500000,14000000,0,399400000,287500000,1447860000,117507000,117507000,1.26,1.24,0,151956000,-48752000,-96908000,7532000,843500000,19450000,90.4,100.07,80.73,0.2385,0.1061,18.63,5,22.89,5.79,0,0.1652,0.4561,0.125,0.85,1.42,1.6208
2016-07-01,93380657,93380657,1,3759452000,2546623000,2057265000,1617711000,1688209000,13978000,0,282894000,300000000,517271000,98795000,98795000,1.04,1.04,0,95217000,-13922000,-206048000,-125164000,835936000,15012000,81.94,86.24,77.64,0.2284,0.1026,18.08,4.62,20.28,5.79,0,0.1777,0.4491,0.1482,0.69,0.86,1.5742
