"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-30,397145529,397145529,1,10356785000,4673457000,6058269000,2661604000,4298516000,0,0,3779161000,2115884000,3212969000,128804000,128804000,0.33,0.32,0.51,227560000,-72086000,-153278000,17688000,556587000,69043000,78.95,88.83,69.07,0.3052,0.1201,10.82,7.26,22.88,15.85,0.6106,0.4922,0.415,0.091,1.32,0.4,1.7559
2018-12-29,395605444,395605444,1,10284310000,4612091000,5983686000,2563047000,4300624000,0,0,3812121000,2135240000,3940159000,463509000,463509000,1.17,1.16,0.51,1333712000,69781000,-1240622000,179460000,538899000,64854000,80.82,94.47,67.17,0.3481,0.132,10.87,7.68,39.23,15.34,0.5406,0.4965,0.4182,0.1011,1.31,3.21,1.7995
2018-09-29,396806395,396806395,1,11130425000,5417954000,6950869000,3508696000,4179556000,0,0,3846913000,2150595000,3907386000,507121000,507121000,1.28,1.26,0.46,-174193000,-89097000,146852000,-113710000,359439000,82479000,88.73,97,80.46,0.2167,0.0798,10.53,9.43,50.13,14.83,0.8781,0.5146,0.3755,0.0633,1.26,-0.65,1.5442
2018-06-30,396461022,396461022,1,10191754000,4330147000,6460638000,2995556000,3731116000,0,0,4000438000,2156627000,2788146000,160358000,160358000,0.41,0.4,0.46,277144000,-129230000,-343957000,-216041000,473149000,90465000,78.71,85.15,72.26,0.1881,0.0686,9.41,8.42,47.99,14.37,1.0046,0.578,0.3661,0.0558,1.23,0.47,1.4455
2018-03-31,394458433,394458433,1,10311310000,4683323000,6623214000,3138829000,3688096000,0,0,3813329000,2212555000,3045446000,252793000,252793000,0.64,0.63,0.46,-243223000,-55990000,406786000,119793000,689190000,73663000,78.23,84.38,72.08,0.1757,0.0653,9.35,8.34,51.81,13.91,1.0557,0.5999,0.3577,0.0537,1.22,-0.8,1.4921
2017-12-30,396690429,396690429,1,9958502000,4392124000,6238602000,2745200000,3719900000,0,0,3782425000,2187789000,3361101000,-90269000,-90269000,-0.23,-0.23,0.46,1467977000,-801343000,-1664384000,-980871000,569397000,56886000,69.04,75.25,62.83,0.1569,0.0627,9.38,6.93,29.25,13.45,1.109,0.5881,0.3735,0.0521,1.2,3.56,1.5999
2017-09-30,395149073,395149073,1,10874921000,5627427000,6937501000,3821395000,3937420000,0,0,3579395000,2144221000,3508818000,386140000,386140000,0.98,0.97,0.42,11229000,-64033000,931691000,873328000,1550268000,65902000,60.01,64.51,55.51,0.2295,0.0994,9.96,6.48,23.26,12.99,0.6946,0.5446,0.3621,0.0829,1.2,-0.14,1.4726
2017-07-01,393621349,393621349,1,9173728000,3897650000,5529389000,2431143000,3644339000,0,0,3631694000,2111623000,2359581000,109889000,109889000,0.28,0.27,0.42,205616000,157462000,-283835000,68660000,676940000,50429000,54.7,58.18,51.22,0.2427,0.1121,9.26,5.01,22.51,12.57,0.6105,0.5794,0.3973,0.0927,1.21,0.39,1.6032
2017-04-01,400456972,400456972,1,9246278000,4092150000,4873221000,1835859000,4373057000,0,0,3529219000,2051482000,2581677000,209163000,209163000,0.51,0.5,0.42,-210162000,-68337000,-346475000,-622746000,608280000,61513000,52.16,56.27,48.05,0.2173,0.1046,10.92,4.37,20.54,12.15,0.6341,0.4691,0.473,0.087,1.2,-0.68,2.229
2016-12-31,414088853,414088853,1,9739287000,4293098000,4798366000,1785400000,4940921000,0,0,3576657000,2039180000,3246218000,264333000,264333000,0.63,0.62,0.42,1434551000,-61610000,-875294000,490037000,1227862000,58276000,55.05,58.35,51.76,0.222,0.1083,11.93,4.67,20.93,11.73,0.5909,0.4127,0.5073,0.0894,1.21,3.32,2.4046
