"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,403075032,403075032,1,23093000000,5000000000,14815000000,3872000000,7976000000,302000000,0,12229000000,8637000000,2958000000,376000000,376000000,0.93,0.93,0.2,491000000,-416000000,-124000000,-48000000,486000000,40000000,31.5,35.41,27.6,0.2146,0.0695,19.79,1.66,8.42,9.27,0.1999,1.0829,0.3454,0.1263,0.55,1.12,1.2913
2018-12-31,403070416,403070416,1,22744000000,5036000000,14781000000,3833000000,7670000000,293000000,0,11911000000,8635000000,3090000000,321000000,321000000,0.8,0.8,0.2,228000000,-44000000,-1202000000,-1023000000,534000000,37000000,32.51,38,27.01,0.2083,0.0649,19.03,1.77,7.61,9.07,0.2144,1.1258,0.3372,0.116,0.56,0.47,1.3139
2018-09-30,402868891,402868891,1,23783000000,6076000000,16072000000,4054000000,7407000000,304000000,0,11922000000,9515000000,3485000000,394000000,394000000,0.98,0.99,0.2,825000000,-96000000,-101000000,628000000,1557000000,133000000,34.77,37.55,32,0.2478,0.0741,18.39,2,7.02,8.87,0.1874,1.2846,0.3114,0.1328,0.56,1.72,1.4988
2018-06-30,402863978,402863978,1,23161000000,5573000000,15845000000,3297000000,7006000000,310000000,0,11921000000,10065000000,3237000000,522000000,522000000,1.3,1.29,0.2,698000000,-41000000,-97000000,512000000,929000000,25000000,35.63,40.2,31.05,0.3032,0.0863,17.39,2.11,6.65,8.67,0.1611,1.4366,0.3025,0.1565,0.55,1.67,1.6903
2018-03-31,402404941,402404941,1,22994000000,5077000000,15876000000,3328000000,6780000000,338000000,0,12049000000,10069000000,3148000000,266000000,266000000,0.66,0.66,0.2,287000000,-82000000,-210000000,23000000,417000000,15000000,36.47,40.64,32.3,0.3488,0.0933,16.85,2.24,7.29,8.47,0.149,1.4851,0.2949,0.1674,0.56,0.68,1.5255
2017-12-31,402342105,402342105,1,22831000000,5005000000,15951000000,3538000000,6550000000,330000000,0,11965000000,10069000000,3073000000,537000000,537000000,1.33,1.33,0.2,12000000,-5000000,-1002000000,-995000000,394000000,5000000,32.98,37.75,28.2,0.3546,0.0867,16.28,2.2,7.06,8.28,0.1597,1.5373,0.2869,0.1549,0.56,0.02,1.4146
2017-09-30,402258086,402258086,1,23698000000,5801000000,17331000000,3753000000,6035000000,332000000,0,11978000000,11100000000,3319000000,674000000,674000000,1.68,1.67,0.2,1018000000,73000000,-149000000,964000000,1389000000,56000000,39.45,42.55,36.35,0.3632,0.0802,15,2.93,10.87,8.08,0.1711,1.8393,0.2547,0.1413,0.57,2.39,1.5457
2017-06-30,402149629,402149629,1,23126000000,5134000000,17455000000,3796000000,5409000000,262000000,0,11973000000,11103000000,3364000000,683000000,683000000,1.7,1.7,0.2,248000000,537000000,-1052000000,-246000000,425000000,44000000,42.63,49,36.25,0.3081,0.063,13.45,3.62,14.12,7.88,0.2198,2.0527,0.2339,0.1104,0.57,0.51,1.3525
2017-03-31,401731773,401731773,1,23342000000,5128000000,18359000000,3560000000,4734000000,249000000,0,11934000000,12171000000,3256000000,121000000,121000000,0.3,0.3,0.2,246000000,68000000,-101000000,228000000,671000000,43000000,43.7,48.8,38.6,0.274,0.0524,11.78,3.89,12.56,7.68,0.3306,2.571,0.2028,0.0932,0.56,0.51,1.4404
2016-12-31,396896182,396896182,1,23312000000,4989000000,18603000000,4205000000,4458000000,251000000,0,11930000000,11783000000,3324000000,396000000,396000000,1,1,0.2,159000000,-349000000,292000000,64000000,443000000,52000000,40.8,43.55,38.05,0.3314,0.0609,11.23,3.78,11.3,7.48,0.3436,2.6431,0.1912,0.1094,0.56,0.27,1.1864
2016-09-30,396812557,396812557,1,22508000000,4522000000,18178000000,3672000000,4277000000,53000000,0,11715000000,11896000000,3226000000,254000000,254000000,0.65,0.63,0.2,971000000,-160000000,-628000000,187000000,379000000,92000000,44.5,50.4,38.61,0.3605,0.0639,10.78,4.31,8.61,7.28,0.3858,2.7814,0.19,0.1152,0.55,2.22,1.2315
2016-06-30,396656017,396656017,1,22605000000,4609000000,18453000000,4635000000,4092000000,60000000,0,11737000000,10996000000,3107000000,432000000,432000000,1.09,1.09,0.4,116000000,-41000000,-337000000,-288000000,192000000,26000000,44.36,50.81,37.9,0.5436,0.0922,10.32,4.52,7.99,7.08,0.3067,2.6872,0.181,0.1585,0.58,0.23,0.9944
2016-03-31,396043058,396043058,1,22565000000,4734000000,18618000000,4470000000,3889000000,58000000,0,11769000000,11496000000,3001000000,303000000,303000000,0.76,0.76,0.4,410000000,-42000000,-218000000,153000000,480000000,28000000,42.22,50.55,33.88,0.6364,0.0998,9.82,4.52,9.06,6.68,0.285,2.956,0.1723,0.1713,0.58,0.96,1.0591
2015-12-31,395890769,395890769,1,22362000000,4699000000,18606000000,4468000000,3698000000,58000000,0,11762000000,11494000000,3154000000,449000000,449000000,1.13,1.13,0.4,-126000000,-56000000,10000000,-179000000,327000000,26000000,46.19,53.35,39.02,0.603,0.0846,9.34,5.18,9.77,6.28,0.3246,3.1082,0.1654,0.1431,0.59,-0.38,1.0517
2015-09-30,396944691,396944691,1,22217000000,4658000000,18618000000,3854000000,3538000000,61000000,0,11796000000,12267000000,3788000000,884000000,884000000,2.21,2.19,0.4,1233000000,-172000000,-970000000,85000000,506000000,52000000,50.89,65.47,36.32,0.6372,0.0859,8.91,7.05,11.95,5.88,0.3032,3.4672,0.1592,0.1449,0.59,2.98,1.2086
2015-06-30,397783851,397783851,1,22095000000,4415000000,19155000000,3830000000,2872000000,68000000,0,11828000000,12816000000,3058000000,591000000,591000000,1.49,1.47,0.4,400000000,-26000000,-279000000,115000000,421000000,26000000,68.75,73.52,63.98,0.5781,0.0783,7.22,11.85,16.41,5.47,0.3161,4.4624,0.13,0.1314,0.6,0.94,1.1527
2015-03-31,396966045,396966045,1,21757000000,4383000000,19435000000,3567000000,2303000000,19000000,0,11780000000,13213000000,3078000000,-53000000,-53000000,-0.13,-0.13,0.33,624000000,-24000000,-1421000000,-879000000,306000000,30000000,69.7,76.29,63.11,0.5291,0.0784,5.8,8.44,12.79,5.07,0.3018,5.7373,0.1059,0.1293,0.61,1.5,1.2288
2014-12-31,405761670,405761670,1,23416000000,5470000000,20039000000,4039000000,3352000000,25000000,0,11867000000,13146000000,3344000000,500000000,500000000,1.22,1.2,0.33,56000000,-35000000,193000000,185000000,1185000000,34000000,71.93,78,65.86,0.5993,0.1004,8.26,7.94,13.2,4.74,0.2295,3.9218,0.1431,0.1683,0.6,0.05,1.3543
2014-09-30,410466912,410466912,1,23117000000,5252000000,19370000000,3935000000,3719000000,28000000,0,11934000000,12751000000,3991000000,732000000,732000000,1.74,1.72,0.33,1234000000,-769000000,-987000000,-585000000,1000000000,42000000,83.14,89.76,76.52,0.5594,0.1032,9.06,8.48,15.37,4.41,0.2239,3.4286,0.1609,0.1735,0.59,2.9,1.3347
2014-06-30,423030197,423030197,1,22948000000,5704000000,18762000000,3383000000,4151000000,35000000,0,11323000000,12758000000,3421000000,610000000,610000000,1.43,1.4,0.33,550000000,-50000000,-1507000000,-995000000,1585000000,32000000,84.84,88.5,81.19,0.5305,0.1055,9.81,8.24,15.95,4.08,0.2167,3.0735,0.1809,0.1832,0.58,1.22,1.6861
2014-03-31,429821284,429821284,1,23862000000,6596000000,19441000000,3914000000,4424000000,-3000000,0,11354000000,12761000000,3174000000,502000000,502000000,1.15,1.13,0.3,520000000,-22000000,661000000,1163000000,2580000000,29000000,83.85,89.27,78.43,0.4702,0.1074,10.29,7.65,16.28,3.75,0.2152,2.8845,0.1854,0.182,0.59,1.14,1.6852
2013-12-31,438053166,438053166,1,22778000000,5447000000,17979000000,3223000000,4802000000,-3000000,0,11358000000,11868000000,3197000000,547000000,547000000,1.23,1.2,0.3,293000000,-14000000,-1267000000,-986000000,1417000000,20000000,83.34,87.84,78.83,0.4173,0.1081,10.96,7.16,17.11,3.45,0.2191,2.4715,0.2108,0.1807,0.6,0.62,1.69
2013-09-30,445980929,445980929,1,23829000000,6726000000,18639000000,3790000000,5193000000,-3000000,0,11358000000,11867000000,3652000000,804000000,804000000,1.72,1.68,0.3,1051000000,-249000000,458000000,1259000000,2403000000,63000000,76.02,85.22,66.82,0.3676,0.1057,11.64,5.32,17.08,3.15,0.2281,2.2852,0.2179,0.1736,0.61,2.22,1.7747
2013-06-30,476929494,476929494,1,22464000000,5408000000,15652000000,3769000000,6814000000,-2000000,0,11354000000,8893000000,3693000000,643000000,643000000,1.33,1.31,0.3,739000000,-31000000,-823000000,-116000000,1144000000,30000000,65.86,70.91,60.82,0.3166,0.1007,14.29,4.63,15.87,2.85,0.2468,1.3051,0.3033,0.1659,0.61,1.49,1.4349
2013-03-31,484917002,484917002,1,22438000000,5294000000,15561000000,3530000000,6889000000,-12000000,0,11353000000,8915000000,3135000000,478000000,478000000,0.97,0.96,0.275,724000000,-9000000,-99000000,589000000,1260000000,31000000,59.28,64.71,53.86,0.2943,0.0963,14.21,4.09,13.92,2.55,0.2587,1.2941,0.307,0.1633,0.59,1.43,1.4997
2012-12-31,494958723,494958723,1,21897000000,4623000000,14741000000,3722000000,7165000000,-9000000,0,11389000000,8371000000,3314000000,470000000,470000000,0.94,0.92,0.275,569000000,-46000000,-695000000,-177000000,671000000,36000000,52.26,56.91,47.61,0.2996,0.1012,14.48,3.52,14.05,2.28,0.2457,1.1683,0.3272,0.169,0.6,1.08,1.2421
2012-09-30,502177207,502177207,1,22250000000,4853000000,14811000000,3830000000,7448000000,-9000000,0,11373000000,8131000000,3363000000,650000000,650000000,1.26,1.26,0.28,762000000,-44000000,-663000000,74000000,848000000,45000000,50.23,55.6,44.85,0.2577,0.0885,14.83,3.46,14.56,2,0.2773,1.0917,0.3347,0.1427,0.62,1.43,1.2671
