"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,417241451,417241451,1,52095000000,18480000000,30316000000,12913000000,21309000000,470000000,0,0,9511000000,24263000000,141000000,140000000,0.34,0.34,0.9,877000000,-747000000,-378000000,-205000000,2777000000,682000000,80.66,88.36,72.95,0.1289,0.0546,51.07,1.55,11.05,16.97,0.498,0.4463,0.409,0.0243,2.24,0.47,1.4311
2018-12-31,417614487,417614487,1,50155000000,17675000000,27424000000,10724000000,21667000000,1064000000,0,567000000,8871000000,28730000000,952000000,952000000,2.26,2.24,0.8,1678000000,-1160000000,-987000000,-569000000,2982000000,-883000000,94.77,120.72,68.81,0.1432,0.0618,51.88,1.84,9.05,16.07,0.4357,0.4094,0.432,0.0267,2.32,6.13,1.6482
2018-09-30,424308242,424308242,1,51894000000,19891000000,28934000000,12482000000,21910000000,1050000000,0,0,8877000000,30849000000,856000000,856000000,2.01,2.01,0.8,496000000,-636000000,-779000000,-900000000,3551000000,635000000,113.09,122.42,103.75,0.2075,0.0899,51.64,2.22,10.91,15.27,0.2928,0.4052,0.4222,0.0396,2.27,-0.33,1.5936
2018-06-30,427398027,427398027,1,50678000000,18948000000,27874000000,11341000000,21769000000,1035000000,0,0,8876000000,31015000000,845000000,845000000,1.96,1.96,0.8,2059000000,-1380000000,-829000000,-207000000,4451000000,714000000,108.37,126.98,89.75,0.2105,0.0913,50.93,2.13,11.24,14.47,0.2864,0.4077,0.4296,0.0421,2.17,3.15,1.6708
2018-03-31,431023418,431023418,1,49376000000,18260000000,26451000000,10752000000,21877000000,1048000000,0,0,8086000000,26439000000,469000000,469000000,1.09,1.09,0.8,138000000,-752000000,-573000000,-1192000000,4658000000,661000000,91.43,99.95,82.9,0.201,0.0874,50.76,1.8,9.91,13.67,0.2988,0.3696,0.4431,0.0429,2.04,-1.21,1.6983
2017-12-31,433176258,433176258,1,50158000000,19312000000,27258000000,11071000000,21991000000,909000000,0,142000000,8750000000,26392000000,2371000000,2371000000,5.41,5.41,0.7,1660000000,-642000000,-329000000,674000000,5850000000,582000000,84.51,93.18,75.84,0.198,0.0855,50.77,1.82,18.21,12.87,0.303,0.3979,0.4384,0.0433,1.98,2.49,1.7444
2017-09-30,437581357,437581357,1,47988000000,17442000000,26764000000,9130000000,20370000000,854000000,0,0,8364000000,23562000000,841000000,841000000,1.91,1.91,0.7,1037000000,-566000000,-615000000,-31000000,5176000000,414000000,71,77.77,64.22,0.1029,0.0443,46.55,1.57,17.49,12.17,0.5818,0.4106,0.4245,0.0233,1.9,1.42,1.9104
2017-06-30,441663968,441663968,1,45974000000,15731000000,25209000000,7683000000,19923000000,842000000,0,0,8366000000,22254000000,548000000,548000000,1.23,1.23,0.7,1797000000,-460000000,-676000000,744000000,5207000000,356000000,64.54,68.39,60.69,0.0915,0.0397,45.11,1.46,14.15,11.47,0.6353,0.4199,0.4334,0.0217,1.83,3.26,2.0475
2017-03-31,447231409,447231409,1,46047000000,15908000000,25396000000,7899000000,19825000000,826000000,0,0,8369000000,21772000000,305000000,305000000,0.68,0.68,0.7,988000000,-714000000,-652000000,-353000000,4463000000,596000000,67.93,71.4,64.45,0.104,0.0456,44.33,1.53,13.78,10.77,0.5393,0.4221,0.4305,0.0257,1.78,0.88,2.0139
2016-12-31,451049519,451049519,1,46173000000,16800000000,25319000000,8328000000,20024000000,830000000,0,148000000,7886000000,20712000000,367000000,367000000,0.81,0.82,0.6,998000000,-622000000,-1433000000,-1133000000,4816000000,610000000,61.18,69.85,52.51,0.1122,0.0503,44.39,1.36,12.93,10.07,0.481,0.3938,0.4337,0.0303,1.66,0.86,2.0173
