"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,132286856,132286856,1,10480764000,1255015000,5109317000,663588000,5371447000,0,0,4244047000,2781850000,1327682000,197558000,197558000,1.49,1.48,0.31,185752000,-96470000,-93868000,-4586000,26522000,99130000,128.14,137.92,118.37,0.1078,0.0557,40.6,3.24,32.52,9.44,0.2763,0.5179,0.5125,0.1212,0.46,0.65,1.8913
2019-03-31,132092119,132092119,1,10296852000,1083851000,5079643000,659607000,5217209000,0,0,4247240000,2780589000,996511000,63299000,63299000,0.48,0.48,0.31,116164000,-119878000,-9582000,-13296000,31108000,115507000,107.66,120,95.31,0.1022,0.0528,39.5,2.73,27.96,9.13,0.2887,0.533,0.5067,0.1163,0.45,0,1.6432
2018-12-31,131830868,131830868,1,9832130000,1079145000,4629227000,602550000,5202903000,0,0,4260774000,2779357000,1088047000,124023000,124023000,0.94,0.93,0.28,260146000,-120393000,-138418000,1335000,44404000,111478000,98.56,114.59,82.52,0.1017,0.0529,39.47,2.53,18.42,8.82,0.2868,0.5342,0.5292,0.1177,0.45,1.13,1.791
2018-09-30,132047816,132047816,1,9875635000,1175912000,4729846000,690415000,5145789000,0,0,4268969000,2778129000,1240197000,179151000,179151000,1.35,1.34,0.28,296871000,-92889000,-222028000,-18046000,43069000,96757000,118.81,131.52,106.1,0.1435,0.0744,38.97,3.13,24.65,8.54,0.2004,0.5399,0.5211,0.1684,0.44,1.52,1.7032
2018-06-30,132268189,132268189,1,9844784000,1183202000,4824154000,811796000,5020630000,0,0,4320852000,2776906000,1200151000,159652000,159652000,1.21,1.19,0.28,182792000,-264585000,96394000,14601000,61115000,111656000,120.88,133.59,108.17,0.1325,0.0679,37.96,3.25,26.74,8.26,0.2162,0.5531,0.51,0.1572,0.43,0.54,1.4575
2018-03-31,132185410,132185410,1,9453211000,1011199000,4540001000,583307000,4913210000,0,0,4190992000,2775687000,854474000,52979000,52979000,0.4,0.39,0.28,92968000,-192024000,-1076000,-100132000,46514000,126987000,125.72,141.2,110.23,0.1271,0.0637,37.17,3.35,28.19,7.98,0.2237,0.5649,0.5197,0.1539,0.41,-0.26,1.7336
2017-12-31,132482375,132482375,1,9504891000,1180101000,4535998000,442872000,4968893000,0,0,4185951000,2813482000,977490000,327546000,327546000,2.47,2.43,0.25,245143000,-711925000,-96768000,-563550000,146646000,87368000,122.32,129.63,115.01,0.1281,0.064,37.51,3.45,40.37,7.7,0.2201,0.5662,0.5228,0.1545,0.41,1.19,2.6647
2017-09-30,132284484,132284484,1,9439334000,1746972000,4754200000,413699000,4685134000,0,0,3936606000,2809966000,1094715000,108579000,108579000,0.82,0.81,0.25,244313000,-73938000,-599011000,-428636000,701163000,73938000,120.94,130.12,111.77,0.0894,0.045,35.42,3.48,37.1,7.45,0.3059,0.5998,0.4963,0.1089,0.41,1.29,4.2228
2017-06-30,132274995,132274995,1,9869943000,2184812000,5267839000,925793000,4602104000,0,0,3936410000,2809293000,1030763000,120139000,120139000,0.91,0.89,0.25,61070000,-175811000,957583000,842842000,1129799000,150721000,125.59,134.92,116.26,0.0971,0.0499,34.79,3.67,38.29,7.2,0.2694,0.6104,0.4663,0.1199,0.42,-0.68,2.3599
2017-03-31,132156277,132156277,1,8744324000,1157762000,4223563000,360898000,4520761000,0,0,3930355000,2329248000,787328000,44921000,44921000,0.34,0.33,0.25,94152000,-307817000,241636000,27971000,286957000,131783000,122.88,136.82,108.95,0.0986,0.0526,34.21,3.56,39.77,6.95,0.2527,0.5152,0.517,0.1233,0.43,-0.28,3.208
2016-12-31,132355703,132355703,1,8471475000,1137182000,3898999000,372244000,4572476000,0,0,3863876000,1982751000,859734000,137052000,137052000,1.03,1,0.2,299140000,-85529000,-89990000,123621000,258986000,45255000,121.94,138.18,105.71,0.0933,0.0503,34.55,3.58,44.5,6.7,0.2531,0.4336,0.5397,0.1172,0.43,1.92,3.0549
2016-09-30,132309274,132309274,1,8358085000,1076759000,3854115000,360912000,4503970000,0,0,3848138000,1983639000,1008140000,139765000,139765000,1.05,1.04,0.2,242915000,-83612000,-115840000,43463000,135365000,84238000,116.81,127.2,106.42,0.0832,0.0447,34.04,3.47,44.75,6.5,0.2505,0.4404,0.5389,0.1038,0.43,1.2,2.9834
2016-06-30,133071629,133071629,1,8290113000,1023407000,3810782000,332678000,4479331000,0,0,3849165000,1982527000,956825000,123750000,123750000,0.93,0.91,0.2,59676000,-89826000,-69834000,-99984000,91902000,90139000,112.91,121.22,104.61,0.0802,0.0429,33.66,3.4,54.81,6.3,0.2248,0.4426,0.5403,0.0985,0.44,-0.23,3.0763
2016-03-31,133188158,133188158,1,8247025000,1007503000,3825972000,356485000,4421053000,0,0,3848196000,1981425000,754728000,18924000,18924000,0.14,0.14,0.2,42857000,-106110000,-28921000,-92174000,191886000,107198000,92.81,106.78,78.83,0.0641,0.0338,33.19,2.78,57.29,6.1,0.2381,0.4482,0.5361,0.0789,0.43,-0.48,2.8262
2015-12-31,133181057,133181057,1,8301632000,1084591000,3847444000,353479000,4454188000,0,0,3861403000,1980334000,857285000,88888000,88888000,0.67,0.65,0.1,222041000,-78289000,-28373000,115379000,284060000,70693000,97.12,106.84,87.4,0.0514,0.0267,33.44,2.97,77.7,5.9,0.2407,0.4446,0.5365,0.0646,0.41,1.14,3.0683
2015-09-30,133318991,133318991,1,8316866000,1143690000,3953589000,412077000,4363277000,0,0,3861519000,1979493000,1038460000,123805000,123805000,0.93,0.91,0.1,216700000,-64430000,-58325000,93945000,168681000,65049000,93.38,102.65,84.1,0.0402,0.0207,32.73,2.94,109.86,5.8,0.2809,0.4537,0.5246,0.0513,0.4,1.14,2.7754
