"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,190813470,190813470,1,17913857000,None,9555651000,None,6860554000,1497652000,891256000,0,1270796000,463103000,2400195000,2400195000,12.58,12.56,0.66,228734000,1710217000,-1771675000,167276000,1076910000,27531000,66.66,70.45,62.87,0.696,0.1677,31.28,3.58,21.86,62.5,0.1704,0.2129,0.3332,1.385,0.12,1.05,None
2019-03-31,190761498,190761498,1,17637955000,None,11679978000,None,4443992000,1513985000,891263000,0,2120337000,534668000,194022000,194022000,0.95,0.95,0.66,64118000,403294000,-274683000,192729000,909634000,-211402000,65.25,70.54,59.95,0.1704,0.0371,18.62,3.48,32.46,61.84,0.8139,0.5968,0.2014,0.276,0.13,1.44,None
2018-12-31,190535499,190535499,1,17180794000,None,11289349000,None,4465231000,1426214000,891294000,136781000,1668823000,543417000,113027000,100494000,0.52,0.52,0.63,314603000,-225416000,-292092000,-202905000,716905000,79861000,66.27,73.06,59.48,0.1106,0.0266,18.76,3.62,40.66,61.18,1.2462,0.4669,0.208,0.1779,0.13,1.23,None
2018-09-30,190285799,190285799,1,16678020000,None,10715929000,None,4377917000,1584174000,891294000,139994000,1673584000,542048000,203179000,190645000,1,1,0.63,246778000,-397400000,-141527000,-292149000,919810000,407947000,73.55,77.59,69.5,0.0904,0.0225,18.32,4.13,153.23,60.55,1.5194,0.48,0.2091,0.1616,0.11,-0.85,None
2018-06-30,190237957,190237957,1,16866083000,None,10984455000,None,4281875000,1599753000,891325000,146370000,1672911000,541818000,124068000,111534000,0.59,0.58,0.63,-24158000,-64286000,-117665000,-206109000,1211959000,125053000,69.41,74.28,64.53,0.0266,0.0097,17.82,3.81,136.1,59.92,5.0831,0.4934,0.201,0.048,0.11,-0.78,None
2018-03-31,190169168,190169168,1,16864483000,None,10982579000,None,4360092000,1521812000,891325000,152834000,1672239000,536437000,9680000,-17841000,-0.09,-0.09,0.63,265418000,-190620000,-571542000,-496744000,1418068000,185187000,71.22,78.31,64.13,0.0236,0.0096,18.24,3.93,83.79,59.29,5.0013,0.4821,0.2057,0.0482,0.11,0.42,None
2017-12-31,189983858,189983858,1,17397934000,None,11405296000,None,4337652000,1654986000,891988000,159260000,1592348000,308484000,44332000,27319000,0.14,0.14,0.6,198517000,-152022000,482534000,529029000,1914812000,163451000,76.1,80.3,71.9,0.0347,0.012,18.14,4.09,18.52,58.66,3.0668,0.4621,0.1981,0.0777,0.11,0.18,None
2017-09-30,189877859,189877859,1,16842120000,None,10583843000,None,4571079000,1687198000,1038011000,166198000,1219995000,528755000,-12898000,-29026000,-0.15,-0.15,0.6,345408000,197234000,-714557000,-171915000,1385783000,147428000,85.01,97.25,72.77,0.1492,0.0429,18.61,2.74,18.44,58.06,0.6388,0.3453,0.2098,0.3256,0.12,1.04,None
2017-06-30,189465023,189465023,1,20889290000,None,12067976000,None,6916434000,1904880000,1038011000,176506000,1334891000,626039000,132101000,115972000,0.61,0.61,0.71,14932000,-94875000,54627000,-25316000,1557689000,175764000,97.27,103.35,91.18,0.1544,0.0459,31.03,3.17,18.85,57.46,0.5756,0.2271,0.2814,0.3498,0.12,-0.85,None
2017-03-31,189343482,189343482,1,20731448000,None,11902047000,None,6841707000,1987694000,1038049000,184009000,1334157000,620848000,63881000,47752000,0.25,0.25,0.71,301285000,-156654000,-160948000,-16317000,1583005000,161581000,105.12,111.72,98.51,0.1771,0.051,30.65,3.39,24.45,56.75,0.4988,0.2299,0.2799,0.392,0.12,0.74,None
2016-12-31,189100876,189100876,1,20814847000,None,11917905000,None,6898519000,1998423000,1038055000,192731000,1333422000,638260000,667310000,651181000,3.45,3.4,0.63,426420000,-197172000,-80918000,148330000,1501027000,304661000,96.13,105.91,86.35,0.1518,0.0434,30.99,3.44,45.34,56.04,0.5781,0.2275,0.2816,0.3286,0.12,0.64,None
2016-09-30,188994234,188994234,1,20859369000,None,12542060000,None,6315831000,2001478000,1038111000,201450000,1332688000,633197000,92580000,66125000,0.35,0.35,0.63,250954000,-259762000,-282562000,-291370000,1352697000,233342000,102.94,108.69,97.18,0.0758,0.0234,27.93,3.66,36.5,55.41,1.18,0.2525,0.253,0.16,0.12,0.09,None
2016-06-30,188825520,188825520,1,21073730000,None,12480658000,None,6594107000,1998965000,1276954000,210010000,1703408000,621708000,240826000,220463000,1.17,1.16,0.63,46648000,-190661000,114514000,-29499000,1644067000,161440000,95.13,100.13,90.13,0.1002,0.0297,28.16,3.42,37.6,54.78,0.8872,0.3204,0.2523,0.2132,0.12,-0.61,None
2016-03-31,188771002,188771002,1,20873374000,None,12396134000,None,6524924000,1952316000,1276954000,218388000,1586666000,613037000,-93799000,-114163000,-0.61,-0.61,0.63,276645000,-241598000,-197188000,-162141000,1673566000,202597000,89.44,99.97,78.91,0.0902,0.0276,27.8,3.11,24.91,54.15,0.9879,0.3023,0.2514,0.1918,0.12,0.39,None
2015-12-31,188576853,188576853,1,21143293000,None,12437994000,None,6697595000,2007704000,1276954000,227901000,0,651581000,251107000,230742000,1.23,1.22,0.63,228625000,-198363000,1017308000,1047570000,1835707000,136998000,96.36,103.41,89.32,0.1289,0.038,28.74,3.36,18.97,53.52,0.6986,0,0.2564,0.2717,0.13,0.49,None
2015-09-30,188540876,188540876,1,19971926000,None,11413540000,None,6682147000,1876239000,1276985000,241814000,0,627596000,219234000,198870000,1.05,1.05,0.63,258909000,-5781000,18672000,271800000,788137000,164641000,91.78,98.96,84.6,0.1821,0.0521,28.67,3.29,19.44,52.89,0.5126,0,0.2706,0.3672,0.13,0.5,None
2015-06-30,188496525,188496525,1,19585907000,None,11187703000,None,6537744000,1860460000,1277010000,245846000,0,616288000,186016000,165651000,0.88,0.87,0.63,-9900000,-624473000,83142000,-551231000,516337000,527103000,103.84,113.12,94.55,0.1706,0.0481,27.91,3.9,24.38,52.26,0.5718,0,0.2686,0.3358,0.13,-2.85,None
