"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,257035443,257035443,1,7033471000,4710968000,1963506000,1259220000,5069965000,0,0,50384000,0,8238000,267427000,267427000,1.04,1.03,0,463749000,-50190000,-13015000,400114000,3301646000,16358000,177.69,191.71,163.68,0.5171,0.3625,19.72,9.64,21.41,0,0,0,0.7208,1.3266,0.27,1.74,3.7412
2019-03-31,256121360,256121360,1,6543114000,4183039000,1819801000,1106468000,4723313000,0,0,50384000,0,6839000,268631000,268631000,1.05,1.03,0,324784000,-39138000,-41989000,243279000,2901532000,18041000,178.38,195.81,160.95,0.5843,0.3965,18.44,10.28,22.08,0,0,0,0.7219,0.8928,0.44,1.2,3.7805
2018-12-31,255656889,255656889,1,6245898000,3843109000,1810695000,1120292000,4435203000,0,0,50384000,581550000,870106000,1550527000,1550204000,6.07,5.97,0,314578000,-40904000,-101046000,171202000,2658253000,15721000,173.36,194.92,151.8,0.6747,0.4379,17.35,15.25,69.34,0,0,0.1311,0.7101,0.6879,0.64,1.17,3.4305
2018-09-30,255558035,255558035,1,4620840000,3686611000,1686359000,992508000,2906116000,28365000,0,79384000,576530000,784535000,128746000,128732000,0.51,0.5,0,381348000,-49889000,2079000,332983000,2487051000,20912000,179.24,193.78,164.7,0.2582,0.1573,11.37,17.05,112.73,0,0,0.1984,0.6289,0.2287,0.69,1.41,3.7144
2018-06-30,255559939,255559939,1,4335386000,3407423000,1620503000,927300000,2686228000,28655000,0,79384000,577675000,752157000,207360000,207295000,0.82,0.8,0,321703000,-116298000,-51208000,148340000,2154068000,29612000,158.03,172,144.07,0.1865,0.1105,10.51,16.78,183.76,0,0,0.2151,0.6196,0.1584,0.7,1.14,3.6746
2018-03-31,254830232,254830232,1,3952974000,3041116000,1522153000,827312000,2401056000,29765000,0,79384000,578206000,640799000,210263000,210164000,0.83,0.81,0,252657000,4933000,78956000,338202000,2005728000,29279000,162.23,178.25,146.21,0.1145,0.0646,9.42,20.3,155.99,0,0,0.2408,0.6074,0.0936,0.69,0.88,3.6759
2017-12-31,253891984,253891984,1,3546014000,2648963000,1503708000,807260000,2028579000,13727000,0,79384000,583902000,651634000,100684000,100820000,0.4,0.39,0,227511000,-21097000,73231000,280446000,1665412000,42604000,147.27,158.04,136.5,0.1506,0.0812,7.99,20.8,188.81,0,0,0.2878,0.5721,0.1058,0.77,0.73,3.2814
2017-09-30,252902848,252902848,1,3198325000,2327974000,1395081000,710739000,1791077000,12167000,0,79384000,567310000,578165000,-102952000,-102952000,-0.41,-0.41,0,170086000,-162456000,152705000,161836000,1384966000,27951000,146.68,167.86,125.5,0.1277,0.0635,7.08,22.12,142.41,0,0,0.3167,0.56,0.0851,0.74,0.56,3.2754
2017-06-30,252118869,252118869,1,3285594000,2180572000,1418363000,625406000,1671273000,195958000,0,284340000,550365000,544135000,17996000,17973000,0.07,0.07,0,181653000,-96347000,132033000,219451000,1223130000,17707000,122.25,137.26,107.24,0.194,0.0885,6.63,20.31,174.64,0,0,0.3293,0.5087,0.1217,0.73,0.65,3.4867
2017-03-31,249068782,249068782,1,2946703000,1871814000,1263910000,489796000,1500008000,182785000,0,334724000,529130000,714718000,247756000,247350000,1.01,0.99,0,265692000,-157781000,-289565000,-180266000,1003679000,11159000,92.61,111.88,73.34,0.1519,0.0645,6.02,19.87,None,0,0,0.3528,0.509,0.0876,0.73,1.02,3.8216
