"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,372584521,372584521,1,22988911000,None,11889887000,None,10820011000,279013000,0,1438784000,10489849000,398570000,210529000,210529000,0.58,0.58,0.7925,393099000,-439903000,44895000,-1935000,138296000,239088000,65.47,73.74,57.2,0.048,0.022,29.04,2.31,51.55,40.78,2.2891,0.9695,0.4707,0.1559,0.14,0.41,None
2019-03-31,358388956,358388956,1,22668097000,None,12255698000,None,10149663000,262736000,0,1455298000,10904222000,942874000,125785000,125785000,0.35,0.35,0.7925,336120000,-67824000,-259763000,8767000,140231000,67153000,60.93,65.34,56.52,0.0439,0.0201,28.32,2.13,53.45,39.99,2.4804,1.0743,0.4478,0.1215,0.17,0.75,None
2018-12-31,356647224,356647224,1,22584555000,None,12124820000,None,10215857000,243878000,0,1668155000,10733699000,923263000,60878000,60878000,0.17,0.18,0.79,363845000,-340449000,-40117000,-17083000,131464000,366919000,58.75,65.7,51.8,0.0388,0.0179,28.64,2,28.52,39.2,2.7604,1.0507,0.4523,0.1089,0.16,-0.01,None
2018-09-30,356467761,356467761,1,22597953000,None,11941642000,None,10452839000,203472000,0,1683982000,10478455000,936538000,101972000,101972000,0.29,0.28,0.79,307286000,-60961000,-255829000,-9556000,148547000,110205000,56.85,60.42,53.28,0.0693,0.032,29.32,1.91,16.29,38.41,1.5222,1.0025,0.4626,0.199,0.16,0.55,None
2018-06-30,356439019,356439019,1,22699134000,None,11871748000,None,10616948000,210438000,0,1694553000,10402897000,942304000,166519000,166519000,0.47,0.46,0.79,402317000,555353000,-962743000,-5479000,158103000,-32861000,52.02,57.48,46.55,0.1166,0.0535,29.79,1.73,15.08,37.62,0.8966,0.9798,0.4677,0.34,0.16,1.22,None
2018-03-31,356312328,356312328,1,23493510000,None,12556911000,None,10740815000,195784000,0,1731551000,11039812000,943705000,80098000,78703000,0.22,0.22,0.79,308019000,170553000,-503248000,-24671000,163582000,-69414000,54.14,60.49,47.8,0.1158,0.0523,30.14,1.77,14.32,36.83,0.9042,1.0278,0.4572,0.3404,0.15,1.06,None
2017-12-31,356198053,356198053,1,23954541000,None,12863866000,None,10866226000,224449000,0,1747074000,11276062000,895288000,393805000,392554000,1.11,1.1,0.79,355941000,-266466000,-93073000,-3708000,81355000,250648000,62.62,65.39,59.84,0.128,0.057,30.51,2.08,19.21,36.04,0.8198,1.0377,0.4536,0.3795,0.15,0.3,None
2017-09-30,356163849,356163849,1,23739795000,None,12769738000,None,10731340000,238717000,0,1764059000,11424145000,899928000,615191000,613958000,1.72,1.71,0.78,348983000,441312000,-805871000,-18290000,85063000,-290753000,67.39,69.98,64.8,0.1116,0.0497,30.13,2.31,34.21,35.25,0.9421,1.0646,0.452,0.3296,0.15,1.8,None
2017-06-30,356150173,356150173,1,23855758000,None,13231452000,None,10374058000,250248000,0,1786012000,11907997000,895490000,152968000,151831000,0.43,0.42,0.78,401525000,-117298000,-275458000,12069000,103353000,5419000,67.28,71.93,62.63,0.0678,0.0301,29.13,2.29,34.15,34.47,1.5337,1.1479,0.4349,0.2008,0.15,1.11,None
2017-03-31,354873863,354873863,1,23919331000,None,13264072000,None,10414606000,240653000,0,1807720000,11943733000,883443000,199148000,198127000,0.56,0.55,0.775,335731000,-1034065000,503075000,-195423000,91284000,309130000,62.38,65.41,59.36,0.068,0.0303,29.35,2.11,33.54,33.69,1.5222,1.1468,0.4354,0.201,0.15,0.07,None
2016-12-31,354623008,354623008,1,23166600000,None,12437119000,None,10460240000,269241000,0,1810079000,11127326000,875713000,208832000,207637000,0.59,0.58,0.77,366187000,260143000,-428493000,197428000,286707000,-138071000,63.52,69.19,57.86,0.0645,0.0287,29.5,2.14,38.5,32.92,1.594,1.0638,0.4515,0.1885,0.15,1.42,None
2016-09-30,354109643,354109643,1,23426264000,None,12646541000,None,10488539000,291184000,0,1853048000,11252327000,867116000,150184000,149452000,0.43,0.42,0.73,344795000,-1258219000,945667000,31957000,89279000,1440229000,71.94,76.56,67.33,0.0576,0.0252,29.62,2.61,55.77,32.15,1.7784,1.0728,0.4477,0.1661,0.15,-3.09,None
2016-06-30,351350059,351350059,1,22093472000,None,12126010000,None,9689715000,277747000,0,1684809000,10901131000,848404000,143440000,143162000,0.42,0.42,0.73,383584000,-69816000,-307872000,5621000,57322000,69599000,66.25,72.82,59.69,0.0457,0.0198,27.58,2.33,50.19,31.42,2.2554,1.125,0.4386,0.1369,0.14,0.89,None
2016-03-31,338132079,338132079,1,22261292000,None,12399024000,None,9614195000,248073000,0,1728668000,11247730000,852289000,149034000,148980000,0.44,0.44,0.73,272891000,-166751000,-107580000,-1322000,51701000,17897000,55.83,63.22,48.43,0.0448,0.0196,28.43,1.96,44.66,30.69,2.2356,1.1699,0.4319,0.1372,0.14,0.75,None
2015-12-31,336070352,336070352,1,22261918000,None,12439962000,None,9564327000,257629000,0,1083233000,11206996000,841274000,125060000,124728000,0.37,0.37,0.73,369722000,-169127000,-212520000,-12208000,53023000,71916000,54.03,58.38,49.68,0.0405,0.018,28.46,1.87,43.57,29.96,2.4231,1.1717,0.4296,0.1271,0.14,0.89,None
2015-09-30,332982775,332982775,1,22413977000,None,12545471000,None,9609435000,259071000,0,1088253000,11268560000,669778000,23005000,22852000,0.07,0.06,0.73,304321000,-1257818000,958532000,4699000,65231000,1226847000,60.59,68.52,52.66,0.0397,0.0174,28.86,1.83,39.34,29.23,2.5693,1.1727,0.4287,0.1232,0.14,-2.77,None
2015-06-30,332502301,332502301,1,24275162000,None,12982012000,None,11027483000,265667000,0,1919317000,11507861000,891322000,150350000,149821000,0.45,0.45,0.79,373555000,-88217000,-345435000,-59693000,60532000,125942000,69.36,76.9,61.82,0.0495,0.0216,33.17,2.08,44.46,28.5,2.0496,1.0436,0.4543,0.1449,0.15,0.74,None
2015-03-31,330882196,330882196,1,24439871000,None,13069661000,None,11039890000,330320000,0,1871543000,11603925000,884024000,120807000,120442000,0.37,0.37,0.79,344169000,-908530000,629545000,64877000,120225000,960836000,75.03,80.95,69.12,0.0515,0.0221,33.37,2.86,46.89,27.71,1.9921,1.0511,0.4517,0.1476,0.15,-1.86,None
2014-12-31,330809789,330809789,1,21226171000,None,12299758000,None,8680184000,246229000,0,980009000,10888092000,803987000,107645000,107190000,0.37,0.36,0.79,334873000,-818870000,476036000,-9247000,55348000,345582000,68.46,74.44,62.48,0.055,0.0235,26.24,2.36,42.52,26.92,1.8887,1.2544,0.4089,0.1547,0.15,-0.03,None
2014-09-30,294318374,294318374,1,20651165000,None,11864912000,None,8548796000,237457000,0,997054000,10469106000,779035000,109701000,109132000,0.37,0.36,0.72,324270000,-850737000,500079000,-22040000,64595000,899775000,63.37,66.04,60.7,0.0549,0.0239,29.05,2.15,38.41,26.13,1.7863,1.2246,0.414,0.159,0.15,-1.96,None
