"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,4135706646,4135706646,1,283947000000,33397000000,226487000000,38607000000,55856000000,1604000000,0,128480000000,105045000000,32128000000,5032000000,5032000000,1.22,1.22,0.6025,7081000000,-4803000000,-2657000000,-379000000,3537000000,4372000000,56.73,61.19,52.28,0.2972,0.0594,13.51,4.41,15.09,46.47,0.6181,1.8806,0.1967,0.122,0.49,0.66,0.8651
2018-12-31,4132045883,4132045883,1,264829000000,34636000000,210119000000,37930000000,53145000000,1565000000,0,128519000000,105873000000,34281000000,1939000000,1939000000,0.46,0.46,0.6,8095000000,-4798000000,-2956000000,341000000,3916000000,4754000000,56.99,61.58,52.4,0.2951,0.0587,12.86,4.32,7.25,45.86,0.634,1.9922,0.2007,0.1187,0.49,0.81,0.9132
2018-09-30,4132015101,4132015101,1,265562000000,33154000000,209475000000,34167000000,54495000000,1592000000,0,132937000000,106440000000,32607000000,4924000000,4924000000,1.19,1.19,0.6025,9811000000,-4408000000,-4556000000,847000000,3575000000,4340000000,52.56,55.42,49.7,0.6439,0.1228,13.19,4.17,6.95,45.26,0.3029,1.9532,0.2052,0.2471,0.5,1.32,0.9704
2018-06-30,4131935606,4131935606,1,263303000000,30876000000,209728000000,32329000000,52024000000,1551000000,0,132916000000,109174000000,32203000000,4120000000,4120000000,1,1,0.59,9785000000,-3443000000,-6549000000,-207000000,2728000000,3471000000,48.89,51.69,46.09,0.7167,0.1191,12.59,3.98,6.41,44.66,0.313,2.0985,0.1976,0.2388,0.5,1.53,0.9551
2018-03-31,4131896508,4131896508,1,264516000000,31025000000,212171000000,31615000000,50781000000,1564000000,0,132812000000,112734000000,31772000000,4545000000,4545000000,1.11,1.11,0.59,6648000000,-5285000000,-1316000000,47000000,2935000000,5522000000,50.48,54.77,46.2,0.8552,0.1212,12.29,4.78,6.86,44.07,0.308,2.22,0.192,0.2437,0.5,0.27,0.9813
2017-12-31,4079486153,4079486153,1,257143000000,29913000000,212456000000,33037000000,43096000000,1591000000,0,127836000000,113642000000,33955000000,18669000000,18669000000,4.56,4.56,0.59,8084000000,-5671000000,-4821000000,-2408000000,2079000000,6079000000,48.83,53.69,43.97,None,0.119,10.56,7.42,12.55,43.48,0.3165,2.637,0.1676,0.2388,0.5,0.49,0.9054
2017-09-30,4079440836,4079440836,1,254682000000,30867000000,226231000000,28930000000,26848000000,1603000000,0,127601000000,115317000000,31717000000,3620000000,3620000000,0.89,0.89,0.59,7303000000,-3818000000,-3581000000,-96000000,4487000000,4425000000,46.56,50.32,42.8,0.6497,0.0638,6.58,7.55,11.97,42.89,0.5955,4.2952,0.1054,0.128,0.5,0.71,1.067
2017-06-30,4079407956,4079407956,1,252978000000,28823000000,226217000000,27758000000,25189000000,1572000000,0,127674000000,116390000000,30548000000,4362000000,4362000000,1.07,1.07,0.578,8237000000,-5050000000,-2911000000,276000000,4583000000,4063000000,46.95,49.55,44.36,0.695,0.0648,6.17,8.15,15.7,42.3,0.5922,4.6207,0.0996,0.1288,0.5,1.02,1.0384
2017-03-31,4079369367,4079369367,1,246731000000,27158000000,221694000000,26664000000,23493000000,1544000000,0,124296000000,112839000000,29814000000,3450000000,3450000000,0.85,0.84,0.5775,1681000000,-4833000000,4579000000,1427000000,4307000000,3263000000,51.31,54.83,47.8,0.5724,0.051,5.76,9.28,15.98,41.72,0.7645,4.8031,0.0952,0.0992,0.51,-0.39,1.0185
2016-12-31,4076731752,4076731752,1,244180000000,26395000000,220148000000,30340000000,22524000000,1508000000,0,122775000000,105433000000,32340000000,4495000000,4495000000,1.1,1.09,0.58,5086000000,-8444000000,-203000000,-3561000000,2880000000,5785000000,49.95,53.9,46.01,0.6493,0.0547,5.53,9.95,14.52,41.15,0.7104,4.6809,0.0922,0.1042,0.52,-0.17,0.87
