"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,230724058,230724058,1,5185661000,663764000,4544967000,323637000,640694000,0,0,2019593000,2301563000,408583000,31894000,31894000,0.14,0.14,0.1,62021000,-15889000,-62551000,-14535000,471977000,11215000,16.73,18.14,15.32,0.7541,0.1045,2.78,5.93,8.9,3.5,0.1782,3.5923,0.1236,0.2916,0.36,0.22,2.051
2018-12-30,230230350,230230350,1,4292035000,665718000,3643586000,284185000,648449000,0,0,2042037000,2752783000,397820000,18831000,18831000,0.07,0.08,0.09,-5434000,-28538000,-154801000,-194267000,486512000,29780000,16.61,18.26,14.96,0.7915,0.1083,2.82,5.02,6.86,3.4,0.1767,4.2452,0.1511,0.2894,0.37,-0.15,2.3426
2018-09-30,236768234,236768234,1,4507432000,856090000,3724114000,339103000,783318000,0,0,2052882000,2759766000,400550000,391249000,391249000,1.65,1.6,0.085,81241000,414084000,-55673000,441858000,680779000,14770000,17.49,18.68,16.31,None,0.143,3.31,9.61,19.88,3.31,0.1288,3.5232,0.1738,0.4,0.36,0.28,2.5246
2018-07-01,236991883,236991883,1,4080179000,433445000,3649640000,252762000,430539000,0,0,2043246000,2771660000,411002000,29876000,29876000,0.13,0.12,0.085,79710000,-11533000,-69605000,-3347000,238921000,11866000,17.12,18.22,16.01,0.4635,0.0546,1.82,8.82,22.83,3.23,0.3318,6.4377,0.1055,0.1587,0.34,0.29,1.7148
2018-04-01,239213450,239213450,1,4109838000,442414000,3646841000,250106000,462997000,0,0,2053772000,2777183000,380564000,20159000,20159000,0.08,0.08,0.085,68711000,-11102000,-25683000,29444000,242268000,10218000,16.25,17.7,14.8,0.3864,0.0468,1.94,6.8,21.38,3.14,0.3705,5.9983,0.1127,0.1455,0.32,0.24,1.7689
2017-12-31,239414307,239414307,1,4096938000,404353000,3523735000,227162000,573203000,0,0,2064919000,2724230000,309247000,159276000,159276000,0.66,0.62,0.07,74897000,-29227000,-60130000,-15182000,171447000,26541000,15.28,16.98,13.57,0.379,0.0478,2.39,8,58.77,3.06,0.3501,4.7526,0.1399,0.1586,0.3,0.2,1.78
2017-10-01,242196738,242196738,1,4090273000,420881000,3627678000,234422000,462595000,0,0,2075638000,2696520000,308000000,14257000,14257000,0.06,0.06,0.07,56160000,-16552000,-61023000,-17914000,186629000,19516000,15.17,16.17,14.16,0.1271,0.0158,1.91,7.58,39.92,2.99,1.0757,5.8291,0.1131,0.052,0.3,0.15,1.7954
2017-07-02,243456241,243456241,1,4108663000,440923000,3621614000,229530000,487049000,0,0,2081052000,2699760000,320342000,-1845000,-1845000,-0.01,-0.01,0.07,81931000,-15104000,-57958000,11308000,204543000,-59024000,14.97,16.66,13.29,0.1772,0.0244,2,7,30.55,2.92,0.681,5.5431,0.1185,0.0768,0.32,0.58,1.921
2017-04-02,245456174,245456174,1,3952325000,438530000,3427476000,208614000,524849000,0,0,2056198000,2527819000,285819000,22341000,22341000,0.09,0.09,0.07,38652000,-6428000,-37973000,-5005000,193235000,13161000,13.75,14.46,13.03,0.2089,0.0314,2.14,6.43,28.06,2.85,0.5179,4.8163,0.1328,0.0943,0.33,0.1,2.1021
2017-01-01,246926773,246926773,1,3939314000,452532000,3411578000,230081000,527736000,0,0,2063941000,2487630000,309901000,28891000,28891000,0.11,0.12,0.07,50611000,29650000,-188852000,-110544000,198240000,-47045000,12.25,13.96,10.54,0.1969,0.0317,2.14,4.64,18.01,2.78,0.4966,4.7138,0.134,0.0903,0.35,0.4,1.9668
2016-10-02,257028237,257028237,1,4114424000,612837000,3435849000,264986000,678575000,0,0,2068368000,2491992000,364012000,48890000,48890000,0.19,0.18,0.06,29839000,84612000,-70426000,42604000,308784000,-88522000,10.16,11,9.33,0.2611,0.0452,2.64,3.83,19.17,2.71,0.3392,3.6724,0.1649,0.1184,0.38,0.46,2.3127
2016-07-03,261255301,261255301,1,4135220000,655732000,3442056000,277954000,693164000,0,0,2070435000,2485414000,382718000,26480000,26480000,0.1,0.1,0.06,53684000,-21927000,-79215000,-46743000,266180000,25744000,10.27,11.38,9.15,0.2014,0.0353,2.65,3.73,19.02,2.65,0.433,3.5856,0.1676,0.0867,0.41,0.11,2.3591
2016-04-03,266532514,266532514,1,4150310000,607355000,3416721000,256995000,733589000,0,0,2101039000,2478581000,378787000,25363000,25363000,0.09,0.09,0.06,47274000,-228000,-66042000,-14293000,312923000,-2327000,9.95,11,8.89,0.1618,0.0365,2.75,3.57,19.13,2.59,0.3975,3.3787,0.1768,0.0892,0.41,0.19,2.3633
2016-01-03,270010291,270010291,1,4108720000,616569000,3355806000,268774000,752914000,0,0,2110368000,2402823000,449888000,85856000,85856000,0.31,0.31,0.06,93851000,98972000,-39241000,151516000,327216000,-94655000,9.72,10.9,8.54,0.1312,0.037,2.79,3.77,36,2.53,0.4282,3.1914,0.1832,0.0862,0.43,0.7,2.294
2015-09-27,273479452,273479452,1,4080782000,595042000,3375325000,304907000,705457000,0,0,2118830000,2379934000,464629000,7584000,7584000,0.03,0.03,0.055,65515000,-48320000,-1032721000,-1021867000,175700000,50038000,10.09,11.28,8.9,0.0671,0.0226,2.58,1.68,33.63,2.47,0.7593,3.3736,0.1729,0.0513,0.44,0.06,1.9516
2015-06-28,290282990,290282990,1,5106545000,1553919000,3368119000,297900000,1738426000,0,0,2155222000,2379782000,489534000,40195000,40195000,0.11,0.11,0.055,31374000,43108000,918854000,994705000,1197567000,36854000,10.85,11.58,10.12,0.066,0.0259,5.99,2.3,40.19,2.41,0.6859,1.3689,0.3404,0.0578,0.45,-0.02,5.2162
