"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,4406107022,4406107022,1,1923388000000,None,1723351000000,None,199042000000,995000000,23021000000,1900000000,241511000000,21584000000,6206000000,6206000000,1.31,1.3,0.45,-669000000,-10698000000,26826000000,15459000000,164427000000,0,46.94,49.68,44.2,0.1309,0.0127,39.95,1.21,10.36,21.09,0.3491,1.3721,0.0915,0.2657,0.05,-0.15,None
2019-03-31,4494342882,4494342882,1,1887792000000,None,1689059000000,None,197832000000,901000000,23214000000,28369000000,236373000000,21609000000,5860000000,5507000000,1.21,1.2,0.45,7951000000,-9026000000,-23244000000,-24319000000,148968000000,0,48.91,52.42,45.41,0.1222,0.0123,38.85,1.29,11.4,20.64,0.3672,1.3537,0.0925,0.2493,0.05,1.77,None
2018-12-31,4549421815,4549421815,1,1895883000000,None,1698817000000,None,196166000000,900000000,23214000000,28420000000,229080000000,20980000000,6064000000,5711000000,1.23,1.22,0.43,15034000000,-18245000000,16975000000,13764000000,173287000000,0,49.03,55.04,43.02,0.1172,0.0118,38.02,1.32,11.51,20.19,0.375,1.3245,0.0912,0.2394,0.05,3.3,None
2018-09-30,4707244168,4707244168,1,1872981000000,None,1673302000000,None,198741000000,938000000,23482000000,28665000000,221360000000,21941000000,6007000000,5453000000,1.14,1.13,0.43,6658000000,-220000000,-10364000000,-3926000000,159523000000,0,55.97,59.52,52.41,0.1168,0.0119,37.23,1.5,14.1,19.76,0.3689,1.263,0.0936,0.2381,0.05,1.41,None
2018-06-30,4816137157,4816137157,1,1879700000000,None,1673631000000,None,205188000000,881000000,25737000000,28927000000,219322000000,21553000000,5186000000,4792000000,0.98,0.98,0.39,-849000000,550000000,-38647000000,-38946000000,163449000000,0,53.69,57.12,50.26,0.109,0.0111,37.26,1.46,13.22,19.33,0.3875,1.2222,0.0955,0.2237,0.05,-0.18,None
2018-03-31,4872873834,4872873834,1,1915388000000,None,1709478000000,None,204952000000,958000000,26227000000,29213000000,227340000000,21934000000,5136000000,4733000000,0.97,0.96,0.39,15230000000,10161000000,-38943000000,-13552000000,202395000000,0,58.5,66.31,50.69,0.1124,0.0113,36.68,1.57,14.27,18.94,0.3761,1.272,0.0933,0.2291,0.05,3.13,None
2017-12-31,4877753899,4877753899,1,1951757000000,None,1743678000000,None,206936000000,1143000000,25358000000,29635000000,225059000000,22292000000,6320000000,5909000000,1.2,1.19,0.39,242000000,-14478000000,18397000000,4161000000,23367000000,0,57.54,62.24,52.84,0.1146,0.0114,37.23,1.57,14.87,18.55,0.3702,1.2395,0.093,0.2325,0.05,0.05,None
2017-09-30,4924261449,4924261449,1,1934939000000,None,1728115000000,None,205929000000,895000000,25576000000,29900000000,238932000000,21926000000,4596000000,4185000000,0.85,0.84,0.39,9522000000,-3286000000,-7278000000,-1042000000,19206000000,0,52.86,56.45,49.27,0.1098,0.0109,36.63,1.46,13.02,18.16,0.3898,1.3248,0.0932,0.2226,0.05,1.93,None
2017-06-30,4963944641,4963944641,1,1930871000000,None,1724726000000,None,205230000000,915000000,25785000000,30119000000,238876000000,22169000000,5810000000,5404000000,1.08,1.07,0.38,-4233000000,41873000000,-37090000000,550000000,20248000000,0,53.72,56.6,50.83,0.1161,0.0114,36.15,1.53,13.43,17.77,0.3691,1.3312,0.0929,0.2336,0.05,-0.85,None
2017-03-31,4997318006,4997318006,1,1951564000000,None,1749075000000,None,201500000000,989000000,25501000000,30517000000,256468000000,22002000000,5457000000,5056000000,1.01,1,0.38,13191000000,-29273000000,15051000000,-1031000000,19698000000,0,56.67,59.99,53.34,0.1152,0.0114,35.22,1.62,14.2,17.39,0.3749,1.4572,0.0902,0.231,0.05,2.64,None
