"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2017-07-02,320251710,320251710,1,6610000000,2191000000,3152000000,1324000000,3458000000,0,0,780000000,1046000000,3725000000,106000000,106000000,0.33,0.33,0.18,277000000,-407000000,-7000000,-137000000,403000000,132000000,37.43,43.84,31.02,0.1164,0.06,10.8,3.56,29.71,6.36,0.6046,0.3025,0.5231,0.0244,2.46,0.45,1.6548
2017-04-09,319564636,319564636,1,6513000000,2108000000,3154000000,1337000000,3359000000,0,0,781000000,1047000000,3737000000,99000000,99000000,0.31,0.31,0.14,340000000,-236000000,-43000000,61000000,536000000,131000000,31.52,34.66,28.38,0.1231,0.063,10.51,3.05,22.68,6.18,0.5472,0.3117,0.5157,0.0254,2.49,0.65,1.5767
2017-01-15,318564535,318564535,1,6382000000,1987000000,3090000000,1300000000,3292000000,0,0,782000000,1048000000,4918000000,95000000,95000000,0.3,0.3,0.275,284000000,-244000000,-38000000,2000000,475000000,245000000,30.33,32.8,27.86,0.1371,0.0702,10.33,2.99,19.57,6.04,0.4911,0.3183,0.5158,0.0281,2.49,0.12,1.5285
2016-09-25,318405710,318405710,1,6341000000,1975000000,3117000000,1341000000,3224000000,0,0,784000000,1048000000,3496000000,88000000,88000000,0.27,0.28,0.14,352000000,-418000000,-56000000,-121000000,351000000,197000000,31.17,34.67,27.67,0.1565,0.0804,10.13,3.12,21.95,5.77,0.3447,0.3251,0.5084,0.0322,2.49,0.49,1.4728
2016-07-03,318804485,318804485,1,6275000000,1925000000,3090000000,1324000000,3185000000,0,0,786000000,1049000000,3703000000,120000000,120000000,0.37,0.37,0.135,189000000,-293000000,-231000000,-333000000,472000000,183000000,31.74,35.43,28.06,0.141,0.0774,9.99,3.1,21.45,5.63,0.3667,0.3294,0.5076,0.0304,2.55,0.02,1.4539
2016-04-10,321027212,321027212,1,6362000000,2084000000,3077000000,1329000000,3285000000,0,0,787000000,1049000000,3696000000,142000000,142000000,0.44,0.44,0.135,343000000,-76000000,-145000000,126000000,805000000,159000000,31.27,34.61,27.94,0.1418,0.0837,10.23,3.11,21.13,5.49,0.3491,0.3193,0.5163,0.0327,2.56,0.57,1.5681
2016-01-17,324615927,324615927,1,6236000000,2018000000,2974000000,1238000000,3262000000,0,0,789000000,1052000000,4829000000,157000000,157000000,0.47,0.46,0.135,232000000,-108000000,319000000,442000000,679000000,179000000,31.86,34.99,28.73,0.139,0.0874,10.05,2.89,21.53,5.36,0.3447,0.3225,0.5231,0.0338,2.58,0.16,1.63
2015-09-27,341268311,341268311,1,5741000000,1544000000,1972000000,1252000000,3769000000,0,0,789000000,62000000,3439000000,57000000,57000000,0.16,0.15,0.13,132000000,216000000,-367000000,-20000000,237000000,172000000,36.08,41.97,30.18,0.1357,0.0902,11.04,3.17,21.48,5.22,0.344,0.0164,0.6565,0.0348,2.59,-0.12,1.2332
2015-07-05,357858014,357858014,1,6036000000,1804000000,1966000000,1257000000,4070000000,0,0,790000000,60000000,3632000000,154000000,154000000,0.43,0.43,0.13,288000000,-219000000,-132000000,-66000000,257000000,223000000,45.63,52.16,39.1,0.1533,0.1021,11.37,4.06,27.49,5.09,0.3018,0.0147,0.6743,0.0399,2.56,0.18,1.4352
2015-04-12,358279743,358279743,1,6052000000,1852000000,2020000000,1323000000,4032000000,0,0,789000000,60000000,3647000000,158000000,158000000,0.44,0.44,0.13,322000000,-201000000,-64000000,57000000,323000000,207000000,54.14,57.57,50.7,0.155,0.1029,11.25,4.98,33.84,4.96,0.298,0.0149,0.6662,0.0404,2.55,0.32,1.3998
2015-01-18,360763460,360763460,1,5953000000,1819000000,2027000000,1339000000,3926000000,0,0,790000000,61000000,4671000000,167000000,167000000,0.46,0.46,0.13,387000000,-251000000,-59000000,76000000,266000000,252000000,44.32,52.4,36.24,0.1509,0.1008,10.88,4.18,28.41,4.83,0.3019,0.0155,0.6595,0.0402,2.51,0.37,1.3585
2014-09-28,359747100,359747100,1,5744000000,1756000000,1931000000,1257000000,3813000000,0,0,789000000,60000000,3256000000,128000000,128000000,0.36,0.35,0.12,229000000,-163000000,-136000000,-74000000,190000000,186000000,38.27,40.45,36.08,0.1482,0.1003,10.6,3.62,25.01,4.7,0.3027,0.0157,0.6638,0.0408,2.46,0.12,1.397
2014-07-06,361245229,361245229,1,5734000000,1839000000,1921000000,1282000000,3813000000,0,0,790000000,60000000,3377000000,151000000,151000000,0.41,0.41,0.12,240000000,110000000,-394000000,-41000000,264000000,164000000,44.17,51.33,37.02,0.1458,0.1,10.56,4.02,29.45,4.58,0.296,0.0157,0.665,0.0411,2.43,0.21,1.4345
2014-04-13,367573070,367573070,1,5894000000,2087000000,1858000000,1229000000,4036000000,0,0,760000000,60000000,3322000000,142000000,142000000,0.38,0.38,0.12,282000000,-158000000,-90000000,34000000,305000000,161000000,52.66,56.42,48.91,0.1438,0.0999,10.98,4.94,35.11,4.46,0.2899,0.0149,0.6848,0.0414,2.41,0.33,1.6981
2014-01-19,371969999,371969999,1,5720000000,2075000000,1757000000,1166000000,3963000000,0,0,745000000,31000000,4239000000,158000000,158000000,0.42,0.42,0.12,337000000,-273000000,-78000000,-19000000,271000000,219000000,58.81,65.59,52.04,0.1476,0.1031,10.65,5.64,40.01,4.34,0.2774,0.0078,0.6928,0.0423,2.44,0.32,1.7796
2013-09-29,372138322,372138322,1,5538000000,1980000000,1660000000,1088000000,3878000000,0,0,744000000,26000000,2976000000,121000000,121000000,0.32,0.32,0.1,191000000,-165000000,-48000000,-21000000,290000000,160000000,55.17,59.35,51,0.1485,0.104,10.42,5.43,38.05,4.22,0.9424,0.0067,0.7003,0.0427,2.44,0.08,1.8199
2013-07-07,372512876,372512876,1,5394000000,1901000000,1609000000,1054000000,3785000000,0,0,745000000,26000000,3058000000,142000000,142000000,0.38,0.38,0.1,228000000,-121000000,4000000,109000000,311000000,113000000,47.93,53.63,42.23,0.1471,0.1036,10.16,4.9,34.61,4.12,0.9361,0.0069,0.7017,0.0422,2.45,0.31,1.8036
2013-04-14,185447031,370894062,2,5181000000,1963000000,1549000000,1009000000,3632000000,0,0,745000000,26000000,3027000000,142000000,142000000,0.77,0.76,0.2,287000000,-173000000,-63000000,51000000,202000000,109000000,44.59,48.47,40.7,0.1416,0.1003,9.79,4.66,33.65,4.02,0.9596,0.0072,0.701,0.0413,2.43,0.48,1.9455
2013-01-20,185331980,370663960,2,5079000000,1852000000,1536000000,1002000000,3543000000,0,0,746000000,24000000,3856000000,146000000,146000000,0.79,0.78,2.2,303000000,170000000,-410000000,63000000,152000000,155000000,47.18,50.93,43.43,0.1366,0.097,9.56,4.6,37.44,3.92,0.9838,0.0068,0.6976,0.0406,2.39,0.4,1.8483
2012-09-30,185524944,371049888,2,5294216000,2102631000,1491747000,977188000,3802469000,0,0,725337000,23110000,2910327000,112732000,112732000,0.6,0.6,0.14,192383000,-270702000,30566000,-46441000,89016000,130254000,45.51,50.25,40.77,0.1323,0.0941,10.25,4.62,39.06,2.82,0.2214,0.0061,0.7182,0.0398,2.37,0.17,2.1517
