"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-29,3781339,3781339,1,46156100,21175900,59986500,12085000,-13830400,0,0,607500,37739700,17404200,7301900,7301900,1.94,1.79,0.25,9548000,-3991500,-5522100,34400,1166200,3991500,178.49,194.85,162.13,None,0.6436,-3.66,None,25.79,12.73,0.0827,None,None,0.4254,1.51,1.47,1.7522
2019-03-30,3761686,3761686,1,46831800,20976700,68326900,14109100,-21495100,0,0,607500,49733200,18331200,7272200,7272200,1.86,1.73,0.11,14166000,-1840100,-13770100,-1444200,1131800,1840100,171.83,190.97,152.7,None,0.6315,-5.71,None,24.98,12.48,0.0712,None,None,0.4188,1.51,3.28,1.4867
2018-12-29,3909186,3909186,1,46663100,24251300,51471600,12483300,-4808500,0,0,607500,28328400,17071800,7657800,7657800,1.96,1.45,0.15,7318400,4842600,-10827200,1333800,2576000,3106100,154.83,165.3,144.36,None,0.6221,-1.23,None,21.27,12.37,0.0722,None,None,0.4155,1.5,1.08,1.9427
2018-09-29,3901202,3901202,1,50494500,21771400,62203200,13125600,-11708700,0,0,607500,48978500,19118500,8364300,8364300,2.15,2.01,0.15,9225500,-2033000,-7288200,-95700,1242200,7498300,164.1,187.1,141.1,None,0.6165,-3,None,24.86,12.22,0.0668,None,None,0.4113,1.5,0.44,1.6587
2018-06-30,3868526,3868526,1,48817000,20801900,69574800,12874900,-20757800,0,0,607500,45623000,18159800,7143000,7143000,1.85,1.73,0.15,8094200,-1869700,-6792200,-567700,1337900,6826900,141,153.7,128.3,None,0.5721,-5.37,None,22.89,12.07,0.0672,None,None,0.3833,1.49,0.33,1.6157
2018-03-31,3849506,3849506,1,47724800,19828600,76361900,12065700,-28637100,0,0,607500,52632000,18161000,6960400,6960400,1.81,1.69,0.11,10298900,-486000,-9070500,742400,1905600,6367000,133.88,144.1,123.65,None,0.5487,-7.44,None,23.53,11.92,0.0663,None,None,0.3715,1.48,1.02,1.6434
2017-12-30,3849506,3849506,1,48404800,21365200,79083000,9453400,-30678200,0,0,607500,64241000,17804700,7656500,7656500,2.01,1.85,0.11,5919400,-903000,-5003900,12500,1073200,6168700,130.3,139.05,121.55,None,0.5171,-7.97,None,24.82,11.81,0.0702,None,None,0.3522,1.47,-0.06,2.2601
2017-09-30,3821528,3821528,1,47178400,21773700,86568100,9266100,-39389700,0,0,607500,71550100,17567900,5719000,5719000,1.42,1.33,0.11,5842200,582200,-6435600,-11200,1060700,5730600,130.8,136.9,124.7,None,0.4853,-10.31,118.91,24.54,11.7,0.0745,None,None,0.3329,1.46,0.03,2.3498
2017-07-01,4215528,4215528,1,47038400,21281800,42407000,7584300,4631400,0,0,607500,29031500,16749500,5773200,5773200,1.37,1.29,0.11,4662400,641300,-5955200,-651500,1071900,6051700,124.88,137.75,112,None,0.5029,1.1,None,23.61,11.59,0.0729,6.2684,0.0985,0.3425,1.47,-0.33,2.806
2017-04-01,4169769,4169769,1,47396000,20801800,49677700,8357200,-2281700,0,0,607500,35629000,17623800,5416400,5416400,1.3,1.22,0.1,8733700,-235300,-8027900,470500,1723400,7524800,118.7,127.5,109.9,None,0.5062,-0.55,None,23.14,11.48,0.0718,None,None,0.3392,1.49,0.29,2.4891
