"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,1212022398,1212022398,1,46509000000,2028000000,29428000000,3389000000,13848000000,3233000000,35000000,8123000000,20711000000,2041000000,310000000,310000000,0.26,0.26,0.38,1069000000,-166000000,-140000000,763000000,806000000,-411000000,27.73,29.55,25.9,0.0042,0.0014,11.4,2.34,None,25.84,28.1348,1.4994,0.297,0.0072,0.19,1.22,0.5984
2019-03-31,1211770224,1211770224,1,45970000000,1287000000,30245000000,4169000000,14406000000,1319000000,35000000,8096000000,20703000000,2054000000,195000000,194000000,0.16,0.16,0.38,775000000,-1258000000,358000000,-125000000,43000000,426000000,25.36,29.18,21.53,-0.0084,-0.0024,11.86,2.1,None,25.46,None,1.4406,0.3126,None,0.19,0.29,0.3087
2018-12-31,1210981263,1210981263,1,45302000000,1464000000,29305000000,1811000000,14660000000,1337000000,35000000,7767000000,22367000000,2204000000,-571000000,-571000000,-0.47,-0.47,0.34,962000000,258000000,-1094000000,126000000,168000000,602000000,24.27,28.19,20.36,-0.0126,-0.0033,12.08,1.89,9.71,25.08,None,1.5294,0.3228,None,0.19,0.3,0.8084
2018-09-30,1210542031,1210542031,1,47153000000,1984000000,30194000000,2761000000,15610000000,1349000000,35000000,8324000000,21409000000,2303000000,129000000,129000000,0.13,0.13,0.34,746000000,-1314000000,335000000,-233000000,42000000,774000000,29.37,32.22,26.51,0.191,0.045,12.87,2.6,12.19,24.74,0.5814,1.3746,0.3303,0.2414,0.19,-0.02,0.7186
2018-06-30,827973071,827973071,1,46374000000,1541000000,30927000000,1958000000,9345000000,6102000000,0,8406000000,21313000000,2091000000,135000000,135000000,0.16,0.16,0.34,891000000,-871000000,-1037000000,-1017000000,275000000,929000000,26.12,28.23,24,0.2194,0.0432,11.29,2.28,11.11,24.4,0.5277,2.2807,0.2015,0.2419,0.18,-0.05,0.787
2018-03-31,827610837,827610837,1,47052000000,2399000000,31149000000,2164000000,9473000000,6430000000,0,8644000000,21379000000,2088000000,152000000,152000000,0.18,0.18,0.34,694000000,-798000000,497000000,393000000,1292000000,958000000,29.13,33.67,24.59,0.2198,0.0415,11.45,2.5,11.12,24.06,0.5251,2.2568,0.2013,0.2402,0.17,-0.32,1.1086
2017-12-31,827327336,827327336,1,46352000000,2179000000,30177000000,2646000000,9656000000,6519000000,0,8791000000,20434000000,2228000000,1687000000,1687000000,2.04,2.03,0.3,719000000,-423000000,-569000000,-273000000,899000000,713000000,28.77,30.72,26.82,0.2519,0.0461,11.67,2.93,50.47,23.72,0.4563,2.1162,0.2083,0.2707,0.17,0.01,0.8235
2017-09-30,826746549,826746549,1,46120000000,2293000000,31238000000,2354000000,8109000000,6773000000,0,8873000000,20567000000,1891000000,33000000,33000000,0.04,0.04,0.3,569000000,1566000000,-2881000000,-746000000,1172000000,657000000,30.47,32.18,28.76,0.064,0.01,9.81,3.03,49.95,23.42,1.926,2.5363,0.1758,0.059,0.17,-0.11,0.9741
2017-06-30,826650874,826650874,1,48770000000,3969000000,33589000000,3996000000,8306000000,6875000000,0,9481000000,21325000000,1924000000,81000000,81000000,0.1,0.1,0.3,662000000,-388000000,1005000000,1279000000,1918000000,557000000,29.45,31.25,27.65,0.0762,0.0105,10.05,2.88,None,23.12,1.6224,2.5674,0.1703,0.0624,0.17,0.13,0.9932
2017-03-31,826274756,826274756,1,47512000000,2845000000,32103000000,2045000000,8444000000,6965000000,0,9570000000,21825000000,1988000000,373000000,373000000,0.45,0.45,0.3,606000000,-122000000,-15000000,469000000,639000000,513000000,30.18,32.69,27.68,0.0025,0.0003,10.22,5.37,None,22.82,74.5454,2.5847,0.1777,0.0018,0.16,0.11,1.3912
2016-12-31,825823918,825823918,1,46835000000,1462000000,32789000000,2949000000,4643000000,9403000000,0,9663000000,22624000000,2198000000,-15000000,-15000000,-0.02,-0.02,0.2,1582000000,-16000000,-1473000000,93000000,170000000,473000000,29.78,32.21,27.35,-0.0847,-0.0089,5.62,4.6,None,22.52,None,4.8727,0.0991,None,0.16,1.34,0.4958
2016-09-30,750837361,750837361,1,47288000000,1627000000,33064000000,2465000000,4860000000,9364000000,0,9752000000,23932000000,1905000000,61000000,61000000,0.08,0.08,0.2,618000000,346000000,-1036000000,-72000000,77000000,510000000,25.55,31.43,19.68,-0.2088,-0.0233,6.47,3.97,None,22.32,None,4.9243,0.1028,None,0.15,0.14,0.66
2016-06-30,750657574,750657574,1,48124000000,2357000000,33702000000,2752000000,4830000000,9592000000,0,9839000000,24394000000,1736000000,-405000000,-405000000,-0.54,-0.54,0.64,685000000,-400000000,-300000000,-15000000,135000000,549000000,19.25,23.89,14.6,-0.2037,-0.0249,6.43,2.54,None,22.12,None,5.0505,0.1004,None,0.15,0.18,0.8565
2016-03-31,750527387,750527387,1,48807000000,1261000000,33183000000,2789000000,5691000000,9933000000,0,9928000000,23701000000,1660000000,-65000000,-65000000,-0.09,-0.09,0.64,779000000,-346000000,-369000000,64000000,164000000,489000000,18.45,26.68,10.22,-0.104,-0.0141,7.58,2.25,None,21.48,None,4.1646,0.1166,None,0.15,0.39,0.4521
2015-12-31,750065665,750065665,1,49020000000,1527000000,32795000000,2497000000,6148000000,10077000000,0,10017000000,23812000000,2006000000,-715000000,-715000000,-0.95,-0.95,0.64,592000000,-592000000,-25000000,-25000000,100000000,742000000,32.73,44.51,20.95,-0.077,-0.0113,8.2,3.32,71.15,20.84,None,3.8731,0.1254,None,0.15,-0.2,0.6115
2015-09-30,749764737,749764737,1,50819000000,1264000000,32559000000,3858000000,7387000000,10873000000,0,11198000000,21805000000,1799000000,-40000000,-40000000,-0.05,-0.05,0.64,603000000,-705000000,23000000,-79000000,125000000,774000000,46.7,58.77,34.64,0.0417,0.0066,9.85,4.42,17.11,20.2,5.2904,2.9518,0.1454,0.045,0.15,-0.23,0.3276
