"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-04-30,2854722137,2854722137,1,234544000000,61739000000,159634000000,79888000000,68205000000,6705000000,0,31416000000,47425000000,123925000000,3842000000,3842000000,1.34,1.33,2.12,3563000000,-1135000000,-846000000,1536000000,9292000000,2163000000,98.65,104.18,93.11,0.118,0.0378,23.89,3.91,43.65,24.84,0.7224,0.6953,0.2908,0.0162,2.33,0.49,0.7728
2019-01-31,2869684230,2869684230,1,219295000000,61897000000,139661000000,77477000000,72496000000,7138000000,0,31181000000,50203000000,138793000000,3687000000,3687000000,1.28,1.25,0,10445000000,-3482000000,-8458000000,-1448000000,7756000000,3119000000,96,106.21,85.78,0.0916,0.0311,25.26,3.87,54.86,22.72,0.9202,0.6925,0.3306,0.013,2.4,2.55,0.7989
2018-10-31,2905260059,2905260059,1,226583000000,69446000000,147114000000,85751000000,71996000000,7473000000,0,31044000000,49896000000,124894000000,1710000000,1710000000,0.58,0.58,0,6213000000,-16126000000,3441000000,-6658000000,9204000000,2629000000,95.11,102.6,87.62,0.0696,0.0245,24.78,3.91,54.35,22.72,1.1899,0.693,0.3177,0.0101,2.43,1.23,0.8099
2018-07-31,2928734576,2928734576,1,206062000000,66370000000,132250000000,71683000000,71185000000,2627000000,0,17840000000,51568000000,128028000000,-861000000,-861000000,-0.29,-0.29,0,5934000000,-2746000000,4966000000,7712000000,15862000000,2457000000,85.72,89.66,81.78,0.0691,0.0252,24.31,3.35,28.57,22.72,1.181,0.7244,0.3455,0.0102,2.47,1.19,0.9259
2018-04-30,2950844393,2950844393,1,204927000000,59242000000,126603000000,80757000000,75552000000,2772000000,0,18850000000,36305000000,122690000000,2134000000,2134000000,0.72,0.72,2.08,5161000000,-1682000000,-2486000000,1136000000,8150000000,1620000000,95.7,106.56,84.84,0.1171,0.0437,25.6,3.63,29.18,22.72,0.6852,0.4805,0.3687,0.0177,2.46,1.2,0.7336
2018-01-31,2950696818,2950696818,1,204522000000,59664000000,123700000000,78521000000,77869000000,2953000000,0,18242000000,36825000000,136267000000,2175000000,2175000000,0.73,0.74,0,11277000000,-3189000000,-8459000000,-270000000,6756000000,3066000000,98.49,109.98,87,0.1297,0.0484,26.39,3.83,26.26,20.64,0.6236,0.4729,0.3807,0.0197,2.46,2.78,0.7598
2017-10-31,2962381445,2962381445,1,209414000000,65368000000,130508000000,80435000000,76145000000,2761000000,0,18204000000,40906000000,123179000000,1749000000,1749000000,0.59,0.58,0,5700000000,-2312000000,-2785000000,557000000,7026000000,2396000000,83.31,89.11,77.5,0.1506,0.0565,25.7,3.26,20.07,20.64,0.5374,0.5372,0.3636,0.0231,2.45,1.12,0.8127
2017-07-31,2987201643,2987201643,1,201566000000,56763000000,122520000000,72811000000,76389000000,2657000000,0,18037000000,40469000000,123355000000,2899000000,2899000000,0.96,0.96,0,5975000000,-1685000000,-4659000000,-76000000,6469000000,2417000000,76.8,80.47,73.13,0.1666,0.0631,25.57,3.14,17.45,20.64,0.4831,0.5298,0.379,0.026,2.43,1.19,0.7796
2017-04-30,3014499132,3014499132,1,199718000000,57336000000,123604000000,74193000000,73691000000,2423000000,0,17575000000,40025000000,117542000000,3039000000,3039000000,1,1,2.04,5385000000,-1874000000,-3972000000,-322000000,6545000000,1794000000,70.91,75.77,66.04,0.178,0.0677,24.45,2.76,16.19,20.64,0.4521,0.5431,0.369,0.0279,2.43,1.19,0.7728
2017-01-31,3033009079,3033009079,1,198825000000,57689000000,118290000000,66928000000,77798000000,2737000000,0,17037000000,42018000000,130936000000,3757000000,3757000000,1.23,1.21,0,11886000000,-2937000000,-7794000000,928000000,6867000000,3487000000,68.88,72.48,65.28,0.1776,0.068,25.65,2.72,14.94,18.6,0.4569,0.5401,0.3913,0.0281,2.42,2.77,0.862
