"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,422267046,422267046,1,8471000000,703000000,4223000000,1010000000,4248000000,0,0,0,2493000000,359000000,-48000000,-48000000,-0.11,-0.11,0,272000000,-237000000,-29000000,6000000,24000000,451000000,12.13,13.47,10.79,0.0529,0.0269,10.06,1.19,37.91,0,0,0.5869,0.5015,0.0932,0.28,-0.42,0.696
2018-12-31,420465218,420465218,1,8203000000,739000000,3902000000,715000000,4301000000,0,0,0,2509000000,1022000000,354000000,354000000,0.84,0.84,0,231000000,-493000000,230000000,-32000000,18000000,-219000000,15.35,20.8,9.89,0.0364,0.0189,10.23,1.64,None,0,0,0.5834,0.5243,0.0619,0.29,1.07,1.0336
2018-09-30,420292465,420292465,1,7918000000,578000000,3979000000,1131000000,3939000000,0,0,0,2243000000,484000000,-7000000,-7000000,-0.01,-0.01,0,224000000,-406000000,116000000,-66000000,50000000,1039000000,18.66,20.37,16.94,-0.0661,-0.0301,9.37,2.12,None,0,None,0.5694,0.4975,None,0.19,-1.94,0.5111
2018-06-30,420013829,420013829,1,7770000000,628000000,3835000000,1074000000,3935000000,0,232000000,0,2154000000,430000000,-81000000,-85000000,-0.21,-0.21,0,283000000,-359000000,-502000000,-578000000,116000000,-347000000,15.99,19.23,12.75,-0.1033,-0.0472,8.82,1.69,None,0,None,0.5817,0.4766,None,0.16,1.5,0.5847
2018-03-31,399625264,399625264,1,8127000000,1161000000,4121000000,925000000,4006000000,0,232000000,0,2576000000,374000000,-115000000,-119000000,-0.3,-0.3,0,145000000,362000000,-14000000,493000000,694000000,321000000,14.21,16.09,12.34,-0.0607,-0.0275,9.44,1.45,None,0,None,0.6826,0.4644,None,0.15,-0.44,1.2551
2017-12-31,398204221,398204221,1,8207000000,638000000,4080000000,839000000,4127000000,0,232000000,0,2575000000,238000000,-38000000,-42000000,-0.1,-0.1,0,279000000,190000000,-290000000,179000000,189000000,306000000,12.23,14.55,9.91,-0.0078,-0.002,9.78,1.24,None,0,None,0.6611,0.4746,None,0.17,-0.07,0.7604
2017-09-30,398156921,398156921,1,8095000000,648000000,3933000000,637000000,4162000000,0,232000000,0,2859000000,224000000,-146000000,-149000000,-0.38,-0.38,0,86000000,-320000000,236000000,2000000,10000000,313000000,10.27,11.67,8.87,-0.0431,-0.0192,9.87,1,None,0,None,0.7275,0.4855,None,0.15,-0.57,1.0173
2017-06-30,397854227,397854227,1,7962000000,393000000,3658000000,619000000,4304000000,0,232000000,0,2601000000,413000000,76000000,72000000,0.18,0.18,0,120000000,-275000000,21000000,-134000000,8000000,305000000,11.23,14.08,8.39,-0.0708,-0.0292,10.23,1.12,None,0,None,0.6388,0.5114,None,0.16,-0.46,0.6349
2017-03-31,397602353,397602353,1,7910000000,428000000,3688000000,588000000,4222000000,0,232000000,0,2575000000,461000000,92000000,88000000,0.23,0.22,0,22000000,-1033000000,657000000,-354000000,142000000,237000000,13.5,15.44,11.57,-0.1516,-0.0652,10.04,1.65,None,0,None,0.6454,0.5044,None,0.12,-0.54,0.7279
2016-12-31,396323493,396323493,1,7264000000,754000000,3798000000,677000000,3466000000,0,232000000,0,2575000000,88000000,-172000000,-175000000,-0.52,-0.52,0,153000000,-150000000,-130000000,-127000000,496000000,138000000,13.15,16.17,10.13,-0.1923,-0.0783,8.16,1.33,None,0,None,0.7962,0.4452,None,0.09,0.04,1.1137
