"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,423891013,423891013,1,9043300000,None,9013100000,None,30200000,0,0,3102100000,3080200000,1340500000,614800000,614800000,1.43,1.42,0.2,163000000,703700000,-529500000,337200000,1217500000,37400000,19.52,20.56,18.47,None,0.1326,0.07,None,10.97,5.07,0.2796,101.9934,0.0033,0.2211,0.6,0.3,None
2019-03-31,430708512,430708512,1,9432000000,None,9806200000,None,-374200000,0,0,3131200000,3370300000,1337000000,173100000,173100000,0.4,0.39,0.2,239600000,-16700000,-322300000,-99400000,880300000,37600000,17.82,18.84,16.81,None,0.0888,-0.87,None,9.63,4.87,0.4167,None,None,0.1465,0.61,0.47,None
2018-12-31,435890819,435890819,1,8996800000,None,9306600000,None,-309800000,0,0,3189000000,3433700000,1401600000,212100000,212100000,0.47,0.46,0.19,302800000,-99000000,-800000,203000000,979700000,429900000,17.84,19.27,16.42,None,0.0939,-0.71,None,None,4.67,0.3985,None,None,0.1524,0.62,-0.29,None
2018-09-30,442807114,442807114,1,8989600000,None,9404900000,None,-415300000,0,0,3329500000,3295000000,1387800000,208600000,208600000,0.47,0.46,0.19,219800000,-161100000,-232000000,-173300000,776700000,157600000,19.61,20.8,18.41,None,-0.0527,-0.94,None,None,4.48,None,None,None,None,0.62,0.14,None
2018-06-30,447250652,447250652,1,9115600000,None,9566900000,None,-451300000,0,0,3271500000,3331800000,1411100000,217600000,217600000,0.48,0.47,0.19,166000000,-35800000,-133900000,-3700000,950000000,53300000,19.88,21.37,18.38,None,-0.0486,-1.01,None,None,4.29,None,None,None,None,0.6,0.25,None
2018-03-31,460727597,460727597,1,9188000000,None,9563800000,None,-375800000,0,0,3295900000,3143400000,1389400000,213600000,213600000,0.46,0.46,0.19,132700000,-32900000,9500000,109300000,953700000,37200000,20.38,22.21,18.55,None,-0.0536,-0.82,None,None,4.1,None,None,None,None,0.6,0.21,None
2017-12-31,459298652,459298652,1,9231400000,None,9722800000,None,-491400000,0,0,3314200000,3033600000,1438300000,-1120900000,-1120900000,-2.44,-2.44,0.18,312700000,81500000,-590700000,-196500000,838200000,231700000,19.69,20.66,18.72,None,-0.0586,-1.07,12.79,42.8,3.91,None,None,None,None,0.58,0.18,None
2017-09-30,459292417,459292417,1,9873600000,None,9164200000,None,709400000,0,0,3762200000,3533400000,1404700000,235600000,235600000,0.51,0.51,0.175,447100000,-194800000,-276800000,-24500000,1034700000,47200000,19.39,20.4,18.39,0.2763,0.0219,1.54,13.56,49.72,3.73,1.5373,4.9808,0.0718,0.0383,0.57,0.87,None
2017-06-30,463994883,463994883,1,9408200000,None,8747000000,None,661200000,0,0,3777600000,3627400000,1378900000,166500000,166500000,0.35,0.35,0.175,-110300000,-40700000,-113100000,-264100000,1059200000,48900000,19.44,20.35,18.52,0.2054,0.0201,1.43,12.23,42.26,3.55,1.6738,5.4861,0.0703,0.035,0.57,-0.34,None
2017-03-31,471254179,471254179,1,9486000000,None,8735700000,None,750300000,0,0,3811600000,3490900000,1302400000,161700000,161700000,0.34,0.33,0.175,86300000,-50600000,410100000,445800000,1323300000,26400000,20.98,22.7,19.25,0.2105,0.0242,1.59,11.16,41.96,3.38,1.3745,4.6527,0.0791,0.0422,0.57,0.13,None
2016-12-31,480903608,480903608,1,9419600000,None,8517400000,None,902200000,0,0,3826200000,2786100000,1371700000,-355000000,-355000000,-0.73,-0.73,0.16,220000000,-37200000,-586000000,-403200000,877500000,282600000,20.82,22.26,19.38,0.2091,0.0268,1.88,7.28,12.62,3.2,1.2288,3.0881,0.0958,0.0467,0.57,-0.13,None
2016-09-30,484855170,484855170,1,9518700000,None,8131100000,None,1387600000,0,0,3855700000,3224800000,1377800000,216900000,216900000,0.45,0.44,0.16,336300000,-76800000,-141400000,118100000,1280700000,68300000,20.3,21.8,18.81,0.6139,0.0868,2.86,7.55,12.23,3.04,0.3802,2.324,0.1458,0.1511,0.57,0.55,None
2016-06-30,487733527,487733527,1,9394900000,None,8080500000,None,1314400000,0,0,3863900000,3228500000,1375700000,205600000,205600000,0.42,0.42,0.16,272900000,-93800000,-176500000,2600000,1162600000,60800000,19.32,20.57,18.07,0.6302,0.0878,2.69,7.67,12.07,2.88,0.3741,2.4563,0.1399,0.1533,0.57,0.43,None
2016-03-31,491136641,491136641,1,9418300000,None,8179300000,None,1239000000,0,0,3859800000,3225700000,1297700000,185700000,185700000,0.37,0.37,0.16,212700000,-63300000,-305300000,-155900000,1160000000,47900000,17.81,19.61,16.02,0.6187,0.0846,2.52,6.36,10.99,2.72,0.3831,2.6035,0.1316,0.1501,0.56,0.34,None
2015-12-31,501914389,501914389,1,9458900000,None,8054000000,None,1404900000,0,0,3868800000,3225600000,1380000000,212300000,212300000,0.42,0.42,0.155,266900000,31500000,-396900000,-98500000,1315900000,326300000,18.82,19.9,17.75,0.6195,0.0844,2.8,7.05,11.62,2.56,0.3765,2.296,0.1485,0.1528,0.55,-0.12,None
2015-09-30,505281009,505281009,1,9815900000,None,8468700000,None,1347200000,0,0,3906100000,3483800000,1399200000,232300000,232300000,0.46,0.45,0.155,338500000,-95500000,-459100000,-216100000,1414400000,84300000,18.77,20.62,16.91,0.6387,0.0844,2.67,7.33,11.66,2.41,0.3575,2.586,0.1372,0.1536,0.55,0.5,None
2015-06-30,511431506,511431506,1,10063800000,None,8756400000,None,1307400000,0,0,3936600000,3725800000,1383600000,189300000,189300000,0.37,0.36,0.155,253900000,-178000000,-200700000,-124800000,1630500000,78000000,21.43,22.84,20.02,0.6609,0.0846,2.56,8.21,13.31,2.25,0.3414,2.8498,0.1299,0.1528,0.55,0.34,None
2015-03-31,516311074,516311074,1,10353000000,None,9003100000,None,1349900000,0,0,3940800000,3728600000,1320900000,203900000,203900000,0.39,0.39,0.155,211800000,-44400000,-195300000,-27900000,1755300000,44400000,18.8,20.87,16.73,0.6965,0.0854,2.61,7.55,11.82,2.1,0.3243,2.7621,0.1304,0.153,0.56,0.32,None
2014-12-31,521445073,521445073,1,9890400000,None,8590000000,None,1300400000,0,0,3917300000,3720400000,1409900000,221500000,221500000,0.42,0.42,0.125,270600000,-49700000,-105100000,115800000,1783200000,228700000,16.99,18.66,15.32,0.7383,0.0862,2.49,7.52,11.48,1.94,0.3098,2.861,0.1315,0.152,0.57,0.08,None
2014-09-30,522627069,522627069,1,9846600000,None,8666900000,None,1179700000,0,0,3938400000,3714200000,1440900000,234100000,234100000,0.44,0.44,0.125,325200000,-33000000,-229500000,62700000,1667400000,33000000,16.89,17.81,15.97,0.7275,0.0809,2.26,8.36,11.81,1.82,0.3325,3.1484,0.1198,0.1431,0.57,0.56,None
2014-06-30,529769781,529769781,1,9874600000,None,8804400000,None,1070200000,0,0,3969000000,3754100000,1405600000,193800000,193800000,0.36,0.36,0.125,253300000,-51100000,-291500000,-89300000,1604700000,50700000,15.99,17.38,14.6,0.7311,0.0787,2.02,8.08,11.18,1.69,0.3455,3.5078,0.1084,0.1404,0.56,0.38,None
2014-03-31,538923888,538923888,1,9922600000,None,8854900000,None,1067700000,0,0,4004100000,3844100000,1350800000,203000000,203000000,0.37,0.37,0.125,196800000,44400000,-620300000,-379100000,1694000000,45600000,16.41,17.83,15,0.7606,0.0798,1.98,8.12,11.48,1.57,0.3469,3.6004,0.1076,0.1418,0.56,0.28,None
2013-12-31,547936621,547936621,1,10121300000,None,9016600000,None,1104700000,0,0,4005800000,4213000000,1421900000,173400000,173400000,0.31,0.31,0.125,277700000,-75100000,127800000,330400000,2073100000,316400000,17.5,19.5,15.51,0.7982,0.0819,2.02,9.21,11.51,1.44,0.3459,3.8137,0.1091,0.1441,0.57,-0.07,None
2013-09-30,552251436,552251436,1,9940900000,None,8890600000,None,1050300000,0,0,4044100000,3968700000,1408800000,214400000,214400000,0.39,0.39,0.125,333400000,-159500000,173400000,347300000,1742700000,59500000,17.87,19.11,16.63,0.8995,0.09,1.9,10.64,11.31,1.32,0.323,3.7786,0.1057,0.1556,0.58,0.5,None
2013-06-30,551935745,551935745,1,9589400000,None,8660800000,None,928600000,0,0,4073900000,3717300000,1385900000,198600000,198600000,0.36,0.36,0.125,240200000,-68800000,-193100000,-21700000,1395400000,68800000,15.73,17.23,14.24,0.9335,0.0972,1.68,9.53,9.48,1.19,0.2934,4.0031,0.0968,0.1652,0.59,0.31,None
2013-03-31,557111446,557111446,1,9361700000,None,8444100000,None,917600000,0,0,4041800000,3726800000,1325400000,212000000,212000000,0.37,0.37,0.125,237300000,-37900000,-558800000,-359400000,1417100000,37900000,14.14,15.05,13.23,0.9765,0.1061,1.65,8.57,8.37,1.07,0.2631,4.0615,0.098,0.177,0.6,0.36,None
2012-12-31,568767242,568767242,1,9465700000,None,8525100000,None,940600000,0,0,4058600000,4029200000,1424700000,237900000,237900000,0.4,0.4,0.125,325700000,-94400000,112200000,343500000,1776500000,85100000,15.27,18.6,11.93,0.9991,0.1104,1.65,7.95,7.56,0.94,0.2459,4.2836,0.0994,0.1811,0.61,0.42,None
2012-09-30,596579004,596579004,1,9355100000,None,8208400000,None,1146700000,0,0,4034200000,3433000000,1421600000,269500000,269500000,0.45,0.45,0.1,413900000,-37700000,-347000000,29200000,1433000000,61800000,17.73,19.14,16.32,None,0.1349,1.92,10.13,9.09,0.82,0.1861,2.9938,0.1226,0.2187,0.62,0.59,None
