"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2008-06-30,272707381,272707381,1,5517426000,1739507000,2614000000,1279978000,2903426000,0,0,1980848000,1000000000,1571291000,193771000,193771000,0.71,0.7,0.335,306905000,-154436000,-92934000,46965000,383351000,59345000,None,None,None,0.2449,0.128,10.65,None,None,9.54,0.4892,0.3444,0.5262,0.118,1.08,0.91,1.359
2008-03-31,271759476,271759476,1,5399972000,1702778000,2650615000,1331741000,2749357000,0,0,1919439000,1000000000,1451550000,168599000,168599000,0.62,0.61,0.335,197145000,-23600000,-138642000,57543000,336386000,23600000,None,None,None,0.2462,0.126,10.12,None,None,9.21,0.4891,0.3637,0.5091,0.1178,1.07,0.64,1.2786
2007-12-31,273968866,273968866,1,5231512000,1549778000,2414032000,1101120000,2817480000,0,0,1907213000,1000000000,1421872000,155019000,155019000,0.56,0.56,0.26,320555000,-80711000,-234365000,7540000,278843000,80125000,63.49,68.44,58.55,0.2453,0.1234,10.28,6.57,29.12,8.87,0.4903,0.3549,0.5386,0.1173,1.05,0.88,1.4075
2007-09-30,275742319,275742319,1,5164399000,1578505000,2496948000,1189070000,2667451000,0,0,1837221000,1000000000,1333052000,164472000,164472000,0.6,0.59,0.29,246175000,-58985000,-211723000,-23400000,271303000,59457000,59.8,64.51,55.09,0.2454,0.1217,9.67,6.68,28.21,8.61,0.4942,0.3749,0.5165,0.1167,1.04,0.68,1.3275
2007-06-30,274292015,274292015,1,5083497000,1570590000,2629577000,1351963000,2453920000,0,0,1809793000,1000000000,1377780000,169813000,169813000,0.62,0.61,0.29,305666000,-103717000,-112695000,90223000,294703000,60139000,54.98,59.12,50.84,0.2443,0.1215,8.95,6.34,27.22,8.32,0.493,0.4075,0.4827,0.117,1.04,0.9,1.1617
2007-03-31,272919201,272919201,1,5001071000,1516526000,2635167000,1372238000,2365904000,0,0,1819876000,1000000000,1256396000,142701000,142701000,0.52,0.52,0.29,131584000,-264104000,80863000,-49186000,204480000,14455000,50.68,52.47,48.89,0.2348,0.1187,8.67,5.86,26.67,8.03,0.5035,0.4227,0.4731,0.1151,1.03,0.43,1.1051
2006-12-31,276137945,276137945,1,4661598000,1481227000,2273506000,1027129000,2388092000,0,0,1563473000,1000000000,1224292000,128825000,128825000,0.47,0.46,0.22,350954000,-122541000,-207722000,28085000,253666000,122541000,49.29,53.23,45.35,0.225,0.1153,8.65,5.61,27.75,7.74,0.5175,0.4187,0.5123,0.113,1.02,0.83,1.4421
2006-09-30,277861332,277861332,1,4651048000,1472496000,2210232000,994905000,2440816000,0,0,1563833000,1000000000,1179372000,148029000,148029000,0.53,0.53,0.256,155488000,-59588000,-110561000,-13950000,225581000,59588000,45.47,47.78,43.16,0.2142,0.1089,8.78,5.37,26.72,7.52,0.5342,0.4097,0.5248,0.1083,1.01,0.35,1.48
2006-06-30,277528879,277528879,1,4567059000,1417420000,2220147000,1020040000,2346912000,0,0,1561591000,1000000000,1206817000,140638000,140638000,0.51,0.51,0.256,186521000,-57071000,-104697000,27928000,239531000,57071000,47.86,51.19,44.52,0.2093,0.105,8.46,5.94,27.07,7.27,0.5373,0.4261,0.5139,0.107,0.98,0.47,1.3896
2006-03-31,277499788,277499788,1,4485424000,1340938000,2248747000,1055886000,2236677000,0,0,1519014000,1000000000,1075530000,111885000,111885000,0.4,0.4,0.256,29473000,-74568000,-5114000,-46101000,211603000,74568000,52.11,54.54,49.69,0.2204,0.1091,8.06,6.52,28.44,7.01,0.4974,0.4471,0.4987,0.1163,0.94,-0.16,1.27
2005-12-31,221822542,277278177,1.25,4460201000,1306094000,2245779000,980811000,2214422000,0,0,1505324000,1000000000,1106344000,94076000,94076000,0.42,0.42,0.23,271421000,-81899000,-331158000,-147388000,257704000,120396000,55.7,58.2,53.19,0.2289,0.1211,7.99,6.78,29.13,6.76,0.4635,0.4516,0.4965,0.1244,0.97,0.54,1.3316
2005-09-30,224322312,280402890,1.25,4632463000,1505963000,2327687000,901757000,2304776000,0,0,1516357000,1150000000,1062388000,129718000,129718000,0.58,0.57,0.28,110803000,-54147000,-244737000,-180267000,405092000,55931000,55.83,57.66,53.99,0.24,0.1368,8.22,6.87,29.32,6.57,0.441,0.499,0.4975,0.1345,1.02,0.2,1.67
2005-06-30,224706164,280882705,1.25,4686307000,1599621000,2403720000,764954000,2282587000,0,0,1520109000,1350000000,1040184000,162444000,162444000,0.72,0.72,0.28,285807000,-1512050000,1206380000,-38025000,585359000,57811000,53.28,55.76,50.81,0.2462,0.1519,8.13,6.7,29.21,6.35,0.4255,0.5914,0.4871,0.1386,1.1,0.81,2.0911
2005-03-31,225082568,281353210,1.25,3303660000,1631250000,1067270000,799038000,2236390000,0,0,260534000,0,950390000,131014000,131014000,0.58,0.58,0.28,89615000,-39310000,-44425000,-5169000,623384000,37504000,53.81,56.52,51.1,0.2451,0.1668,7.95,6.94,30.71,6.12,0.425,0,0.6769,0.1355,1.23,0.19,2.0415
2004-12-31,224814442,281018052,1.25,3166703000,1505910000,988019000,717970000,2178684000,0,0,210806000,0,961860000,116990000,116990000,0.52,0.52,0.22,185880000,-79769000,-74424000,53624000,628553000,78458000,52.77,55.78,49.76,0.2468,0.1704,7.75,7.34,30.54,5.9,0.4215,0,0.688,0.1351,1.26,0.38,2.0975
2004-09-30,224438422,280548027,1.25,2964956000,1453315000,949166000,694870000,2015790000,0,0,154893000,0,916675000,125776000,125776000,0.56,0.56,0.235,183338000,-62469000,-74810000,51521000,574929000,59979000,49.4,50.98,47.82,0.2547,0.1779,7.19,7.15,29.4,5.72,0.4185,0,0.6799,0.1385,1.28,0.44,2.0915
2004-06-30,224755414,280944267,1.25,2866133000,1390596000,925396000,673708000,1940737000,0,0,153639000,0,957906000,139205000,139205000,0.62,0.62,0.235,241288000,-309282000,79726000,9179000,523408000,48434000,49.01,51.09,46.93,0.2582,0.1832,6.91,7.43,30.03,5.54,0.4228,0,0.6771,0.1402,1.31,0.69,2.0641
2004-03-31,224600688,280750860,1.25,2573740000,1350484000,719735000,480199000,1854005000,0,0,0,0,812151000,110983000,110983000,0.49,0.49,0.235,114001000,-30822000,-76704000,9012000,514229000,30983000,45.94,47.7,44.18,0.2604,0.1884,6.6,7.09,29,5.35,0.4278,0,0.7204,0.1433,1.31,0.3,2.8123
2003-12-31,224878178,281097722,1.25,2520410000,1290591000,699589000,464794000,1820821000,0,0,0,0,821204000,109877000,109877000,0.49,0.49,0.2,210736000,-99335000,-43853000,71280000,505217000,99596000,44.77,45.99,43.55,0.2634,0.1905,6.48,7.34,28.55,5.16,0.4338,0,0.7224,0.1453,1.31,0.4,2.7767
2003-09-30,224756926,280946157,1.25,2370549000,1227078000,657596000,439730000,1712953000,0,0,0,0,782877000,113068000,113068000,0.5,0.5,0.22,178570000,-46218000,-74990000,56229000,433937000,46876000,43.59,45.57,41.6,0.2742,0.1984,6.1,7.33,28.68,5,0.431,0,0.7226,0.1486,1.34,0.47,2.7905
2003-06-30,225063792,281329740,1.25,2298046000,1164847000,623052000,411717000,1674994000,0,0,0,0,792614000,125930000,125930000,0.56,0.56,0.22,159132000,-35555000,-45043000,81892000,377708000,36390000,45.26,47.12,43.4,0.2768,0.1997,5.95,8.14,30.92,4.82,0.4381,0,0.7289,0.1478,1.35,0.44,2.8292
2003-03-31,225059495,281324368,1.25,2172230000,1078274000,608749000,402225000,1563481000,0,0,0,0,672393000,97019000,97019000,0.43,0.43,0.22,97057000,-25862000,-53279000,16540000,295816000,28816000,43.42,45.99,40.84,0.2784,0.1998,5.56,8.03,30.49,4.65,0.447,0,0.7198,0.1465,1.36,0.24,2.6808
2002-12-31,225198728,281498410,1.25,2108296000,1006292000,585720000,386087000,1522576000,0,0,0,0,739314000,107762000,107762000,0.47,0.47,0.19,64257000,-68225000,-56921000,-62631000,279276000,69370000,42.11,44.82,39.4,0.2829,0.2023,5.41,8.22,30.78,4.47,0.4517,0,0.7222,0.1462,1.38,-0.02,2.6064
2002-09-30,225326803,281658503,1.25,2016257000,1071996000,575088000,407567000,1441169000,0,0,0,0,699511000,98464000,98464000,0.44,0.44,0.205,122046000,-54772000,-46533000,15463000,341907000,54706000,40.42,45.47,35.37,0.2825,0.2021,5.12,8.08,30.07,4.32,0.4728,0,0.7148,0.1446,1.4,0.24,2.6302
2002-06-30,225408678,281760847,1.25,1975711000,1048380000,565533000,394590000,1410178000,0,0,0,0,708467000,109967000,109967000,0.49,0.49,0.205,121846000,-42823000,-50187000,40165000,326444000,41658000,44.56,47.12,42,0.2887,0.2059,5,9.62,34.17,4.16,0.4725,0,0.7138,0.1476,1.39,0.28,2.6569
2002-03-31,225341803,281677253,1.25,1837414000,962671000,533130000,369589000,1304284000,0,0,0,0,599026000,85332000,85332000,0.38,0.38,0.205,66286000,-42354000,-43993000,-21506000,286279000,46121000,42.72,45.52,39.91,0.2926,0.2078,4.63,9.43,33.17,3.99,0.4763,0,0.7098,0.1487,1.4,0.07,2.6047
2001-12-31,225233494,281541867,1.25,1765648000,913843000,489451000,332324000,1276197000,0,0,0,0,646580000,89916000,89916000,0.4,0.4,0.19,127559000,-66896000,-40585000,19202000,307785000,67276000,40.53,42.64,38.42,0.2986,0.2112,4.53,9.27,32.48,3.83,0.4629,0,0.7228,0.1494,1.41,0.21,2.7499
2001-09-30,225214994,281518742,1.25,1739145000,932772000,509425000,351741000,1229720000,0,0,0,0,597551000,91507000,91507000,0.41,0.41,0.19,83833000,-56611000,-77899000,-44542000,288583000,55759000,39.42,41.6,37.24,0.2979,0.2104,4.37,9.23,32.42,3.68,0.4687,0,0.7071,0.1523,1.38,0.1,2.6519
2001-06-30,225805594,282256992,1.25,1719331000,956074000,515108000,362391000,1204223000,0,0,0,0,623892000,100033000,100033000,0.44,0.44,0.19,113480000,-27495000,-42528000,40652000,333125000,29506000,37.64,39.76,35.53,0.3005,0.2113,4.27,9.23,31.68,3.52,0.4696,0,0.7004,0.1528,1.38,0.3,2.6382
2001-03-31,225875844,282344805,1.25,1649255000,902261000,496753000,345801000,1152502000,0,0,0,0,561623000,81530000,81530000,0.36,0.36,0.175,65619000,-25995000,-41083000,-8126000,292473000,26843000,36.55,38.75,34.35,0.299,0.2107,4.08,9.11,31.51,3.37,0.4714,0,0.6988,0.1526,1.38,0.14,2.6092
2000-12-31,112896365,282240912,2.5,1574740000,828715000,441843000,288210000,1132897000,0,0,0,0,524897000,78392000,78392000,0.7,0.7,0.35,104909000,-46322000,-44660000,19644000,300599000,46314000,33.9,38.65,29.15,0.2949,0.209,4.01,8.81,29.84,3.23,0.4826,0,0.7194,0.1533,1.36,0.21,2.8754
2000-09-30,112896365,282240912,2.5,1565896000,853409000,479497000,329968000,1086399000,0,0,0,0,539403000,83842000,83842000,0.74,0.74,0.35,95971000,-18260000,-91273000,-22044000,280955000,18001000,30.34,32.6,28.08,0.2901,0.2067,3.85,7.68,27.38,3.09,0.6046,0,0.6938,0.1497,1.38,0.28,2.5863
2000-06-30,113655365,284138412,2.5,1586484000,859882000,464442000,310396000,1122042000,0,0,0,0,574383000,92103000,92103000,0.81,0.81,0.35,142511000,-39281000,-74892000,24823000,302999000,39184000,31.15,33.8,28.5,0.2725,0.1983,3.95,7.93,28.74,2.95,0.5722,0,0.7073,0.1486,1.33,0.36,2.7703
2000-03-31,114116465,285291162,2.5,1568590000,828564000,448717000,293637000,1119873000,0,0,0,0,507023000,74605000,74605000,0.65,0.65,0.35,104892000,-30798000,-80078000,-10210000,278176000,20441000,28.55,33.15,23.95,0.2624,0.1936,3.93,7.17,26.83,2.81,0.5353,0,0.7139,0.149,1.3,0.3,2.8217
1999-12-31,114388196,285970490,2.5,1547745000,803746000,408970000,251825000,1138775000,0,0,0,0,544150000,73444000,73444000,0.64,0.64,0.67,93249000,25149000,-192802000,-78922000,288386000,45732000,30.19,33.78,26.6,0.2554,0.1901,3.98,6.8,28.7,2.67,0.4973,0,0.7358,0.1482,1.28,0.17,3.1917
