"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,744929499,744929499,1,17029000000,1696000000,8305000000,1223000000,8724000000,0,0,0,6153000000,1692000000,128000000,128000000,0.17,0.17,0.34,396000000,-83000000,-360000000,-47000000,212000000,84000000,24.96,27.57,22.35,0.0001,0.0001,11.71,2.11,99.84,45.84,1015.0495,0.7053,0.5123,0.0001,0.4,0.42,1.3868
2019-03-31,744786160,744786160,1,17132000000,1774000000,8331000000,1201000000,8801000000,0,0,0,6156000000,1643000000,-289000000,-289000000,-0.39,-0.39,0.34,-14000000,212000000,-273000000,-75000000,259000000,59000000,24.26,27.6,20.91,0.021,0.0109,11.82,2,24.51,45.5,5.2854,0.6995,0.5137,0.0262,0.42,-0.1,1.4771
2018-12-31,746524000,746524000,1,17249000000,1602000000,8203000000,1939000000,9046000000,0,0,0,5419000000,1636000000,-93000000,-93000000,-0.12,-0.12,0.34,292000000,-176000000,-130000000,-14000000,334000000,142000000,26.45,32.37,20.52,0.0823,0.0424,12.12,2.19,17.99,45.16,1.3279,0.599,0.5244,0.1001,0.42,0.2,0.8262
2018-09-30,749200027,749200027,1,17427000000,1714000000,8370000000,1273000000,9057000000,0,0,40000000,5921000000,1910000000,255000000,255000000,0.34,0.34,0.34,87000000,-115000000,-525000000,-553000000,348000000,105000000,34.77,37.44,32.11,0.1228,0.0623,12.09,2.84,26.75,44.82,0.8825,0.6537,0.5197,0.1451,0.43,-0.02,1.3464
2018-06-30,757679561,757679561,1,18048000000,2228000000,8767000000,1022000000,9281000000,0,0,40000000,5924000000,2065000000,317000000,317000000,0.42,0.42,0.32,597000000,-73000000,-221000000,303000000,901000000,97000000,36.32,38.39,34.25,0.109,0.0545,12.25,3.06,39.91,44.48,0.9733,0.6383,0.5142,0.1294,0.42,0.66,2.18
2018-03-31,757013955,757013955,1,17885000000,1919000000,8894000000,911000000,8991000000,0,0,40000000,5928000000,1865000000,269000000,269000000,0.35,0.35,0.32,136000000,-76000000,-286000000,-226000000,598000000,79000000,35.45,37.89,33.02,0.0771,0.0379,11.88,3.01,46.04,44.16,1.3712,0.6593,0.5027,0.0942,0.4,0.08,2.1065
2017-12-31,756097841,756097841,1,18059000000,1715000000,9160000000,1165000000,8899000000,0,0,40000000,5930000000,1823000000,271000000,271000000,0.36,0.36,0.32,354000000,175000000,-202000000,327000000,824000000,354000000,35.42,36.92,33.92,0.0642,0.0313,11.77,2.96,31.07,43.84,1.6193,0.6664,0.4928,0.0809,0.39,0,1.4721
2017-09-30,754829417,754829417,1,18402000000,1517000000,9357000000,1023000000,9045000000,0,0,40000000,5933000000,1872000000,130000000,130000000,0.17,0.17,0.31,323000000,298000000,-825000000,-204000000,497000000,-314000000,32.7,34.46,30.95,0.0944,0.0456,11.98,2.71,25.75,43.52,1.082,0.6559,0.4915,0.1318,0.35,0.84,1.4829
2017-06-30,752940643,752940643,1,18990000000,2088000000,9900000000,1524000000,9090000000,0,0,40000000,5936000000,1808000000,24000000,24000000,0.03,0.03,0.31,489000000,-38000000,-205000000,246000000,701000000,83000000,33.89,35.5,32.28,0.1046,0.0491,12.07,2.76,23.37,43.21,0.9704,0.653,0.4787,0.1504,0.33,0.54,1.3701
2017-03-31,751932664,751932664,1,19001000000,1465000000,9786000000,1022000000,9215000000,0,0,40000000,6263000000,1693000000,157000000,157000000,0.21,0.21,0.31,35000000,-68000000,-188000000,-221000000,455000000,67000000,32.13,34.37,29.88,0.1181,0.0543,12.26,2.62,23.8,42.9,0.851,0.6797,0.485,0.1755,0.31,-0.04,1.4335
