"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2009-06-30,1335057224,1335057224,1,45619096000,25592601000,24832391000,6852607000,20786705000,0,17000,4642050000,10551802000,5695160000,1272019000,1272019000,0.95,0.94,0.3,1481303000,-714633000,-458941000,366345000,9196917000,182071000,None,None,None,0.2302,0.1034,15.57,None,None,14.22,0.3442,0.5076,0.4557,0.2053,0.5,0.97,3.7347
2009-03-31,1333558558,1333558558,1,43998392000,23739097000,24271363000,6249088000,19727029000,0,22000,4653267000,10740734000,5376973000,1198160000,1198160000,0.9,0.89,0.3,1080686000,-1750874000,-484568000,-1185305000,8830572000,187059000,None,None,None,0.2256,0.1014,14.79,None,None,13.92,0.3498,0.5445,0.4484,0.1964,0.52,0.67,3.7988
2008-12-31,1331416350,1331416350,1,44031724000,23481340000,24857882000,6850423000,19173842000,0,0,4683423000,10826013000,5348319000,960385000,960385000,0.72,0.71,0.3,1539248000,-2040935000,-538174000,-1104852000,10015877000,533949000,33.43,38.8,28.06,0.2268,0.1016,14.4,2.26,10.1,13.62,0.3438,0.5646,0.4355,0.1935,0.53,0.76,3.4277
2008-09-30,1331486979,1331486979,1,43183595000,23392189000,23494718000,7203413000,19688877000,0,23000,4732820000,10469365000,5829582000,1138407000,1138407000,0.85,0.84,0.28,1862101000,-620135000,-447226000,738099000,11120729000,300934000,42.8,49.8,35.8,0.2326,0.1037,14.79,2.89,12.93,13.32,0.3339,0.5317,0.4559,0.1925,0.54,1.17,3.2474
2008-06-30,1333431759,1333431759,1,43190555000,23137204000,23428870000,6017664000,19761685000,0,23000,4529443000,11456262000,5945358000,1122094000,1122094000,0.84,0.83,0.28,1427626000,-233803000,-397452000,792143000,10382630000,302518000,44.97,48.72,41.21,0.2413,0.1041,14.82,3.11,13.42,13.04,0.3278,0.5797,0.4575,0.1946,0.53,0.84,3.8449
2008-03-31,1333338322,1333338322,1,43456557000,23142165000,24148398000,6624069000,19308159000,0,23000,4534629000,11669921000,5710649000,1196947000,1196947000,0.9,0.89,0.28,444030000,-368864000,-966190000,-863392000,9590487000,271598000,43.62,48.84,38.39,0.2577,0.1071,14.48,3.2,12.91,12.76,0.3171,0.6044,0.4443,0.2005,0.53,0.13,3.4936
2007-12-31,1337969136,1337969136,1,42717282000,22983598000,24506747000,7324279000,18210535000,0,0,4518560000,11492881000,5763526000,1017430000,1017430000,0.77,0.75,0.28,1610437000,-424435000,-583722000,615002000,10453879000,518303000,46.59,49.54,43.65,0.2778,0.1109,13.61,3.67,14.29,12.48,0.3081,0.6311,0.4263,0.2061,0.54,0.82,3.138
2007-09-30,1339139652,1339139652,1,42895841000,22820206000,25874737000,8438065000,17021104000,0,25000,4521771000,11337420000,5619536000,1145905000,1145905000,0.85,0.84,0.26,1874532000,-304617000,-760189000,828626000,9838877000,382890000,50.83,58,43.65,0.2832,0.1112,12.71,4.21,15.54,12.2,0.3138,0.6661,0.3968,0.2038,0.55,1.11,2.7044
2007-06-30,1344640581,1344640581,1,41267925000,21788621000,25054260000,7829181000,16213665000,0,26000,4509095000,11194771000,5648050000,1198521000,1198521000,0.89,0.87,0.26,1283656000,-846184000,-21387000,431312000,9010251000,279207000,56.36,62.2,50.51,0.2943,0.1164,12.06,5.05,17.72,11.94,0.3104,0.6905,0.3929,0.2089,0.56,0.75,2.783
2007-03-31,1345160352,1345160352,1,39641084000,20415772000,24624080000,7358806000,15017004000,0,27000,4273308000,11319736000,5368686000,1254104000,1254104000,0.93,0.92,0.26,1107054000,-1027099000,1715443000,1800628000,8578939000,210268000,50,52.25,47.75,0.2975,0.117,11.16,4.6,16.23,11.68,0.317,0.7538,0.3788,0.2074,0.56,0.67,2.7743
