"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,107661737,107661737,1,13161227000,2241827000,11245984000,1877930000,2078220000,-162977000,0,133837000,9133562000,1651546000,104872000,104872000,0.98,0.98,0.75,263858000,-310875000,-343109000,-392530000,1826793000,309875000,114.67,133.73,95.61,0.4622,0.0697,19.3,6.07,22.22,63.25,0.3681,4.3949,0.1579,0.1325,0.53,-0.43,1.1938
2018-12-31,107635436,107635436,1,13216269000,2641376000,11401480000,1882063000,2034123000,-219334000,0,222506000,9411140000,1687586000,464866000,464866000,4.32,4.27,0.75,463600000,-293917000,99463000,266323000,2219323000,269891000,109.7,129.33,90.06,0.3656,0.0461,18.9,6.61,19.42,62.5,0.5207,4.6266,0.1539,0.0852,0.54,1.8,1.4034
2018-09-30,108738518,108738518,1,12377491000,2336320000,10837208000,2047405000,1804993000,-264710000,0,223382000,8695335000,1709072000,156115000,156115000,1.44,1.44,0.75,444587000,-180475000,234528000,504027000,1953000000,311357000,147.19,167.59,126.78,0.463,0.0488,16.6,9.33,29.5,61.75,0.4486,4.8174,0.1458,0.0892,0.55,1.23,1.1411
2018-06-30,108643901,108643901,1,11816556000,1888458000,9996961000,1746819000,1712985000,106610000,0,224008000,8133602000,1605424000,155756000,155756000,1.44,1.44,0.75,106948000,-340305000,-351001000,-584706000,1448973000,326068000,182.25,202.48,162.02,0.5651,0.0426,15.77,27.82,42.58,61,0.4564,4.7482,0.145,0.079,0.54,-2.02,1.0811
2018-03-31,108587045,108587045,1,12215174000,2448299000,11443786000,2098909000,711562000,59826000,0,212384000,9234679000,1715578000,-204307000,-204307000,-1.99,-1.99,0.5,-53646000,-408113000,-307247000,-772955000,2033679000,514443000,180.08,203.63,156.54,0.7817,0.036,6.55,19.57,24.8,60.25,0.4716,12.978,0.0583,0.0675,0.53,-5.23,1.1665
2017-12-31,103017861,103017861,1,12681739000,3423784000,11603389000,1930290000,947846000,130504000,0,123705000,9565936000,1689096000,491682000,491682000,4.81,4.76,0.5,599072000,-294474000,-435669000,-131511000,2804474000,285121000,155.13,171.06,139.2,None,0.0612,9.2,48.48,42.97,59.75,0.2749,10.0923,0.0747,0.1185,0.52,3.05,1.7737
2017-09-30,102782543,102782543,1,12427954000,3556552000,12029744000,2062058000,329076000,69134000,0,124301000,9771815000,1612331000,79767000,79767000,0.78,0.78,0.5,473953000,-265873000,240993000,449562000,2935985000,257618000,137.13,150.15,124.11,None,0.0307,3.2,51.36,51.55,59.25,0.5546,29.6947,0.0265,0.0624,0.49,2.1,1.7248
2017-06-30,102566043,102566043,1,11856899000,3040189000,11499193000,1539909000,273423000,84283000,0,124897000,9806296000,1529261000,74916000,74916000,0.73,0.73,0.5,388968000,-274831000,-168000000,-57008000,2486423000,246927000,126.29,139.67,112.91,None,0.0234,2.67,58.74,48.2,58.75,0.7508,35.8649,0.0231,0.0502,0.47,1.38,1.9743
2017-03-31,102363915,102363915,1,11829528000,3081410000,11476869000,1508170000,219964000,132695000,0,112993000,9812876000,1475680000,100816000,100816000,0.99,0.99,0.5,414584000,-122455000,-201036000,90309000,2543431000,125434000,101.19,116.19,86.2,None,0.0236,2.15,65.28,42.7,58.25,0.7621,44.6113,0.0186,0.0541,0.44,2.82,2.0431
2016-12-31,101925222,101925222,1,11953557000,2990367000,11695676000,1416301000,157949000,99932000,0,113588000,10125352000,1300433000,113800000,113800000,1.13,1.11,0.5,289703000,-273022000,926306000,942314000,2453122000,271291000,93.71,104.9,82.51,None,0.0219,1.55,None,40.39,57.75,0.8415,64.1052,0.0132,0.0542,0.4,0.18,2.1114
2016-09-30,101740911,101740911,1,10925944000,2057197000,10990376000,1430270000,-133998000,69566000,0,114184000,9440856000,1109822000,-17437000,-17437000,-0.17,-0.17,0.5,310897000,-409457000,-293603000,-391515000,1510808000,404414000,98.38,109.5,87.26,None,0.0223,-1.32,None,30.55,57.25,1.2836,None,None,0.0578,0.39,-0.92,1.4383
2016-06-30,101790911,101790911,1,10610351000,2414543000,10608656000,991937000,-69585000,71280000,0,114780000,9457016000,1058364000,70391000,70391000,0.69,0.69,0.5,254573000,-333050000,-125659000,-204930000,1902323000,274353000,95.7,105.69,85.72,None,0.0315,-0.68,None,30.97,56.75,0.9275,None,None,0.0823,0.38,-0.19,2.4342
2016-03-31,101790911,101790911,1,10646560000,2605493000,10565625000,970616000,-84326000,165261000,0,110376000,9408555000,997678000,75221000,75221000,0.74,0.74,0.5,115373000,-272721000,184822000,27164000,2107253000,272013000,73.28,96.6,49.95,None,0.0312,-0.83,None,38.37,56.25,0.9681,None,None,0.0791,0.39,-1.54,2.6844
2015-12-31,101749906,101749906,1,10522259000,2505778000,10500414000,1110171000,-111979000,133824000,0,110972000,9212765000,946902000,109665000,109665000,1.08,1.06,1.5,227305000,-465633000,418188000,179880000,2080089000,556496000,64.11,77.25,50.96,None,0.0201,-1.1,None,33.22,55.75,1.5615,None,None,0.0479,0.42,-3.24,2.2571
2015-09-30,101568512,101568512,1,9981185000,2348198000,10041967000,1113453000,-176834000,116052000,0,111580000,8748449000,996285000,73766000,73766000,0.73,0.73,0.5,159178000,-461426000,713934000,411989000,1900209000,421666000,82.13,112,52.26,None,0.0208,-1.74,None,26.67,54.25,2.0831,None,None,0.0457,0.46,-2.58,2.1089
2015-06-30,101536779,101536779,1,9283042000,2087703000,9393702000,1227090000,-208447000,97787000,0,112176000,7985463000,1040458000,56460000,56460000,0.56,0.56,0.5,201343000,-442902000,87570000,-153688000,1488220000,411094000,115.26,136.93,93.59,None,0.0341,-2.05,None,25.5,53.75,1.542,None,None,0.0674,0.51,-2.07,1.7013
2015-03-31,101536779,101536779,1,9151680000,2382852000,9298832000,1247552000,-224046000,76894000,0,112772000,7834420000,1092238000,-44601000,-44601000,-0.44,-0.44,0.5,-15013000,-521597000,-3434000,-540256000,1641908000,494730000,140.97,160.41,121.53,None,0.0505,-2.21,None,19.63,53.25,1.2128,None,None,0.0918,0.55,-5.02,1.91
2014-12-31,101525639,101525639,1,9062861000,2782331000,8851770000,1313165000,-28779000,239870000,0,112367000,7345262000,1137975000,109346000,109346000,1.08,1.08,2.5,124189000,-548862000,-284545000,-708714000,2182164000,419938000,163.01,192.45,133.58,None,0.0803,-0.28,175.28,19.88,52.75,0.8663,None,None,0.1346,0.6,-2.91,2.1188
2014-09-30,101349797,101349797,1,9181699000,3470319000,8888284000,1344312000,94715000,198700000,0,28980000,7341227000,1370010000,191406000,191406000,1.9,1.88,1.25,396035000,-311302000,-226623000,-144233000,2890878000,290195000,196.51,220.5,172.53,None,0.0936,0.93,935.76,24.23,50.25,0.8176,77.5086,0.0103,0.1438,0.65,1.04,2.5815
2014-06-30,101348344,101348344,1,9071342000,3618180000,8783177000,1285165000,21410000,266755000,0,29576000,7310134000,1412063000,203906000,203906000,2.02,2,1.25,368871000,-272126000,-337254000,-238510000,3035111000,237490000,209.72,231,188.43,None,0.0955,0.21,None,28.38,49,0.796,341.4355,0.0024,0.1417,0.67,1.3,2.8153
2014-03-31,101257217,101257217,1,9113221000,3839184000,8792479000,1255325000,-72465000,393207000,0,30172000,7329777000,1513613000,226896000,226896000,2.25,2.22,1.25,209222000,17938000,612797000,838580000,3273621000,175055000,219.17,249.31,189.03,None,0.0903,-0.72,None,30.57,47.75,0.8404,None,None,0.1308,0.69,0.34,3.0583
2013-12-31,101212217,101212217,1,8377030000,2968814000,8244679000,1455534000,-184507000,316858000,0,30767000,6586518000,1519897000,213884000,213884000,2.13,2.1,3,395308000,-187002000,185643000,393886000,2435041000,181790000,175.15,194.53,155.77,None,0.0918,-1.82,17515,28.34,46.5,0.8329,None,None,0.1296,0.71,2.11,2.0397
2013-09-30,101155304,101155304,1,8069628000,2765556000,7828289000,1627162000,1297000,240042000,0,31146000,5986557000,1390112000,182020000,182020000,1.81,1.79,1,370528000,-365472000,6895000,12926000,2041155000,135043000,142.21,159.85,124.57,None,0.0817,0.01,None,25.86,43.5,1.7746,4615.6955,0.0002,0.1162,0.7,2.33,1.6996
2013-06-30,101102388,101102388,1,7773339000,2490335000,7595775000,1368044000,-88028000,265592000,0,29243000,6010763000,1332273000,129785000,129785000,1.29,1.28,1,489936000,-139935000,-381353000,-28476000,2028229000,110919000,129.7,144.99,114.41,None,0.0728,-0.87,None,23.2,42.5,1.9064,None,None,0.105,0.69,3.75,1.8204
2013-03-31,101005713,101005713,1,7535926000,2504504000,7261250000,1234466000,-157027000,431703000,0,30183000,5781181000,1378654000,202963000,202963000,2.02,2,1,420870000,14829000,-102328000,331486000,2056705000,58519000,120.19,126.98,113.39,None,0.0746,-1.55,None,24.94,41.5,1.7884,None,None,0.1081,0.69,3.59,2.0288
2012-12-31,100982712,100982712,1,7276594000,2202378000,7172662000,1131377000,-259037000,362969000,0,31297000,5781770000,1289084000,111373000,111373000,1.12,1.11,8,196482000,6276000,-810005000,-605718000,1725219000,72491000,113.49,123.64,103.34,None,0.0667,-2.57,27.75,21.74,40.5,1.9096,None,None,0.0974,0.68,1.23,1.9466
2012-09-30,100581636,100581636,1,7956227000,2841284000,7236927000,1205557000,411335000,307965000,0,32410000,5781471000,1298495000,112035000,112035000,1.12,1.11,0.5,328414000,-171155000,238332000,397748000,2330937000,52757000,103.29,116.47,90.11,0.7521,0.0782,4.09,30.38,20.17,32.5,1.1244,14.0554,0.0517,0.1116,0.7,2.74,2.3568
2012-06-30,100522136,100522136,1,7480591000,2470718000,6885119000,1337048000,341642000,253830000,0,33523000,5292218000,1253207000,138064000,138064000,1.38,1.37,0.5,322332000,-167948000,-91616000,62119000,1933189000,79812000,117.05,138.28,95.82,0.4539,0.0816,3.4,47.39,24.8,32,1.1165,15.4905,0.0457,0.1145,0.71,2.41,1.8479
2012-03-31,100512724,100512724,1,7403067000,2319938000,6962075000,1348509000,248675000,192317000,0,34637000,5328006000,1313498000,140564000,140564000,1.25,1.23,0.5,338490000,-12027000,280810000,608483000,1871070000,35195000,118.61,132.59,104.62,0.3127,0.0805,2.47,5.71,24.31,31.5,1.1684,21.4256,0.0336,0.109,0.74,3.02,1.7204
2011-12-31,100527776,100527776,1,6899496000,1726452000,4676042000,1579893000,2089022000,134432000,0,35751000,2809785000,1343863000,190473000,190473000,1.54,1.51,5,366783000,-94842000,-790506000,-513437000,1262587000,97955000,121.61,142.2,101.02,0.2558,0.0869,20.78,5.9,28.48,31,1.1249,1.345,0.3028,0.1164,0.75,2.67,1.0928
2011-09-30,124957158,124957158,1,7428974000,2205130000,4567656000,1325757000,2574778000,286540000,0,36864000,2933366000,1298304000,127063000,127063000,1.02,1.01,0.5,318054000,-119726000,-106958000,91035000,1776024000,34310000,142.15,172.58,111.71,0.2205,0.0767,20.61,7.08,47.54,26,2.2048,1.1393,0.3466,0.104,0.74,2.27,1.6633
