"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,101433207,101433207,1,7557192000,596208000,3714210000,909914000,3761362000,81620000,0,727573000,1983727000,576957000,26316000,24602000,0.26,0.26,0.2,250091000,-629811000,-400016000,-779736000,20930000,345370000,68.55,77.1,60.01,0.1912,0.1012,37.08,1.97,8.24,5.34,0.1126,0.5274,0.4977,0.2647,0.38,-0.94,0.6552
2018-12-31,95755298,95755298,1,6062084000,1424139000,2732298000,708707000,3329786000,0,0,620232000,1488554000,624121000,316182000,311722000,3.32,3.32,0.18,393181000,-433454000,-23007000,-63280000,800666000,433454000,78.41,101.19,55.62,0.2604,0.1397,34.77,2.48,11.48,5.14,0.0832,0.447,0.5493,0.3338,0.41,-0.42,2.0095
2018-09-30,95602883,95602883,1,5818435000,1427715000,2792613000,845345000,3025822000,0,0,620232000,1488147000,591488000,148354000,146285000,1.56,1.56,0.18,453474000,19388000,-19739000,453123000,863946000,-19388000,92.13,103.73,80.53,0.2282,0.1201,31.65,3.04,14.79,4.96,0.0864,0.4918,0.52,0.2827,0.42,4.95,1.6889
2018-06-30,95356074,95356074,1,5531393000,990142000,2644895000,736959000,2886498000,0,0,620232000,1487739000,556274000,140997000,139105000,1.48,1.48,0.16,321246000,-359297000,-14936000,-52987000,410823000,359297000,93.18,103.91,82.45,0.2203,0.1152,30.27,3.23,16.15,4.78,0.0784,0.5154,0.5218,0.2732,0.42,-0.4,1.3436
2018-03-31,95430045,95430045,1,5260364000,977990000,2508771000,658298000,2751593000,0,0,620232000,1487330000,567134000,186318000,183652000,1.96,1.96,0.16,383093000,-312255000,-7562000,63276000,463810000,312255000,109.94,130.16,89.73,0.2156,0.112,28.83,4.09,21.18,4.62,0.0705,0.5405,0.5231,0.2653,0.42,0.74,1.4856
2017-12-31,95438121,95438121,1,5042639000,935635000,2474361000,679574000,2568278000,0,0,620232000,1486920000,550940000,174696000,171615000,1.83,1.83,0.08,340759000,-341262000,-21771000,-22274000,400534000,341262000,118.72,127.89,109.55,0.2047,0.1054,26.91,4.71,29.61,4.46,0.0628,0.579,0.5093,0.2532,0.41,-0.01,1.3768
2017-09-30,95260901,95260901,1,4769054000,894132000,2366991000,592625000,2402063000,0,0,620232000,1486509000,463681000,91399000,89827000,0.96,0.96,0.08,251005000,-333811000,-13981000,-96787000,422808000,333811000,102.96,116.43,89.49,0.1671,0.0846,25.22,4.24,35.38,4.38,0.1016,0.6188,0.5037,0.2141,0.39,-0.87,1.5088
2017-06-30,95278037,95278037,1,4562980000,927876000,2251225000,526221000,2311755000,0,0,620232000,1486097000,456452000,97262000,95619000,1.02,1.02,0.08,255286000,-275847000,-38752000,-59313000,519595000,283929000,107.57,123.92,91.22,0.1222,0.0622,24.26,4.63,None,4.3,0.1399,0.6428,0.5066,0.1677,0.37,-0.3,1.7633
2017-03-31,95108619,95108619,1,4393999000,949227000,2183050000,507322000,2210949000,0,0,620232000,1488500000,447176000,130972000,128717000,1.38,1.38,0.08,249514000,-314977000,-8505000,-73968000,578908000,306895000,129.51,144.3,114.72,-0.0421,-0.0207,23.25,6.03,None,4.22,None,0.6732,0.5032,None,0.33,-0.6,1.8711
2016-12-31,95121492,95121492,1,4237724000,969304000,2194735000,522352000,2042989000,0,0,620232000,1487939000,382155000,60436000,60436000,0.65,0.65,0.16,169894000,-208014000,-7700000,-45820000,652876000,208014000,132.78,146.96,118.59,-0.1751,-0.0898,21.48,5.4,None,4.14,None,0.7283,0.4821,None,0.28,-0.4,1.8557
2016-09-30,94964174,94964174,1,4538747000,966503000,2205465000,441318000,2333282000,0,0,620232000,1487371000,335717000,-12818000,-12818000,-0.14,-0.14,0.08,215627000,-154418000,-4252000,56957000,698696000,154418000,124.57,136.95,112.19,-0.4359,-0.2289,24.57,5.04,None,3.98,None,0.6375,0.5141,None,0.25,0.64,2.19
