"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2018-06-30,258794274,258794274,1,63585889000,None,52328883000,None,9660011000,1596995000,0,2201085000,3217123000,3022620000,318996000,318996000,1.23,1.21,0.22,-373493000,-42684000,-175421000,-609219000,3030567000,0,54.64,56.49,52.78,-0.0556,-0.0085,37.33,1.47,None,27.01,None,0.333,0.1519,None,0.18,-1.44,None
2018-03-31,258287127,258287127,1,65337963000,None,54102741000,None,9628529000,1606693000,0,2230506000,3240461000,2814942000,152648000,152648000,0.59,0.58,0.22,-238124000,340442000,-63486000,46335000,3639786000,0,45.08,56.39,33.77,-0.0554,-0.0088,37.28,1.18,None,26.79,None,0.3365,0.1474,None,0.18,-0.92,None
2017-12-31,256915044,256915044,1,63436236000,None,51974916000,None,9848317000,1613003000,0,2225751000,3220769000,2901052000,28828000,28828000,0.1,0.18,0.22,-150495000,615521000,-60535000,405866000,3435954000,0,38.95,42.99,34.92,-0.0536,-0.0089,38.33,1,None,26.57,None,0.327,0.1552,None,0.18,-0.59,None
2017-09-30,256014972,256014972,1,63790208000,None,52261698000,None,9939847000,1588663000,0,2227014000,3210063000,2883984000,-1043689000,-1043689000,-4.06,-4.06,0.22,313060000,180481000,-609176000,-103734000,3030088000,0,41.65,47.27,36.02,-0.0269,-0.0046,38.83,0.97,13.48,26.35,None,0.3229,0.1558,None,0.18,1.22,None
2017-06-30,257944055,257944055,1,62382250000,None,49279843000,None,11080552000,2021855000,0,2219390000,3207339000,2787760000,301620000,301620000,1.16,1.14,0.22,-81749000,-367763000,217533000,-218829000,3133822000,0,41.85,44.58,39.12,0.0754,0.0137,42.96,1,19.93,26.13,0.2664,0.2895,0.1776,0.0753,0.18,-0.32,None
2017-03-31,261441684,261441684,1,61024619000,None,48023993000,None,10974884000,2025742000,0,2208612000,2648353000,2755361000,152843000,152843000,0.58,0.57,0.22,-47497000,234487000,-291600000,-74337000,3352651000,0,38.95,41.39,36.5,0.0512,0.0095,41.98,0.99,24.34,25.91,0.3835,0.2413,0.1798,0.0525,0.18,-0.18,None
2016-12-31,264971941,264971941,1,58434102000,None,45473423000,None,10938512000,2022167000,562300000,2203653000,2647677000,2893317000,304700000,304700000,1.13,1.13,0.2,265726000,10148000,-196050000,33711000,3426988000,0,35.73,38.64,32.81,0.0389,0.0073,39.16,0.83,29.05,25.69,0.496,0.2552,0.1776,0.0418,0.18,1,None
2016-09-30,269059862,269059862,1,60772050000,None,47179170000,None,11612166000,1980714000,0,2234071000,2647000000,2588120000,70601000,70601000,0.26,0.25,0.2,482357000,-70587000,-344563000,76528000,3393277000,0,33.73,35.5,31.97,0.0317,0.006,43.16,0.79,31.52,25.49,0.6143,0.228,0.1911,0.0355,0.17,1.79,None
2016-06-30,274972458,274972458,1,61198240000,None,47534308000,None,11685188000,1978744000,0,2217973000,2646324000,2647422000,43782000,43782000,0.16,0.15,0.2,338367000,594245000,-435206000,495852000,3316749000,0,33.77,37.22,30.33,0.028,0.0053,42.5,0.82,8.38,25.29,0.7149,0.2265,0.1909,0.0313,0.17,1.23,None
2016-03-31,284669984,284669984,1,60645692000,None,46977974000,None,11688744000,1978974000,0,2233597000,2653895000,2417227000,21885000,21885000,0.07,0.07,0.2,-171113000,203961000,-448791000,-435339000,2820897000,0,35.88,38.7,33.06,0.104,0.0198,41.06,0.94,8.75,25.09,0.1871,0.227,0.1927,0.1158,0.17,-0.6,None
2015-12-31,291794761,291794761,1,58682938000,None,45028475000,None,11677079000,1977384000,562300000,2210266000,0,2631313000,228550000,228550000,0.77,0.76,0.2,106056000,169828000,-350101000,-83834000,3256236000,0,37.46,40.48,34.44,0.1087,0.0213,38.09,0.98,9.7,24.89,0.1784,0,0.1894,0.1297,0.16,0.36,None
2015-09-30,297759367,297759367,1,60416523000,None,46516015000,None,11938229000,1962279000,562300000,2213688000,0,2569702000,27282000,27282000,0.09,0.09,0.2,488996000,315979000,-288891000,499229000,3340070000,0,32.98,40.41,25.56,0.1032,0.021,38.21,0.85,8.16,24.69,0.1769,0,0.1883,0.1376,0.15,1.64,None
2015-06-30,302314373,302314373,1,61750706000,None,47545601000,None,12247298000,1957807000,562300000,2205911000,0,2685296000,915039000,915039000,3.16,3.11,0.16,-14474000,-153821000,-210290000,-369093000,2840841000,0,37.55,38.78,36.33,0.1113,0.0234,38.65,1.12,None,24.49,0.1544,0,0.1892,0.1639,0.14,-0.05,None
2015-03-31,306635642,306635642,1,46080556000,None,34434133000,None,10244057000,1402366000,0,442431000,0,1422615000,36281000,36281000,0.14,0.14,0.16,34978000,-195554000,896093000,688120000,3209934000,0,35.72,37.45,33.98,-0.0031,-0.0007,33.41,0.91,53.31,24.33,None,0,0.2223,None,0.13,0.11,None
2014-12-31,255239522,255239522,1,45046819000,None,33611052000,None,10033752000,1402015000,0,447952000,0,1447605000,139500000,139500000,0.55,0.52,0.16,235159000,205831000,-229689000,168080000,2521814000,0,33.59,36.35,30.83,0.0188,0.0041,39.31,0.88,27.99,24.17,0.8923,0,0.2227,0.0285,0.14,0.92,None
2014-09-30,258053681,258053681,1,45909756000,None,34688982000,None,9841054000,1379720000,0,450411000,0,1543332000,72384000,72384000,0.27,0.27,0.16,374396000,-63619000,-967489000,-717405000,2353734000,0,33.67,35.52,31.83,0.0349,0.0075,38.14,0.89,24.05,24.01,0.4744,0,0.2144,0.0495,0.15,1.45,None
2014-06-30,265499119,265499119,1,47848915000,None,36440338000,None,10034289000,1374288000,0,455057000,0,1823506000,-279261000,-279261000,-1.03,-1.03,0.16,153561000,869129000,-434220000,595092000,3071139000,0,31.97,33.41,30.54,0.0411,0.0089,37.79,0.85,9.51,23.85,0.3976,0,0.2097,0.0558,0.16,0.58,None
2014-03-31,271499156,271499156,1,46758887000,None,35154913000,None,10244962000,1359012000,0,455700000,0,1787824000,255717000,255717000,0.93,0.91,0.16,200068000,700280000,-232310000,675215000,2476047000,0,29.82,31.85,27.79,0.0964,0.0211,37.73,0.82,8.24,23.69,0.1676,0,0.2191,0.1292,0.16,0.74,None
2013-12-31,276056910,276056910,1,45652887000,None,34303589000,None,9997633000,1351665000,0,411611000,0,1912501000,300780000,300780000,1.06,1.05,0.14,-72912000,-627994000,371404000,-330061000,1800832000,0,30.95,32.29,29.62,0.1052,0.0233,36.22,0.88,10.94,23.53,0.1499,0,0.219,0.1405,0.17,-0.26,None
