"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,4231093914,4231093914,1,356189000000,51576000000,158168000000,66632000000,191222000000,6799000000,0,0,19031000000,61646000000,2350000000,2350000000,0.55,0.55,0.82,8338000000,-5793000000,-1044000000,1544000000,4586000000,5199000000,74.63,82,67.25,0.0975,0.0528,45.19,1.65,15.29,40.38,0.7489,0.0995,0.5369,0.0673,0.78,0.74,0.774
2018-12-31,4234802431,4234802431,1,346196000000,47973000000,147668000000,57138000000,191794000000,6734000000,0,0,20538000000,68253000000,6000000000,6000000000,1.41,1.41,0.82,8607000000,-5584000000,-5501000000,-2627000000,3042000000,6094000000,75.77,86.89,64.65,0.11,0.0596,45.29,1.69,13.93,39.56,0.6562,0.1071,0.554,0.0746,0.8,0.59,0.8396
2018-09-30,4233807170,4233807170,1,354628000000,53975000000,157797000000,65288000000,190365000000,6466000000,0,0,20624000000,74187000000,6240000000,6240000000,1.46,1.46,0.82,11108000000,-3907000000,-4959000000,2239000000,5669000000,5204000000,81.94,87.36,76.51,0.1233,0.0663,44.96,1.85,16.69,38.74,0.5799,0.1083,0.5368,0.0907,0.73,1.39,0.8267
2018-06-30,4233810348,4233810348,1,348790000000,50555000000,155257000000,62447000000,187222000000,6311000000,0,0,20720000000,71456000000,3950000000,3950000000,0.92,0.92,0.82,7780000000,-5096000000,-3244000000,-695000000,3430000000,4927000000,77.97,83.79,72.16,0.1124,0.06,44.22,1.75,16.35,37.92,0.6328,0.1107,0.5368,0.0845,0.71,0.67,0.8096
2018-03-31,4233834437,4233834437,1,348826000000,48315000000,153915000000,60306000000,188195000000,6716000000,0,0,20781000000,65436000000,4650000000,4650000000,1.09,1.09,0.77,8519000000,-1859000000,-5742000000,948000000,4125000000,3349000000,80.98,89.3,72.67,0.1104,0.0586,44.45,1.83,17.49,37.1,0.6412,0.1104,0.5395,0.085,0.69,1.22,0.8012
2017-12-31,4237462159,4237462159,1,348691000000,47134000000,154191000000,57771000000,187688000000,6812000000,0,0,24406000000,44834000000,8380000000,8380000000,1.97,1.97,0.77,7411000000,-6536000000,-1837000000,-1089000000,3177000000,4501000000,82.19,84.36,80.01,0.1086,0.0569,44.29,1.91,26.77,36.33,0.6578,0.13,0.5383,0.0831,0.68,0.69,0.8159
2017-09-30,4237106077,4237106077,1,349427000000,45752000000,160229000000,53777000000,182276000000,6922000000,0,0,24869000000,66165000000,3970000000,3970000000,0.93,0.93,0.77,7535000000,-2555000000,-4988000000,224000000,4266000000,4913000000,79.27,82.49,76.05,0.0737,0.0381,43.02,1.87,28.62,35.56,0.9849,0.1364,0.5216,0.0529,0.72,0.62,0.8508
2017-06-30,4237105828,4237105828,1,343012000000,42180000000,157174000000,50949000000,179178000000,6660000000,0,0,24750000000,62876000000,3350000000,3350000000,0.78,0.78,0.77,6947000000,-2878000000,-5059000000,-855000000,4042000000,3098000000,81.47,83.69,79.26,0.0674,0.0345,42.29,1.95,33.95,34.79,1.083,0.1381,0.5224,0.049,0.7,0.91,0.8279
2017-03-31,4237265503,4237265503,1,344209000000,43131000000,160438000000,53374000000,177151000000,6620000000,0,0,25124000000,63287000000,4010000000,4010000000,0.95,0.95,0.75,8173000000,-3761000000,-3246000000,1240000000,4897000000,2890000000,85.83,91.34,80.31,0.0586,0.0296,41.81,2.13,45.65,34.02,1.2458,0.1418,0.5147,0.0431,0.69,1.25,0.8081
2016-12-31,4146513819,4146513819,1,330314000000,41416000000,156484000000,47638000000,167325000000,6505000000,0,0,28932000000,53530000000,1680000000,1680000000,0.41,0.41,0.75,7396000000,-1672000000,-6746000000,-1436000000,3657000000,3887000000,87.99,93.22,82.76,0.0461,0.0231,40.35,2.14,41.12,33.27,1.5761,0.1729,0.5066,0.0359,0.65,0.85,0.8694
