"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,182565329,182565329,1,69195000000,None,61607000000,None,7588000000,0,566000000,1014000000,1228000000,708000000,213000000,205000000,1.1,1.04,0.3,-42000000,87000000,-123000000,-78000000,536000000,25000000,45.92,51.81,40.03,0.1174,0.0127,38.46,1.22,11.25,16.56,0.275,0.1749,0.1015,0.2932,0.04,-0.37,None
2018-12-31,186159654,186159654,1,68746000000,None,61168000000,None,7578000000,0,566000000,1015000000,724000000,715000000,226000000,217000000,1.14,1.06,0.3,351000000,-1967000000,1713000000,97000000,614000000,34000000,45.17,52.26,38.08,0.1209,0.0132,37.67,1.24,12.69,16.26,0.2346,0.1033,0.102,0.3055,0.04,1.7,None
2018-09-30,192185109,192185109,1,66731000000,None,59178000000,None,7553000000,0,566000000,1015000000,879000000,701000000,223000000,215000000,1.11,1.04,0.3,387000000,-410000000,72000000,49000000,517000000,36000000,52.39,54.99,49.79,0.106,0.0118,36.36,1.44,16.17,15.96,0.234,0.1258,0.1047,0.2736,0.04,1.83,None
2018-06-30,194402811,194402811,1,66457000000,None,58836000000,None,7621000000,0,566000000,1015000000,384000000,686000000,197000000,187000000,0.95,0.89,0.3,163000000,100000000,-265000000,-2000000,468000000,26000000,55.02,59.19,50.84,0.0963,0.0109,36.29,1.53,17.86,15.66,0.2063,0.0544,0.1062,0.2543,0.04,0.7,None
2018-03-31,197114982,197114982,1,66481000000,None,58837000000,None,7644000000,0,566000000,1016000000,384000000,680000000,238000000,231000000,1.16,1.09,0.14,275000000,-429000000,76000000,-78000000,470000000,27000000,53.52,57.29,49.76,0.0913,0.0105,35.91,1.48,20.58,15.36,0.1521,0.0543,0.1065,0.2444,0.04,1.26,None
2017-12-31,196514295,196514295,1,66288000000,None,58609000000,None,7679000000,0,566000000,1016000000,384000000,667000000,125000000,115000000,0.57,0.54,0.16,126000000,-842000000,723000000,7000000,548000000,35000000,47.85,52.2,43.5,0.0772,0.009,36.2,1.33,17.99,15.22,0.1596,0.054,0.1073,0.2108,0.04,0.46,None
2017-09-30,199743776,199743776,1,65564000000,None,57803000000,None,7761000000,0,566000000,1017000000,384000000,661000000,160000000,152000000,0.75,0.72,0.12,227000000,-24000000,-143000000,60000000,541000000,36000000,44.47,47.7,41.23,0.0791,0.0093,36.02,1.25,17.72,15.06,0.1296,0.0534,0.1097,0.2195,0.04,0.96,None
2017-06-30,202172188,202172188,1,65446000000,None,57697000000,None,7749000000,0,566000000,1019000000,384000000,660000000,168000000,154000000,0.76,0.73,0.08,195000000,-173000000,-107000000,-85000000,481000000,43000000,41.64,44.85,38.43,0.0747,0.009,35.53,1.2,18.76,14.94,0.1236,0.0535,0.1098,0.2096,0.04,0.75,None
2017-03-31,202629299,202629299,1,65463000000,None,57733000000,None,7730000000,0,710000000,1021000000,383000000,621000000,139000000,129000000,0.63,0.61,0.08,380000000,-2880000000,2329000000,-171000000,566000000,47000000,43.71,48.33,39.09,0.0663,0.0083,34.64,1.28,21.96,14.86,0.1322,0.0546,0.1072,0.1896,0.04,1.64,None
2016-12-31,202422704,202422704,1,63239165000,None,55604859000,None,7634306000,0,709601000,1022549000,534850000,608714000,137401000,124990000,0.61,0.6,0.08,133222000,-1957092000,2008045000,184175000,737327000,52482000,37.11,44.15,30.07,0.0596,0.0077,34.21,1.08,20.39,14.78,0.1388,0.0772,0.1095,0.1726,0.04,0.4,None
2016-09-30,203718022,203718022,1,61038860000,None,53359553000,None,7679307000,0,709601000,1024458000,570385000,614074000,127263000,116895000,0.57,0.57,0.08,228279000,-1456540000,1221151000,-7110000,553152000,51307000,27.19,31.35,23.02,0.0547,0.0072,34.21,0.81,16.38,14.7,0.1419,0.0818,0.1142,0.1596,0.04,0.87,None
2016-06-30,205110866,205110866,1,59642992000,None,52016609000,None,7626383000,0,709601000,1026410000,698712000,590566000,113949000,90647000,0.44,0.44,0.06,11804000,-158745000,189400000,42459000,560262000,51859000,26.3,29.46,23.14,0.0506,0.0069,33.72,0.79,21.74,14.62,0.1437,0.101,0.116,0.1493,0.04,-0.2,None
2016-03-31,204623502,204623502,1,59179913000,None,51554176000,None,7625737000,0,828490000,1028388000,802448000,569603000,90437000,78777000,0.38,0.38,0.06,222762000,136123000,-639401000,-280516000,517803000,40015000,23.28,26.91,19.65,0.0376,0.0052,33.22,0.71,19.4,14.56,0.1961,0.1181,0.1149,0.1178,0.04,0.89,None
2015-12-31,204506825,204506825,1,59669525000,None,52162006000,None,7507519000,0,828490000,1030401000,0,572897000,102487000,88197000,0.43,0.43,0.06,148799000,-1156289000,1203115000,195625000,798319000,51246000,28.7,31.18,26.22,0.0375,0.0053,32.66,0.88,26.09,14.5,0.1821,0,0.1119,0.1179,0.04,0.48,None
2015-09-30,204294516,204294516,1,58410927000,None,50772832000,None,7638095000,0,1004159000,1032675000,0,556190000,100999000,84238000,0.41,0.41,0.06,212522000,-271230000,-96836000,-155544000,602694000,38747000,29.42,32.42,26.42,0.0347,0.005,32.47,0.92,27.24,14.44,0.181,0,0.1136,0.1083,0.04,0.85,None
2015-06-30,204170220,204170220,1,58365459000,None,50835284000,None,7530175000,0,1004032000,1034972000,0,424125000,13960000,-1100000,-0.01,-0.01,0.06,85031000,-810035000,762384000,37380000,758238000,33835000,29.62,33.03,26.2,0.0343,0.005,31.96,0.93,17.95,14.38,0.1664,0,0.1118,0.107,0.04,0.25,None
2015-03-31,203209100,203209100,1,57555931000,None,50101633000,None,7454298000,0,1004032000,1037291000,0,539168000,92025000,75279000,0.37,0.37,0.04,88817000,-413164000,203263000,-121084000,720858000,33533000,26.22,28.72,23.72,0.0525,0.0069,31.74,0.84,15.51,14.32,0.0998,0,0.1121,0.1499,0.04,0.27,None
2014-12-31,203193271,203193271,1,57208874000,None,49839344000,None,7369530000,0,1004011000,1039649000,0,559826000,81814000,66761000,0.33,0.33,0.04,116875000,-1444275000,1584614000,257214000,845905000,36915000,27.48,29.93,25.02,0.0545,0.0071,31.33,0.88,26.42,14.28,0.0972,0,0.1113,0.1492,0.04,0.39,None
2014-09-30,202932251,202932251,1,55458870000,None,48136711000,None,7322159000,0,1004006000,1042289000,0,532890000,95888000,79127000,0.39,0.39,0.04,198248000,-1147836000,154148000,-795440000,588691000,26153000,29.16,30.89,27.44,0.0348,0.0049,31.13,1.04,16.38,14.24,0.1548,0,0.1139,0.0987,0.04,0.85,None
2014-06-30,202782493,202782493,1,55111275000,None,48411185000,None,6700090000,0,1004006000,1044955000,0,541133000,119550000,104490000,0.56,0.56,0.04,12426000,1175652000,-1145266000,42812000,1384131000,35815000,29.76,31.87,27.65,0.06,0.0052,28.09,0.99,19.71,14.2,0.0915,0,0.1034,0.1627,0.04,-0.12,None
2014-03-31,184895233,184895233,1,56080844000,None,49494628000,None,6586216000,0,1003970000,1047691000,0,554784000,101210000,76190000,0.41,0.41,0.04,126558000,75902000,-36224000,166236000,1341319000,76916000,30.57,33.33,27.82,0.0524,0.0046,30.19,1.03,19.35,14.16,0.1049,0,0.0995,0.1375,0.04,0.27,None
2013-12-31,184870116,184870116,1,56031127000,None,49566564000,None,6464563000,0,1003970000,1050573000,0,400885000,-41472000,-59437000,-0.32,-0.32,0.04,82733000,-882955000,610223000,-189999000,1175083000,25142000,28.51,30.13,26.89,0.0561,0.0048,29.54,0.99,13.58,14.12,0.0816,0,0.0975,0.1446,0.04,0.31,None
2013-09-30,184615234,184615234,1,55188312000,None,48855503000,None,6332809000,0,1003970000,1053796000,0,537711000,111514000,209707000,1.12,1.13,0.04,272473000,-240842000,150354000,181985000,1365082000,20905000,29.09,31.4,26.79,0.0761,0.0066,28.86,1.05,22.38,14.08,0.0474,0,0.0966,0.1838,0.04,1.36,None
2013-06-30,184522379,184522379,1,54904540000,None,48044208000,None,6860332000,0,1728659000,1057368000,0,555805000,83026000,55385000,0.3,0.29,0.04,311094000,-669046000,612232000,254280000,1183097000,26733000,26.26,29.41,23.1,0.0486,0.0067,27.81,0.96,20.05,14.04,0.0534,0,0.0935,0.1128,0.04,1.54,None
2013-03-31,184249786,184249786,1,54110564000,None,47759911000,None,6355405000,-4752000,1301289000,1061129000,0,539334000,110723000,88324000,0.48,0.48,0.01,210266000,399683000,-1523039000,-913090000,928817000,15800000,23.71,25.86,21.56,0.0496,0.0069,27.43,0.89,24.44,14,0.0305,0,0.0934,0.1127,0.04,1.06,None
2012-12-31,184188095,184188095,1,55511918000,None,49463277000,None,6052069000,-3428000,1128302000,1064947000,0,484116000,58252000,35605000,0.2,0.2,0.01,163259000,-1591029000,2208759000,780989000,1841907000,20932000,20.84,22.66,19.03,0.0375,0.0065,26.73,0.8,20.63,13.99,0.0412,0,0.0887,0.083,0.04,0.77,None
2012-09-30,184169076,184169076,1,53087001000,None,47168746000,None,5921117000,-2862000,1123377000,1070163000,0,563387000,109851000,62322000,0.33,0.33,0.01,93566000,313824000,-471145000,-63755000,1060918000,15145000,19.63,21.68,17.58,0.04,0.0072,26.05,0.77,19.06,13.98,0.0393,0,0.0904,0.0841,0.04,0.43,None
2012-06-30,184148177,184148177,1,53407012000,None,46917649000,None,6491971000,-2608000,1800473000,1074406000,0,555009000,91737000,55215000,0.3,0.3,0.01,260707000,-567889000,349669000,42487000,1124673000,17655000,19.5,21.55,17.45,0.0411,0.0072,25.48,0.77,21.91,13.97,0.0387,0,0.0878,0.0843,0.04,1.32,None
2012-03-31,184197207,184197207,1,52896307000,None,46509529000,None,6389113000,-2335000,1737633000,1078667000,0,549298000,89676000,25489000,0.14,0.14,0.01,248095000,-63880000,-326379000,-142164000,1082186000,15162000,19.6,22.81,16.4,0.0357,0.0069,25.25,0.78,23.61,13.96,0.0449,0,0.0879,0.0731,0.04,1.26,None
2011-12-31,184150142,184150142,1,53149109000,None,46165881000,None,6985308000,-2080000,2377560000,1082959000,0,560212000,89019000,44420000,0.24,0.24,0.01,265716000,-1604309000,1460175000,121582000,1224350000,15440000,15.85,18.51,13.18,0.0334,0.0063,25.02,0.64,None,13.95,0.048,0,0.0867,0.068,0.04,1.36,None
2011-09-30,184290334,184290334,1,51531320000,None,44612403000,None,6920766000,-1849000,2354523000,1087700000,0,591637000,109093000,65165000,0.35,0.35,0.01,215904000,-260786000,112622000,67740000,1102768000,22749000,19.39,24.71,14.07,-0.0003,0.0032,24.78,0.78,None,13.94,None,0,0.0886,None,0.04,1.05,None
2011-06-30,184304666,184304666,1,51361414000,None,44448323000,None,6914593000,-1502000,2329370000,1092507000,0,544521000,72875000,29038000,0.16,0.16,0.01,346226000,-655844000,395506000,85888000,1035028000,19295000,23.14,24.92,21.36,-0.032,0.0001,24.88,0.93,None,13.93,None,0,0.0893,None,0.04,1.77,None
2011-03-31,183824938,183824938,1,50807708000,None,44063121000,None,6745852000,-1265000,2162399000,1097360000,0,557999000,52817000,14767000,0.08,0.08,0.01,269221000,28495000,-272702000,25014000,949140000,20185000,23.84,25.6,22.08,-0.0676,-0.0034,24.93,0.95,None,13.92,None,0,0.0902,None,0.04,1.35,None
2010-12-31,183017092,183017092,1,51034886000,None,44387672000,None,6648279000,-1065000,2056672000,1103059000,0,520107000,-72200000,-110287000,-0.61,-0.61,0.01,331065000,-502978000,35393000,-136520000,924126000,20572000,21.71,24.58,18.84,-0.091,-0.0057,25.09,0.84,None,13.91,None,0,0.09,None,0.04,1.7,None
2010-09-30,177957790,177957790,1,51047776000,None,44553185000,None,6495432000,-841000,1875463000,1109289000,0,562075000,-47325000,-80469000,-0.47,-0.47,0.01,372628000,753047000,-1133784000,-8109000,1060646000,25636000,21.15,24.39,17.91,-0.108,-0.0078,25.96,0.79,None,13.9,None,0,0.0905,None,0.04,1.95,None
2010-06-30,173340649,173340649,1,52147295000,None,45726193000,None,6421842000,-740000,1806877000,1115586000,0,522759000,-110066000,-135228000,-0.84,-0.84,0.01,88013000,-528833000,464184000,23364000,1068755000,17038000,25.75,30.29,21.22,-0.1345,-0.0098,26.62,0.96,None,13.89,None,0,0.0885,None,0.05,0.41,None
2010-03-31,160261186,160261186,1,51712981000,None,45856069000,None,5842206000,14706000,1532323000,1015161000,0,562910000,-63137000,-86521000,-0.57,-0.57,0.01,669288000,-1646933000,652847000,-324798000,1045391000,15825000,18.37,23.85,12.88,-0.111,-0.0087,26.89,0.66,None,13.88,None,0,0.0833,None,0.06,4.08,None
2009-12-31,150401679,150401679,1,51123007000,None,45412750000,None,5692658000,17599000,1502784000,1015161000,0,522776000,-181130000,-176482000,-1.25,-1.25,0.01,331819000,2025251000,-1979821000,377249000,1370189000,31175000,15.77,19.03,12.5,-0.2986,-0.023,27.86,0.53,None,13.87,None,0,0.082,None,0.05,2,None
2009-09-30,138209896,138209896,1,53298150000,None,47603909000,None,5672708000,21533000,1529462000,1017385000,0,742920000,-157671000,-181880000,-1.43,-1.43,0.01,360391000,263610000,-860266000,-236265000,992940000,14489000,15.3,20.36,10.25,-0.3604,-0.0281,29.98,0.46,None,13.86,None,0,0.0777,None,0.05,2.5,None
2009-06-30,126435577,126435577,1,52767954000,None,47013259000,None,5730674000,24021000,1491730000,1017385000,0,1106424000,-50729000,-23758000,-0.21,-0.21,0.04,211190000,998581000,-1302538000,-92767000,1229205000,20408000,14.93,20.97,8.88,-0.2869,-0.0244,33.53,0.43,None,13.85,None,0,0.0803,None,0.05,1.51,None
