Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,47.125,45.0625,47.125,45.25,571400.0,29.930416107177734
2000-01-04,44.5,43.3125,44.25,43.75,856900.0,28.93825912475586
2000-01-05,44.4375,42.4375,43.75,42.4375,797900.0,28.070110321044922
2000-01-06,43.0,42.25,42.5,42.8125,975700.0,28.31814193725586
2000-01-07,45.0,43.0,43.0,44.8125,1578200.0,29.641027450561523
2000-01-10,45.0625,44.0,45.0625,44.0625,395800.0,29.144960403442383
2000-01-11,44.625,43.625,43.875,44.375,703900.0,29.351655960083008
2000-01-12,44.625,43.3125,44.375,43.5625,708800.0,28.814226150512695
2000-01-13,44.0,42.5625,43.125,43.1875,924700.0,28.566194534301758
2000-01-14,44.0625,43.25,43.375,43.6875,746200.0,28.89691162109375
2000-01-18,43.3125,41.625,43.3125,41.8125,445700.0,27.656713485717773
2000-01-19,41.0625,40.25,40.25,40.5,1199100.0,26.788549423217773
2000-01-20,41.0,39.25,41.0,39.4375,955300.0,26.085773468017578
2000-01-21,39.6875,37.625,39.6875,37.9375,848000.0,25.093603134155273
2000-01-24,39.0,38.0,38.0,38.6875,1336500.0,25.589677810668945
2000-01-25,39.1875,37.75,38.6875,38.0625,753100.0,25.176267623901367
2000-01-26,39.3125,37.25,38.0,39.0,696100.0,25.796390533447266
2000-01-27,39.5625,38.3125,39.0,39.0625,750100.0,25.837726593017578
2000-01-28,39.375,36.875,39.375,37.3125,1286100.0,24.680198669433594
2000-01-31,38.5,36.8125,37.375,38.125,1228300.0,25.217620849609375
2000-02-01,39.0625,37.5,38.125,38.8125,577700.0,25.672372817993164
2000-02-02,39.8125,38.4375,38.8125,39.5625,607500.0,26.168453216552734
2000-02-03,41.25,39.0,39.0625,40.75,1342000.0,26.953908920288086
2000-02-04,41.9375,40.25,40.375,41.875,1006000.0,27.69804573059082
2000-02-07,40.5625,39.125,40.375,39.9375,1282700.0,26.416494369506836
2000-02-08,40.0,37.4375,39.6875,37.5,641000.0,24.80422019958496
2000-02-09,37.75,35.125,37.75,35.375,1569900.0,23.398649215698242
2000-02-10,35.3125,34.0625,35.25,34.625,1235200.0,22.90256690979004
2000-02-11,34.9375,34.3125,34.875,34.625,1579400.0,22.90256690979004
2000-02-14,34.75,33.5,34.625,33.75,972800.0,22.32379722595215
2000-02-15,36.0,33.75,34.0,35.3125,1618800.0,23.357301712036133
2000-02-16,35.25,33.25,35.25,34.0,1108200.0,22.489166259765625
2000-02-17,34.5,32.8125,34.375,34.0,1123400.0,22.489166259765625
2000-02-18,34.0,32.5625,34.0,33.0625,830300.0,21.869047164916992
2000-02-22,33.625,32.6875,33.0,33.0,1175100.0,21.82771110534668
2000-02-23,33.25,32.5,33.25,32.6875,658200.0,21.621007919311523
2000-02-24,33.25,32.1875,33.25,32.5,1347800.0,21.496990203857422
2000-02-25,32.875,30.9375,32.625,31.0,716600.0,20.504823684692383
2000-02-28,31.8125,30.875,31.25,31.0,684000.0,20.66480827331543
2000-02-29,31.375,30.9375,31.0,31.25,700400.0,20.831457138061523
2000-03-01,31.875,30.875,31.25,31.125,942400.0,20.74812889099121
2000-03-02,31.0,29.625,31.0,30.625,827500.0,20.414827346801758
2000-03-03,31.0625,30.125,30.75,31.0,898900.0,20.66480827331543
2000-03-06,31.0625,30.125,31.0,31.0,1069600.0,20.66480827331543
2000-03-07,31.0,29.625,31.0,30.0,1316300.0,19.99818992614746
2000-03-08,30.0625,29.375,29.8125,29.375,725500.0,19.581571578979492
2000-03-09,30.375,29.5625,29.75,30.125,706000.0,20.081525802612305
2000-03-10,32.0,30.25,32.0,30.375,1058800.0,20.24818229675293
2000-03-13,30.375,29.375,30.375,29.5,711100.0,19.664892196655273
2000-03-14,30.25,29.4375,29.5,30.0,604200.0,19.99818992614746
2000-03-15,33.6875,30.875,31.0,33.375,1356300.0,22.247995376586914
