Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,10.59375,10.0625,10.59375,10.3125,1145000.0,5.227761745452881
2000-01-04,10.375,9.90625,10.0625,10.0,1927200.0,5.069345474243164
2000-01-05,10.21875,9.875,10.0625,10.0,1285600.0,5.069345474243164
2000-01-06,10.8125,10.0,10.0625,10.59375,577000.0,5.370340347290039
2000-01-07,11.21875,10.6875,10.90625,10.84375,563800.0,5.497068881988525
2000-01-10,10.90625,10.4375,10.84375,10.8125,499400.0,5.481228828430176
2000-01-11,11.1875,10.625,10.9375,11.125,780600.0,5.639645099639893
2000-01-12,11.375,11.0,11.125,11.0,650400.0,5.576279163360596
2000-01-13,11.59375,11.0,11.0,11.25,739400.0,5.703012466430664
2000-01-14,11.9375,11.1875,11.25,11.6875,754400.0,5.924798011779785
2000-01-18,12.03125,11.5625,11.5625,11.6875,906600.0,5.924798011779785
2000-01-19,12.375,11.21875,11.25,12.125,812800.0,6.146581649780273
2000-01-20,11.9375,11.25,11.9375,11.34375,621400.0,5.750538349151611
2000-01-21,12.125,11.46875,11.46875,11.8125,591600.0,5.988165855407715
2000-01-24,12.03125,11.4375,11.78125,11.625,671800.0,5.893115520477295
2000-01-25,11.96875,11.46875,11.625,11.6875,707400.0,5.924798011779785
2000-01-26,12.25,11.5625,11.5625,11.75,1347000.0,5.956480979919434
2000-01-27,12.125,11.375,11.84375,11.46875,836000.0,5.813905715942383
2000-01-28,11.78125,11.25,11.53125,11.3125,503200.0,5.734696388244629
2000-01-31,11.78125,11.25,11.34375,11.75,571800.0,5.956480979919434
2000-02-01,12.0,11.5625,11.6875,12.0,291600.0,6.083212852478027
2000-02-02,12.25,11.59375,11.6875,11.625,640200.0,5.893115520477295
2000-02-03,12.03125,11.53125,11.71875,11.75,570800.0,5.956480979919434
2000-02-04,12.0,11.65625,11.75,11.78125,312000.0,5.972321033477783
2000-02-07,12.375,11.65625,11.65625,12.3125,436800.0,6.241632461547852
2000-02-08,12.4375,11.75,12.4375,11.9375,583000.0,6.051530838012695
2000-02-09,11.9375,11.5,11.9375,11.5,742800.0,5.829745769500732
2000-02-10,12.125,11.5625,11.5625,12.03125,485200.0,6.099057674407959
2000-02-11,12.1875,11.84375,11.9375,11.90625,521800.0,6.0532989501953125
2000-02-14,12.5,11.65625,12.0,12.375,987800.0,6.2916178703308105
