Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,5.140625,5.078125,5.09375,5.125,1007600.0,3.0216312408447266
2000-01-04,5.109375,5.078125,5.09375,5.078125,1453600.0,2.993994951248169
2000-01-05,5.09375,5.0,5.078125,5.046875,2352800.0,2.9755711555480957
2000-01-06,5.09375,5.015625,5.015625,5.078125,1042400.0,2.993994951248169
2000-01-07,5.15625,5.0,5.0625,5.078125,13342400.0,2.993994951248169
2000-01-10,5.171875,4.96875,5.0,5.0625,3460000.0,2.9847826957702637
2000-01-11,5.3125,5.0625,5.0625,5.28125,2286400.0,3.1137564182281494
2000-01-12,5.484375,5.265625,5.28125,5.453125,2401200.0,3.215090751647949
2000-01-13,5.484375,5.390625,5.390625,5.4375,1471200.0,3.205878973007202
2000-01-14,5.4375,5.3125,5.421875,5.421875,904000.0,3.1966662406921387
2000-01-18,5.40625,5.296875,5.359375,5.375,1301200.0,3.1690289974212646
2000-01-19,5.359375,5.3125,5.34375,5.359375,780800.0,3.1598167419433594
2000-01-20,5.640625,5.34375,5.359375,5.609375,4039600.0,3.3072123527526855
2000-01-21,5.8125,5.4375,5.640625,5.484375,1690000.0,3.2335143089294434
2000-01-24,5.5625,5.25,5.4375,5.25,1926000.0,3.0953307151794434
2000-01-25,5.359375,5.109375,5.265625,5.140625,690800.0,3.030843734741211
2000-01-26,5.1875,5.0625,5.15625,5.09375,768400.0,3.003208637237549
2000-01-27,5.171875,5.015625,5.15625,5.078125,640000.0,2.993994951248169
2000-01-28,5.0625,4.9375,5.0625,4.953125,687200.0,2.920297145843506
2000-01-31,5.125,4.921875,4.953125,4.921875,1022400.0,2.9018731117248535
2000-02-01,5.171875,4.9375,4.9375,5.109375,487600.0,3.0124189853668213
2000-02-02,5.3125,5.046875,5.0625,5.15625,1092000.0,3.040057420730591
2000-02-03,5.265625,5.0,5.21875,5.078125,865200.0,2.993994951248169
2000-02-04,5.140625,4.96875,5.109375,5.0,482800.0,2.9479331970214844
2000-02-07,5.03125,4.921875,5.015625,4.921875,444000.0,2.9018731117248535
2000-02-08,5.0625,4.859375,4.921875,4.859375,1228800.0,2.8650248050689697
2000-02-09,4.984375,4.828125,4.859375,4.828125,907600.0,2.8465991020202637
2000-02-10,4.921875,4.71875,4.84375,4.734375,717600.0,2.791325807571411
2000-02-11,5.0,4.75,4.78125,4.84375,730000.0,2.855811834335327
2000-02-14,4.921875,4.765625,4.765625,4.84375,670400.0,2.855811834335327
2000-02-15,4.890625,4.75,4.828125,4.75,974800.0,2.8005356788635254
2000-02-16,4.75,4.625,4.75,4.640625,782800.0,2.736051321029663
2000-02-17,4.796875,4.625,4.640625,4.734375,608400.0,2.791325807571411
2000-02-18,4.71875,4.515625,4.71875,4.53125,1191200.0,2.671565532684326
2000-02-22,4.59375,4.4375,4.515625,4.4375,993600.0,2.61629056930542
2000-02-23,4.5,4.4375,4.5,4.484375,715600.0,2.6439287662506104
2000-02-24,4.484375,4.359375,4.453125,4.453125,572000.0,2.6255030632019043
2000-02-25,4.53125,4.40625,4.421875,4.4375,753600.0,2.61629056930542
2000-02-28,4.4375,4.359375,4.375,4.359375,2339600.0,2.570230484008789
2000-02-29,4.515625,4.390625,4.421875,4.453125,2493200.0,2.6255030632019043
2000-03-01,4.484375,4.375,4.40625,4.421875,496800.0,2.607079029083252
2000-03-02,4.53125,4.421875,4.421875,4.515625,1041200.0,2.662353038787842
2000-03-03,4.671875,4.46875,4.515625,4.640625,1879200.0,2.736051321029663
2000-03-06,4.703125,4.5,4.625,4.546875,840000.0,2.6807780265808105
2000-03-07,4.78125,4.53125,4.53125,4.640625,1012000.0,2.736051321029663
2000-03-08,4.671875,4.53125,4.625,4.671875,882800.0,2.7544760704040527
2000-03-09,4.796875,4.625,4.6875,4.65625,755200.0,2.745264768600464
2000-03-10,4.859375,4.65625,4.71875,4.84375,720000.0,2.855811834335327
2000-03-13,4.859375,4.671875,4.859375,4.671875,641200.0,2.7544760704040527
2000-03-14,4.765625,4.6875,4.6875,4.75,506000.0,2.8005356788635254
2000-03-15,4.8125,4.734375,4.734375,4.78125,1498000.0,2.818962574005127
2000-03-16,4.9375,4.765625,4.78125,4.90625,847200.0,2.8926608562469482
2000-03-17,5.03125,4.78125,4.78125,5.03125,897200.0,2.966357707977295
2000-03-20,4.984375,4.90625,4.96875,4.9375,757600.0,2.9110841751098633
2000-03-21,4.9375,4.8125,4.9375,4.875,407200.0,2.874237298965454
2000-03-22,4.921875,4.75,4.875,4.90625,10311200.0,2.8926608562469482
2000-03-23,5.03125,4.859375,4.859375,4.9375,974400.0,2.9110841751098633
2000-03-24,5.046875,4.875,4.90625,4.953125,729600.0,2.920297145843506
2000-03-27,4.96875,4.859375,4.9375,4.90625,440000.0,2.8926608562469482
2000-03-28,4.875,4.75,4.75,4.84375,692800.0,2.855811834335327
2000-03-29,4.890625,4.65625,4.84375,4.75,778800.0,2.8005356788635254
2000-03-30,5.0,4.8125,4.8125,4.875,1437600.0,2.874237298965454
2000-03-31,5.421875,4.9375,4.9375,5.421875,2524000.0,3.1966662406921387
2000-04-03,5.359375,5.15625,5.359375,5.28125,969600.0,3.1137564182281494
2000-04-04,5.34375,4.9375,5.28125,5.0625,1719600.0,2.9847826957702637
2000-04-05,5.609375,5.125,5.1875,5.5625,1645600.0,3.279576063156128
2000-04-06,5.8125,5.4375,5.5,5.71875,1303200.0,3.3717007637023926
2000-04-07,5.96875,5.65625,5.75,5.96875,1148000.0,3.5190963745117188
2000-04-10,5.90625,5.703125,5.90625,5.78125,1247200.0,3.4085488319396973
2000-04-11,5.8125,5.6875,5.71875,5.765625,506400.0,3.3993356227874756
2000-04-12,5.96875,5.625,5.78125,5.765625,851600.0,3.3993356227874756
2000-04-13,5.828125,5.53125,5.828125,5.59375,478800.0,3.2980000972747803
2000-04-14,5.65625,5.40625,5.65625,5.5,2098400.0,3.2427279949188232
2000-04-17,5.609375,5.25,5.40625,5.609375,871600.0,3.3072123527526855
2000-04-18,5.90625,5.546875,5.609375,5.90625,907200.0,3.4822463989257812
2000-04-19,6.15625,5.71875,5.828125,6.140625,1764400.0,3.6204309463500977
2000-04-20,6.65625,6.25,6.25,6.5625,5909200.0,3.869163990020752
2000-04-24,6.46875,6.125,6.4375,6.203125,1239600.0,3.6572799682617188
2000-04-25,6.359375,6.25,6.25,6.3125,1804800.0,3.7217655181884766
2000-04-26,6.375,6.25,6.28125,6.25,1270400.0,3.6849188804626465
2000-04-27,6.296875,6.015625,6.296875,6.046875,708000.0,3.565156936645508
2000-04-28,6.1875,6.0625,6.0625,6.09375,1342400.0,3.5927963256835938
2000-05-01,6.3125,6.140625,6.1875,6.296875,1129200.0,3.7125556468963623
2000-05-02,6.34375,6.203125,6.21875,6.25,1021600.0,3.6849188804626465
2000-05-03,6.296875,6.125,6.1875,6.1875,709200.0,3.648068428039551
2000-05-04,6.5,6.21875,6.25,6.453125,986400.0,3.804677724838257
2000-05-05,6.421875,6.21875,6.40625,6.28125,1157200.0,3.703341484069824
2000-05-08,6.375,6.265625,6.265625,6.3125,722000.0,3.7217655181884766
2000-05-09,6.515625,6.25,6.25,6.5,1834400.0,3.832315683364868
2000-05-10,6.5,6.40625,6.4375,6.453125,1970800.0,3.804677724838257
2000-05-11,6.546875,6.390625,6.390625,6.515625,1844400.0,3.8415260314941406
2000-05-12,6.921875,6.5,6.53125,6.90625,2123200.0,4.071835517883301
2000-05-15,7.046875,6.84375,6.9375,6.90625,3281600.0,4.071835517883301
2000-05-16,6.953125,6.71875,6.90625,6.859375,3118800.0,4.044196128845215
2000-05-17,6.890625,6.34375,6.8125,6.4375,2344800.0,3.795464277267456
2000-05-18,6.875,6.5625,6.5625,6.796875,2815200.0,4.007349491119385
2000-05-19,6.9375,6.6875,6.8125,6.875,7212400.0,4.053409099578857
2000-05-22,6.859375,6.59375,6.84375,6.671875,485600.0,3.9336485862731934
2000-05-23,6.8125,6.625,6.671875,6.703125,996800.0,3.9520745277404785
2000-05-24,6.734375,6.625,6.6875,6.625,618400.0,3.9060111045837402
2000-05-25,6.921875,6.625,6.65625,6.78125,839600.0,3.9981348514556885
2000-05-26,6.890625,6.78125,6.78125,6.859375,2360400.0,4.044196128845215
2000-05-30,7.109375,6.90625,6.90625,6.90625,2498000.0,4.071835517883301
2000-05-31,7.0,6.78125,6.921875,6.78125,1023600.0,3.9981348514556885
2000-06-01,7.046875,6.71875,6.84375,6.96875,2939200.0,4.108684062957764
2000-06-02,7.015625,6.953125,7.015625,6.96875,1921600.0,4.108684062957764
2000-06-05,7.03125,6.9375,7.015625,6.96875,1367200.0,4.108684062957764
2000-06-06,6.984375,6.90625,6.96875,6.9375,956400.0,4.09025764465332
2000-06-07,7.046875,6.875,7.0,6.90625,1268400.0,4.071835517883301
2000-06-08,6.9375,6.84375,6.890625,6.859375,1386400.0,4.044196128845215
2000-06-09,6.96875,6.828125,6.84375,6.921875,1796400.0,4.0810465812683105
2000-06-12,6.96875,6.875,6.921875,6.953125,1270800.0,4.099471092224121
2000-06-13,6.96875,6.875,6.90625,6.890625,1078400.0,4.062620162963867
2000-06-14,7.0,6.890625,6.890625,6.96875,690000.0,4.108684062957764
2000-06-15,7.03125,6.921875,6.96875,6.96875,562000.0,4.108684062957764
2000-06-16,7.046875,6.921875,6.9375,6.9375,994000.0,4.09025764465332
2000-06-19,7.015625,6.875,6.90625,7.0,609200.0,4.127107620239258
2000-06-20,7.015625,6.953125,7.0,7.0,839200.0,4.127107620239258
2000-06-21,7.234375,6.953125,6.984375,7.140625,1290400.0,4.210018157958984
2000-06-22,7.09375,6.890625,7.078125,6.953125,769600.0,4.099471092224121
2000-06-23,6.921875,6.78125,6.90625,6.875,1128000.0,4.053409099578857
2000-06-26,7.078125,6.84375,6.84375,7.046875,985200.0,4.154744625091553
2000-06-27,7.21875,6.9375,7.03125,6.96875,669600.0,4.108684062957764
2000-06-28,7.171875,6.96875,6.96875,7.0625,599200.0,4.1639556884765625
2000-06-29,7.125,6.9375,7.03125,7.078125,855600.0,4.173169136047363
2000-06-30,7.0625,6.5625,7.046875,6.625,2744800.0,3.9060111045837402
2000-07-03,6.859375,6.640625,6.6875,6.84375,656800.0,4.0349860191345215
2000-07-05,6.921875,6.65625,6.78125,6.828125,1054800.0,4.025773525238037
2000-07-06,6.78125,6.6875,6.6875,6.71875,682400.0,3.9612855911254883
2000-07-07,6.8125,6.71875,6.71875,6.71875,580400.0,3.9612855911254883
2000-07-10,6.984375,6.71875,6.71875,6.828125,603600.0,4.025773525238037
2000-07-11,6.921875,6.765625,6.890625,6.796875,1067200.0,4.007349491119385
2000-07-12,6.859375,6.765625,6.828125,6.78125,558400.0,3.9981348514556885
2000-07-13,6.859375,6.734375,6.8125,6.734375,940800.0,3.9704999923706055
2000-07-14,6.96875,6.71875,6.75,6.859375,705600.0,4.044196128845215
2000-07-17,7.125,6.90625,6.90625,7.03125,1719600.0,4.145533084869385
2000-07-18,7.0625,6.859375,7.015625,6.875,748400.0,4.053409099578857
2000-07-19,7.0,6.84375,6.84375,7.0,516400.0,4.127107620239258
2000-07-20,7.3125,6.859375,7.0,7.1875,2022800.0,4.237654685974121
2000-07-21,7.3125,7.09375,7.125,7.21875,1454000.0,4.256079196929932
2000-07-24,7.375,7.265625,7.28125,7.3515625,738400.0,4.334384918212891
2000-07-25,7.375,7.15625,7.34375,7.375,1058800.0,4.348203182220459
2000-07-26,7.53125,7.296875,7.375,7.53125,2105600.0,4.44032621383667
2000-07-27,7.546875,7.421875,7.515625,7.4375,1245600.0,4.3850507736206055
2000-07-28,7.578125,7.453125,7.5,7.453125,1328800.0,4.394261837005615
2000-07-31,7.515625,7.375,7.4375,7.421875,827200.0,4.375838756561279
2000-08-01,7.4375,7.328125,7.375,7.4375,664000.0,4.3850507736206055
2000-08-02,7.515625,7.390625,7.40625,7.421875,1144800.0,4.375838756561279
2000-08-03,7.453125,7.1875,7.453125,7.390625,1048000.0,4.357414722442627
2000-08-04,7.390625,7.25,7.34375,7.3125,973200.0,4.311355113983154
2000-08-07,7.46875,7.3125,7.375,7.390625,1029600.0,4.357414722442627
2000-08-08,7.4375,7.28125,7.28125,7.421875,612800.0,4.375838756561279
2000-08-09,7.53125,7.40625,7.4375,7.484375,892400.0,4.412687301635742
2000-08-10,7.53125,7.28125,7.5,7.328125,7291600.0,4.320566654205322
2000-08-11,7.40625,7.25,7.328125,7.359375,494400.0,4.338992118835449
2000-08-14,7.46875,7.375,7.421875,7.46875,636000.0,4.403476238250732
2000-08-15,7.453125,7.28125,7.453125,7.328125,766800.0,4.320566654205322
2000-08-16,7.4375,7.265625,7.3125,7.40625,556000.0,4.3666276931762695
2000-08-17,7.5,7.4375,7.4375,7.5,1213600.0,4.421899795532227
2000-08-18,7.5,7.4375,7.5,7.484375,270800.0,4.412687301635742
2000-08-21,7.484375,7.3125,7.484375,7.390625,472800.0,4.357414722442627
2000-08-22,7.46875,7.359375,7.390625,7.453125,614000.0,4.394261837005615
2000-08-23,7.40625,7.125,7.390625,7.15625,1066400.0,4.219228744506836
2000-08-24,7.359375,7.140625,7.140625,7.3125,510000.0,4.311355113983154
2000-08-25,7.359375,7.28125,7.359375,7.328125,300000.0,4.320566654205322
2000-08-28,7.3125,7.234375,7.28125,7.234375,372000.0,4.265291213989258
2000-08-29,7.3125,7.0625,7.25,7.3125,576800.0,4.311355113983154
2000-08-30,7.3125,7.125,7.3125,7.1875,254000.0,4.237654685974121
2000-08-31,7.28125,7.125,7.15625,7.25,736800.0,4.274503707885742
2000-09-01,7.265625,7.15625,7.25,7.25,1102000.0,4.274503707885742
2000-09-05,7.359375,7.09375,7.25,7.296875,970800.0,4.302141189575195
2000-09-06,7.46875,7.296875,7.3125,7.40625,1219600.0,4.3666276931762695
2000-09-07,7.703125,7.40625,7.484375,7.640625,9716800.0,4.5048112869262695
2000-09-08,7.8125,7.59375,7.671875,7.609375,2171600.0,4.486387252807617
2000-09-11,7.625,7.515625,7.625,7.578125,2492000.0,4.467962741851807
2000-09-12,7.828125,7.625,7.625,7.765625,3401200.0,4.57850980758667
2000-09-13,7.8125,7.6875,7.75,7.78125,969200.0,4.5877227783203125
2000-09-14,7.875,7.6875,7.765625,7.84375,2034800.0,4.624572277069092
2000-09-15,8.0,7.890625,7.90625,7.9375,2155600.0,4.679845809936523
2000-09-18,8.0625,7.671875,7.9375,7.6875,2373200.0,4.532449245452881
2000-09-19,7.75,7.578125,7.75,7.625,2135200.0,4.495598316192627
2000-09-20,7.625,7.46875,7.625,7.515625,1354800.0,4.4311137199401855
2000-09-21,7.609375,7.484375,7.515625,7.5,1256800.0,4.421899795532227
2000-09-22,7.640625,7.3125,7.5,7.609375,1747200.0,4.486387252807617
2000-09-25,7.859375,7.5,7.625,7.8125,1962400.0,4.606146335601807
2000-09-26,7.875,7.78125,7.8125,7.828125,1272800.0,4.615359306335449
2000-09-27,8.34375,7.890625,7.90625,8.171875,2728800.0,4.818029880523682
2000-09-28,8.90625,8.21875,8.21875,8.625,5825600.0,5.0851850509643555
2000-09-29,8.671875,8.40625,8.609375,8.40625,3438800.0,4.95621395111084
2000-10-02,8.46875,8.25,8.46875,8.25,1516000.0,4.86409330368042
2000-10-03,8.421875,8.203125,8.3125,8.203125,1609600.0,4.836454391479492
2000-10-04,8.34375,8.15625,8.3125,8.28125,1234400.0,4.882514953613281
2000-10-05,8.53125,8.3125,8.34375,8.4375,996000.0,4.974637985229492
2000-10-06,8.59375,8.28125,8.4375,8.34375,1175200.0,4.919366359710693
2000-10-09,8.75,8.359375,8.359375,8.609375,3513200.0,5.07597541809082
2000-10-10,8.96875,8.640625,8.96875,8.71875,8134400.0,5.140460968017578
2000-10-11,8.734375,8.296875,8.71875,8.3125,4953600.0,4.900939464569092
2000-10-12,8.484375,8.328125,8.375,8.390625,3464000.0,4.947001934051514
2000-10-13,8.46875,8.34375,8.40625,8.4375,3049200.0,4.974637985229492
2000-10-16,8.5,8.34375,8.5,8.5,2192400.0,5.0114874839782715
2000-10-17,8.9375,8.5,8.5,8.84375,3225200.0,5.214158058166504
2000-10-18,9.265625,8.671875,8.828125,9.203125,5079200.0,5.426041603088379
2000-10-19,9.375,9.0625,9.328125,9.109375,3257200.0,5.370768070220947
2000-10-20,9.3125,9.125,9.171875,9.234375,1706800.0,5.444462299346924
2000-10-23,9.484375,9.203125,9.234375,9.34375,1962000.0,5.5089521408081055
2000-10-24,9.5625,9.28125,9.296875,9.40625,2879200.0,5.54580020904541
2000-10-25,9.609375,9.25,9.34375,9.515625,2066800.0,5.610286235809326
2000-10-26,9.640625,9.390625,9.578125,9.4375,1256800.0,5.564224720001221
2000-10-27,9.5625,9.390625,9.484375,9.421875,1552800.0,5.5550127029418945
2000-10-30,9.484375,9.21875,9.4375,9.28125,2551200.0,5.472102642059326
2000-10-31,9.375,9.15625,9.25,9.15625,1572400.0,5.398402214050293
2000-11-01,9.09375,8.953125,8.984375,8.96875,2484400.0,5.287857532501221
2000-11-02,9.3125,9.078125,9.109375,9.140625,1422800.0,5.389190673828125
2000-11-03,9.25,9.078125,9.109375,9.21875,932000.0,5.435255527496338
2000-11-06,9.34375,9.1875,9.25,9.3125,1182800.0,5.490529537200928
2000-11-07,9.65625,9.15625,9.328125,9.640625,2646800.0,5.683986663818359
2000-11-08,10.078125,9.765625,9.8125,9.84375,4271200.0,5.803746223449707
2000-11-09,9.84375,9.5625,9.78125,9.625,1190800.0,5.674772262573242
