Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,21.375,20.0625,21.25,20.5625,361300.0,10.273669242858887
2000-01-04,20.3125,19.4375,20.3125,19.5,560900.0,9.742809295654297
2000-01-05,19.75,19.0,19.625,19.5,870300.0,9.742809295654297
2000-01-06,19.625,19.0625,19.3125,19.4375,776400.0,9.711581230163574
2000-01-07,19.75,19.0625,19.5,19.75,485400.0,9.867716789245605
2000-01-10,19.9375,19.0625,19.875,19.6875,435400.0,9.836490631103516
2000-01-11,20.1875,19.5,19.5,19.8125,402200.0,9.898947715759277
2000-01-12,19.875,19.1875,19.8125,19.1875,421100.0,9.58667278289795
2000-01-13,19.25,18.6875,19.1875,19.1875,472200.0,9.58667278289795
2000-01-14,19.4375,18.875,19.25,19.3125,341500.0,9.649129867553711
2000-01-18,19.3125,18.9375,19.125,19.3125,368600.0,9.649129867553711
2000-01-19,19.3125,18.9375,19.25,19.0,332300.0,9.492996215820312
2000-01-20,19.0625,18.375,18.9375,18.5,494300.0,9.243179321289062
2000-01-21,19.125,18.5,19.0,19.0625,661100.0,9.52421760559082
2000-01-24,19.3125,18.5,19.125,18.6875,293400.0,9.336859703063965
2000-01-25,18.6875,17.8125,18.5625,18.0625,467600.0,9.024590492248535
2000-01-26,18.4375,17.625,18.25,18.1875,528700.0,9.087041854858398
2000-01-27,18.5625,17.75,18.0,18.125,358100.0,9.055814743041992
2000-01-28,18.25,17.75,18.125,17.9375,355600.0,8.962133407592773
2000-01-31,18.0,17.5625,17.8125,18.0,498000.0,8.993364334106445
2000-02-01,18.5,17.375,17.875,18.25,699600.0,9.118267059326172
2000-02-02,18.0,17.5625,18.0,17.6875,467900.0,8.837228775024414
2000-02-03,18.5,17.6875,17.75,18.1875,595600.0,9.087041854858398
2000-02-04,18.375,17.5625,17.9375,17.625,582900.0,8.806002616882324
2000-02-07,17.625,17.0,17.5625,17.3125,520400.0,8.649868965148926
2000-02-08,17.75,17.25,17.5625,17.5,304400.0,8.743545532226562
2000-02-09,18.0,17.0625,17.25,17.3125,548700.0,8.649868965148926
2000-02-10,17.4375,16.9375,17.4375,17.0625,431800.0,8.524957656860352
2000-02-11,17.25,16.6875,16.9375,16.75,384500.0,8.368819236755371
2000-02-14,17.3125,16.6875,17.0,16.75,461900.0,8.368819236755371
2000-02-15,16.8125,16.3125,16.75,16.5,907300.0,8.243914604187012
2000-02-16,17.0,16.5625,16.5625,16.8125,443400.0,8.400053977966309
2000-02-17,17.0625,16.625,16.875,16.8125,312400.0,8.400053977966309
2000-02-18,16.8125,16.0625,16.5625,16.25,551900.0,8.119007110595703
2000-02-22,16.6875,16.1875,16.5,16.3125,335200.0,8.15023422241211
2000-02-23,16.4375,16.0,16.1875,16.3125,388700.0,8.200506210327148
2000-02-24,16.5625,16.0625,16.3125,16.0625,906800.0,8.0748291015625
2000-02-25,16.4375,15.9375,16.125,16.0625,694800.0,8.0748291015625
2000-02-28,16.3125,15.875,16.3125,16.0625,620400.0,8.0748291015625
