Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,59.25,57.0,59.0,57.0625,464200.0,53.62346649169922
2000-01-04,56.9375,54.1875,56.8125,54.75,457400.0,51.4503288269043
2000-01-05,55.5,53.5,55.0,54.0,555300.0,50.74554443359375
2000-01-06,54.5,53.5,53.5,54.125,312500.0,50.863014221191406
2000-01-07,54.125,53.0,53.875,53.875,421600.0,50.62807083129883
2000-01-10,54.25,52.625,54.25,53.6875,296800.0,50.451881408691406
2000-01-11,53.5,51.5625,53.5,52.1875,503600.0,49.04228591918945
2000-01-12,53.375,52.25,52.25,52.5625,361000.0,49.3946647644043
2000-01-13,53.75,51.6875,53.25,52.3125,680500.0,49.159751892089844
2000-01-14,52.625,49.125,52.125,51.125,1146800.0,48.04380798339844
2000-01-18,49.8125,48.0,49.5,48.25,585300.0,45.34208297729492
2000-01-19,48.8125,47.25,48.3125,47.5625,589000.0,44.69601058959961
2000-01-20,47.3125,44.1875,47.0,45.75,1062400.0,42.99275207519531
2000-01-21,45.125,41.5,44.75,44.4375,1139700.0,41.75934600830078
2000-01-24,45.625,44.25,45.5,44.4375,927800.0,41.75934600830078
2000-01-25,45.75,44.6875,44.875,45.0,692800.0,42.2879524230957
2000-01-26,45.8125,43.5625,45.1875,45.375,797000.0,42.640342712402344
2000-01-27,47.75,45.5625,45.5625,46.0,762100.0,43.227684020996094
2000-01-28,46.4375,45.125,45.75,45.5625,572000.0,42.81655502319336
2000-01-31,47.25,45.25,45.8125,46.5625,645200.0,43.75627899169922
2000-02-01,46.8125,45.5625,46.5625,46.1875,484300.0,43.40389633178711
2000-02-02,46.0,44.5625,45.75,45.4375,564400.0,42.6990852355957
2000-02-03,47.5,46.125,46.5,47.125,887100.0,44.284881591796875
2000-02-04,47.9375,46.8125,47.375,47.125,522400.0,44.284881591796875
2000-02-07,47.125,45.375,47.0625,45.5,504100.0,42.7578125
2000-02-08,46.375,44.8125,46.0625,45.3125,254500.0,42.58161926269531
2000-02-09,45.4375,43.8125,45.125,44.0,517700.0,41.348228454589844
