Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,9.25,9.0,9.1875,9.125,62600.0,5.848906517028809
2000-01-04,9.25,9.0,9.1875,9.0625,17800.0,5.80884313583374
2000-01-05,9.0625,8.875,9.0625,8.9375,19700.0,5.728720188140869
2000-01-06,8.9375,8.75,8.9375,8.8125,12600.0,5.6486005783081055
2000-01-07,9.0,8.75,8.9375,8.875,33300.0,5.688660621643066
2000-01-10,8.875,8.4375,8.4375,8.875,57700.0,5.688660621643066
2000-01-11,9.3125,8.875,8.9375,9.25,71200.0,5.929025173187256
2000-01-12,9.375,9.25,9.3125,9.3125,74100.0,5.96908712387085
2000-01-13,9.5,9.1875,9.3125,9.1875,65700.0,5.8889641761779785
2000-01-14,9.3125,9.1875,9.3125,9.25,48300.0,5.929025173187256
2000-01-18,9.25,9.0625,9.125,9.25,38300.0,5.929025173187256
2000-01-19,9.25,9.125,9.125,9.1875,70800.0,5.8889641761779785
2000-01-20,9.25,9.0625,9.1875,9.25,34800.0,5.929025173187256
2000-01-21,9.375,9.125,9.375,9.1875,52300.0,5.8889641761779785
2000-01-24,9.25,9.0625,9.125,9.125,39800.0,5.848906517028809
2000-01-25,9.125,8.625,9.125,8.625,37500.0,5.528412818908691
2000-01-26,8.875,8.25,8.625,8.25,131700.0,5.288049697875977
2000-01-27,8.5,8.25,8.25,8.5,22100.0,5.448296070098877
2000-01-28,8.5,8.3125,8.5,8.3125,84200.0,5.32811164855957
2000-01-31,8.4375,8.25,8.375,8.375,27500.0,5.368170261383057
2000-02-01,8.5,8.3125,8.5,8.4375,22900.0,5.408231258392334
2000-02-02,8.375,8.125,8.375,8.125,39300.0,5.207927703857422
2000-02-03,8.25,8.0,8.1875,8.25,27800.0,5.288049697875977
2000-02-04,8.25,8.125,8.25,8.25,16000.0,5.288049697875977
2000-02-07,8.25,8.0,8.25,8.1875,30600.0,5.247987747192383
2000-02-08,8.0625,7.875,8.0625,8.0625,166700.0,5.167867183685303
2000-02-09,9.25,8.0625,8.1875,8.6875,72700.0,5.568475246429443
2000-02-10,10.125,9.25,9.25,9.9375,103100.0,6.369696140289307
2000-02-11,9.875,9.625,9.8125,9.75,40300.0,6.249514102935791
2000-02-14,10.375,9.5,10.375,9.5,95900.0,6.0892720222473145
2000-02-15,10.0,9.5,9.5,9.9375,69100.0,6.369696140289307
2000-02-16,10.0625,9.6875,10.0625,9.6875,37100.0,6.209452152252197
2000-02-17,10.25,9.75,9.8125,10.125,60000.0,6.489879608154297
2000-02-18,10.375,9.875,10.25,10.0,34800.0,6.409758567810059
2000-02-22,10.25,9.875,10.25,9.875,64400.0,6.3296332359313965
2000-02-23,10.125,9.6875,10.125,9.75,33400.0,6.249514102935791
2000-02-24,9.75,9.5,9.75,9.625,39700.0,6.169393539428711
2000-02-25,9.875,9.625,9.875,9.625,24400.0,6.169393539428711
2000-02-28,9.625,9.0,9.625,9.125,62700.0,5.848906517028809
2000-02-29,9.1875,8.75,8.8125,8.9375,58400.0,5.728720188140869
2000-03-01,9.125,8.8125,8.875,8.9375,56800.0,5.728720188140869
2000-03-02,9.5,9.0,9.0625,9.25,56100.0,5.929025173187256
2000-03-03,9.5,9.25,9.375,9.4375,26900.0,6.04920768737793
2000-03-06,9.375,9.25,9.375,9.3125,23300.0,5.96908712387085
2000-03-07,9.625,9.0,9.625,9.0625,64900.0,5.80884313583374
2000-03-08,9.6875,9.1875,9.625,9.25,76300.0,5.929025173187256
2000-03-09,9.25,8.875,9.25,9.1875,42000.0,5.8889641761779785
2000-03-10,9.25,9.0,9.125,9.0625,26300.0,5.80884313583374
2000-03-13,9.1875,9.0,9.1875,9.0,8000.0,5.7687835693359375
2000-03-14,9.125,8.75,9.125,8.8125,32300.0,5.6486005783081055
2000-03-15,9.125,8.5,9.125,8.5,69700.0,5.448296070098877
2000-03-16,9.0,8.8125,9.0,8.9375,47700.0,5.728720188140869
2000-03-17,9.0625,8.875,8.9375,8.9375,48500.0,5.728720188140869
2000-03-20,9.125,8.8125,8.8125,8.9375,35400.0,5.728720188140869
2000-03-21,8.9375,8.8125,8.9375,8.8125,12000.0,5.6486005783081055
2000-03-22,9.0,8.875,8.9375,8.9375,13600.0,5.728720188140869
2000-03-23,9.375,9.0,9.0,9.0625,29000.0,5.80884313583374
2000-03-24,9.0,8.75,8.9375,8.875,24900.0,5.688660621643066
2000-03-27,8.875,8.5,8.875,8.5,37200.0,5.448296070098877
2000-03-28,8.5625,8.4375,8.5625,8.4375,70500.0,5.408231258392334
2000-03-29,8.4375,8.0625,8.3125,8.0625,56000.0,5.167867183685303
2000-03-30,8.125,7.875,8.0,7.875,71200.0,5.047684192657471
2000-03-31,8.0625,7.9375,8.0,7.9375,46400.0,5.087745189666748
2000-04-03,8.25,7.9375,8.0,8.125,20600.0,5.207927703857422
2000-04-04,8.1875,7.875,8.125,7.9375,57700.0,5.087745189666748
2000-04-05,7.9375,7.75,7.9375,7.8125,129000.0,5.007623195648193
2000-04-06,8.125,7.8125,8.0,8.0,28700.0,5.127804279327393
2000-04-07,8.0625,7.875,7.875,8.0625,32600.0,5.167867183685303
2000-04-10,8.0625,7.9375,7.9375,8.0625,30100.0,5.167867183685303
2000-04-11,7.9375,7.8125,7.9375,7.875,32000.0,5.047684192657471
2000-04-12,8.0,7.75,7.8125,7.75,21100.0,4.9675612449646
2000-04-13,7.875,7.75,7.875,7.75,14500.0,4.9675612449646
2000-04-14,7.8125,7.4375,7.8125,7.5,52300.0,4.80731725692749
2000-04-17,7.5,7.25,7.5,7.5,86000.0,4.80731725692749
2000-04-18,7.625,7.25,7.625,7.5,34300.0,4.80731725692749
2000-04-19,7.625,7.1875,7.375,7.25,44900.0,4.647075176239014
2000-04-20,7.5,7.1875,7.375,7.1875,49600.0,4.60701322555542
2000-04-24,7.25,7.1875,7.1875,7.25,50200.0,4.647075176239014
2000-04-25,7.375,7.3125,7.375,7.375,20900.0,4.7271952629089355
2000-04-26,7.5,7.3125,7.5,7.5,13700.0,4.80731725692749
2000-04-27,8.0,7.5,7.625,7.5,61100.0,4.80731725692749
2000-04-28,7.75,7.5,7.75,7.6875,36900.0,4.9275007247924805
2000-05-01,7.75,7.5625,7.5625,7.75,2900.0,4.9675612449646
2000-05-02,8.0,7.6875,8.0,7.75,25000.0,4.9675612449646
2000-05-03,7.875,7.625,7.75,7.625,1200.0,4.887440204620361
2000-05-04,7.875,7.375,7.5625,7.625,38900.0,4.887440204620361
2000-05-05,7.75,7.5,7.75,7.625,38700.0,4.887440204620361
2000-05-08,7.75,7.5625,7.75,7.5625,41900.0,4.8473801612854
2000-05-09,7.875,7.5625,7.875,7.6875,27100.0,4.9275007247924805
2000-05-10,7.6875,7.5,7.5625,7.5,17700.0,4.80731725692749
2000-05-11,7.625,7.25,7.625,7.4375,33900.0,4.767258167266846
2000-05-12,7.375,7.3125,7.3125,7.3125,5800.0,4.687133312225342
2000-05-15,7.3125,7.1875,7.25,7.1875,9800.0,4.60701322555542
2000-05-16,7.25,7.125,7.25,7.125,72400.0,4.566952228546143
2000-05-17,7.0,6.875,7.0,6.9375,49100.0,4.446768283843994
2000-05-18,6.9375,6.75,6.8125,6.9375,45800.0,4.446768283843994
2000-05-19,6.875,6.75,6.875,6.8125,42200.0,4.366647243499756
2000-05-22,6.75,6.375,6.4375,6.625,84100.0,4.246464729309082
2000-05-23,6.875,6.75,6.75,6.75,29600.0,4.32658576965332
2000-05-24,6.875,6.5,6.8125,6.5625,35700.0,4.206404209136963
2000-05-25,6.75,6.5,6.6875,6.625,9800.0,4.246464729309082
2000-05-26,6.5625,6.5,6.5625,6.5625,11100.0,4.206404209136963
2000-05-30,6.5625,6.5,6.5,6.5,16800.0,4.166341781616211
2000-05-31,6.875,6.5,6.5,6.625,31600.0,4.246464729309082
2000-06-01,6.625,6.125,6.625,6.5,59300.0,4.166341781616211
2000-06-02,6.75,6.5625,6.75,6.5625,43500.0,4.206404209136963
2000-06-05,6.6875,6.5625,6.6875,6.6875,11800.0,4.286524772644043
2000-06-06,6.5625,6.4375,6.5625,6.4375,13300.0,4.126282691955566
2000-06-07,6.5625,6.3125,6.5625,6.3125,66700.0,4.046160697937012
2000-06-08,6.375,6.1875,6.375,6.1875,22100.0,3.966036558151245
2000-06-09,6.3125,6.0625,6.3125,6.0625,21200.0,3.8859167098999023
2000-06-12,6.25,6.0625,6.0625,6.25,57500.0,4.006097793579102
2000-06-13,6.25,6.125,6.125,6.1875,18000.0,3.966036558151245
2000-06-14,6.1875,5.9375,6.0625,5.9375,35300.0,3.805793285369873
2000-06-15,6.0,5.875,5.875,5.875,69500.0,3.7657322883605957
2000-06-16,6.0,5.8125,5.8125,5.9375,19300.0,3.805793285369873
2000-06-19,6.25,5.9375,5.9375,6.1875,22200.0,3.966036558151245
2000-06-20,6.1875,6.0,6.0625,6.0625,30800.0,3.8859167098999023
2000-06-21,6.25,5.9375,6.1875,6.0,26600.0,3.845855951309204
2000-06-22,6.0,5.9375,6.0,6.0,30300.0,3.845855951309204
2000-06-23,6.0,5.75,5.875,5.875,111300.0,3.7657322883605957
2000-06-26,6.125,5.8125,5.8125,6.0,104600.0,3.845855951309204
2000-06-27,6.25,5.9375,5.9375,6.25,98500.0,4.006097793579102
2000-06-28,6.5,6.1875,6.1875,6.375,132000.0,4.086220741271973
2000-06-29,6.5,6.25,6.375,6.25,182500.0,4.006097793579102
2000-06-30,6.5625,5.75,6.5,5.75,426700.0,3.6856112480163574
2000-07-03,6.0,5.875,5.875,6.0,27500.0,3.845855951309204
2000-07-05,6.5,6.0625,6.375,6.5,105000.0,4.166341781616211
2000-07-06,6.5,6.3125,6.375,6.375,114400.0,4.086220741271973
2000-07-07,6.375,6.3125,6.375,6.375,17300.0,4.086220741271973
2000-07-10,6.3125,6.25,6.25,6.25,10900.0,4.006097793579102
2000-07-11,6.375,6.1875,6.1875,6.25,31200.0,4.006097793579102
2000-07-12,6.34375,6.1875,6.3125,6.1875,38700.0,3.966036558151245
2000-07-13,6.25,6.0625,6.1875,6.0625,56300.0,3.8859167098999023
2000-07-14,6.25,6.0625,6.0625,6.25,22800.0,4.006097793579102
2000-07-17,6.1875,6.0625,6.125,6.1875,21400.0,3.966036558151245
2000-07-18,6.125,5.75,6.125,5.875,53800.0,3.7657322883605957
2000-07-19,5.9375,5.75,5.9375,5.875,22600.0,3.7657322883605957
2000-07-20,5.9375,5.75,5.9375,5.8125,32100.0,3.7256715297698975
2000-07-21,5.875,5.5625,5.875,5.6875,21300.0,3.6455495357513428
2000-07-24,5.75,5.5,5.625,5.625,21800.0,3.6054885387420654
2000-07-25,5.75,5.625,5.625,5.75,16300.0,3.6856112480163574
2000-07-26,5.8125,5.5,5.625,5.8125,32900.0,3.7256715297698975
2000-07-27,5.6875,5.5625,5.6875,5.625,24900.0,3.6054885387420654
2000-07-28,5.75,5.5,5.625,5.5625,38500.0,3.5654287338256836
2000-07-31,5.75,5.5625,5.625,5.75,20700.0,3.6856112480163574
2000-08-01,5.9375,5.75,5.875,5.75,171500.0,3.6856112480163574
2000-08-02,6.0,5.8125,5.8125,6.0,94700.0,3.845855951309204
2000-08-03,6.5,5.9375,5.9375,6.5,48400.0,4.166341781616211
2000-08-04,6.9375,6.375,6.375,6.9375,58300.0,4.446768283843994
2000-08-07,7.5,6.8125,6.8125,7.0,71800.0,4.486830234527588
2000-08-08,7.4375,7.25,7.4375,7.375,31400.0,4.7271952629089355
2000-08-09,7.5,6.875,7.4375,7.0,57300.0,4.486830234527588
2000-08-10,7.0,6.5,6.9375,6.5,54000.0,4.166341781616211
2000-08-11,6.625,6.4375,6.4375,6.625,22500.0,4.246464729309082
2000-08-14,6.9375,6.75,6.75,6.9375,27400.0,4.446768283843994
2000-08-15,6.875,6.8125,6.8125,6.875,10700.0,4.40670919418335
2000-08-16,6.75,6.25,6.5625,6.25,62300.0,4.006097793579102
2000-08-17,6.375,6.125,6.25,6.375,25000.0,4.086220741271973
2000-08-18,6.5625,6.25,6.25,6.375,19100.0,4.086220741271973
2000-08-21,6.75,6.375,6.4375,6.375,8300.0,4.086220741271973
2000-08-22,6.3125,6.25,6.25,6.3125,3800.0,4.046160697937012
2000-08-23,6.5,6.1875,6.1875,6.4375,13700.0,4.126282691955566
2000-08-24,6.625,6.375,6.5,6.4375,60800.0,4.126282691955566
2000-08-25,6.625,6.4375,6.4375,6.625,40400.0,4.246464729309082
2000-08-28,6.5625,6.5,6.5625,6.5,18100.0,4.166341781616211
2000-08-29,6.6875,6.5625,6.5625,6.5625,23600.0,4.206404209136963
2000-08-30,6.625,6.4375,6.4375,6.5625,32300.0,4.206404209136963
2000-08-31,6.8125,6.5,6.5,6.5625,31900.0,4.206404209136963
2000-09-01,6.9375,6.6875,6.6875,6.9375,13600.0,4.446768283843994
2000-09-05,6.9375,6.8125,6.8125,6.875,13700.0,4.40670919418335
2000-09-06,6.9375,6.8125,6.875,6.9375,28500.0,4.446768283843994
2000-09-07,6.875,6.375,6.875,6.4375,46500.0,4.126282691955566
2000-09-08,6.75,6.375,6.75,6.375,34300.0,4.086220741271973
2000-09-11,6.375,6.25,6.375,6.375,13100.0,4.086220741271973
2000-09-12,6.3125,6.3125,6.3125,6.3125,5200.0,4.046160697937012
2000-09-13,6.4375,6.25,6.25,6.4375,12700.0,4.126282691955566
2000-09-14,6.5,6.375,6.375,6.5,38800.0,4.166341781616211
2000-09-15,6.4375,6.125,6.125,6.25,26600.0,4.006097793579102
2000-09-18,6.375,5.875,6.375,6.125,79100.0,3.925976037979126
2000-09-19,6.75,6.125,6.125,6.75,59900.0,4.32658576965332
2000-09-20,7.0,6.75,6.875,6.75,63600.0,4.32658576965332
2000-09-21,6.9375,6.4375,6.8125,6.4375,72300.0,4.126282691955566
2000-09-22,6.9375,6.4375,6.4375,6.8125,54100.0,4.366647243499756
2000-09-25,6.875,6.6875,6.6875,6.875,32100.0,4.40670919418335
2000-09-26,6.875,6.375,6.875,6.5,45800.0,4.166341781616211
2000-09-27,6.625,6.4375,6.4375,6.625,36500.0,4.246464729309082
2000-09-28,6.9375,6.75,6.75,6.9375,17100.0,4.446768283843994
2000-09-29,6.875,6.625,6.875,6.625,52700.0,4.246464729309082
2000-10-02,6.75,6.125,6.75,6.125,99200.0,3.925976037979126
2000-10-03,6.4375,6.25,6.375,6.25,37100.0,4.006097793579102
2000-10-04,6.375,6.125,6.25,6.375,25300.0,4.086220741271973
2000-10-05,6.375,6.1875,6.3125,6.1875,12100.0,3.966036558151245
2000-10-06,6.25,6.1875,6.1875,6.1875,14500.0,3.966036558151245
2000-10-09,6.4375,6.1875,6.1875,6.4375,11000.0,4.126282691955566
2000-10-10,6.5,6.3125,6.375,6.4375,24100.0,4.126282691955566
2000-10-11,6.4375,6.125,6.4375,6.1875,19300.0,3.966036558151245
2000-10-12,6.25,6.0,6.25,6.0,43600.0,3.845855951309204
2000-10-13,6.0,5.875,6.0,6.0,14000.0,3.845855951309204
2000-10-16,6.0,5.75,6.0,5.875,12400.0,3.7657322883605957
